Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,2.419537,2.392949,2.410675,1.300897,1062100
1980-12-15,0.000000,2.419537,2.392949,2.401812,1.296115,524700
1980-12-16,0.000000,2.410675,2.392949,2.392949,1.291333,621600
1980-12-17,0.000000,2.499302,2.401812,2.490440,1.343943,2114700
1980-12-18,0.000000,2.641107,2.499302,2.605656,1.406118,3999300
1980-12-19,0.000000,2.605656,2.534754,2.543616,1.372638,834900
1980-12-22,0.000000,2.605656,2.534754,2.579067,1.391769,953900
1980-12-23,0.000000,2.712009,2.614518,2.676558,1.444380,1557100
1980-12-24,0.000000,2.720872,2.676558,2.703146,1.458727,703900
1980-12-26,0.000000,2.694283,2.676558,2.685421,1.449162,190400
1980-12-29,0.000000,2.712009,2.667695,2.703146,1.458727,596200
1980-12-30,0.000000,2.712009,2.641107,2.641107,1.425249,725700
1980-12-31,0.000000,2.658832,2.614518,2.632244,1.420466,290100
1981-01-02,0.000000,2.623381,2.579067,2.596793,1.401335,544200
1981-01-05,0.000000,2.623381,2.552479,2.570204,1.386987,628000
1981-01-06,0.000000,2.614518,2.561342,2.587930,1.396553,843000
1981-01-07,0.000000,2.534754,2.419537,2.508165,1.353508,1685800
1981-01-08,0.000000,2.587930,2.508165,2.534754,1.367856,1035300
1981-01-09,0.000000,2.570204,2.499302,2.534754,1.367856,1179600
1981-01-12,0.000000,2.579067,2.534754,2.543616,1.372638,1680300
1981-01-13,0.000000,2.552479,2.525891,2.525891,1.363074,612500
1981-01-14,0.000000,2.552479,2.499302,2.552479,1.377422,689400
1981-01-15,0.000000,2.623381,2.534754,2.570204,1.386987,2029100
1981-01-16,0.000000,2.579067,2.490440,2.508165,1.353508,687000
1981-01-19,0.000000,2.525891,2.410675,2.463851,1.329594,1051500
1981-01-20,0.000000,2.472714,2.410675,2.419537,1.305680,1884500
1981-01-21,0.000000,2.446126,2.384086,2.401812,1.296115,596200
1981-01-22,0.000000,2.419537,2.339772,2.375224,1.281767,265300
1981-01-23,0.000000,2.446126,2.357498,2.446126,1.320028,1818200
1981-01-26,0.000000,2.499302,2.454988,2.472714,1.334378,902500
1981-01-27,0.000000,2.463851,2.446126,2.463851,1.329594,826500
1981-01-28,0.000000,2.463851,2.366361,2.366361,1.276984,741000
1981-01-29,0.000000,2.375224,2.339772,2.348635,1.267418,725700
1981-01-30,0.000000,2.339772,2.180243,2.215694,1.195678,1350600
1981-02-02,0.000000,2.224556,2.056164,2.082752,1.123937,5034500
1981-02-03,0.000000,2.171380,2.065027,2.153654,1.162199,1140800
1981-02-04,0.000000,2.206831,2.127066,2.127066,1.147851,984000
1981-02-05,0.000000,2.180243,2.127066,2.180243,1.176548,1041600
1981-02-06,0.000000,2.189105,2.153654,2.162517,1.166982,644800
1981-02-09,0.000000,2.180243,2.118203,2.118203,1.143068,1128900
1981-02-10,0.000000,2.135929,2.109340,2.109340,1.138285,422300
1981-02-11,0.000000,2.127066,2.073889,2.073889,1.119155,1433700
1981-02-12,0.000000,2.073889,1.985261,2.002987,1.080893,882700
1981-02-13,0.000000,2.002987,1.932085,1.949810,1.052197,795200
1981-02-17,0.000000,1.994124,1.914359,1.994124,1.076110,2821200
1981-02-18,0.000000,2.118203,2.011850,2.073889,1.119155,1423000
1981-02-19,0.000000,2.091615,2.038438,2.091615,1.128720,1683200
1981-02-20,0.000000,2.127066,2.073889,2.118203,1.143068,665200
1981-02-23,0.000000,2.118203,2.091615,2.100477,1.133502,1462700
1981-02-24,0.000000,2.153654,2.118203,2.127066,1.147851,513100
1981-02-25,0.000000,2.144791,2.109340,2.144791,1.157416,1607500
1981-02-26,0.000000,2.180243,2.144791,2.162517,1.166982,885300
1981-02-27,0.000000,2.224556,2.171380,2.206831,1.190895,876000
1981-03-02,0.000000,2.224556,2.180243,2.215694,1.195678,680000
1981-03-03,0.000000,2.224556,2.144791,2.144791,1.157416,3736800
1981-03-04,0.000000,2.171380,2.056164,2.065027,1.114371,1550100
1981-03-05,0.000000,2.073889,2.029575,2.047301,1.104806,454800
1981-03-06,0.000000,2.056164,2.020713,2.020713,1.090458,2976200
1981-03-09,0.000000,2.038438,1.985261,2.011850,1.085676,973500
1981-03-10,0.000000,2.029575,1.923222,1.949810,1.052197,2415000
1981-03-11,0.000000,1.967536,1.834594,1.914359,1.033066,1062600
