Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,1.102855,1.084267,1.096659,0.584816,2324100
1980-12-15,0.000000,1.109051,1.096659,1.102855,0.588120,936000
1980-12-16,0.000000,1.115246,1.102855,1.115246,0.594729,758500
1980-12-17,0.000000,1.133834,1.121442,1.133834,0.604641,859300
1980-12-18,0.000000,1.136932,1.127638,1.127638,0.601336,1024800
1980-12-19,0.000000,1.158617,1.109051,1.158617,0.617857,1117500
1980-12-22,0.000000,1.171009,1.152421,1.164813,0.621161,536500
1980-12-23,0.000000,1.171009,1.140030,1.155519,0.616204,540600
1980-12-24,0.000000,1.174107,1.149323,1.174107,0.626117,927900
1980-12-26,0.000000,1.189596,1.177204,1.189596,0.634377,48400
1980-12-29,0.000000,1.208184,1.195792,1.208184,0.644289,2481400
1980-12-30,0.000000,1.226771,1.201988,1.220575,0.650897,839200
1980-12-31,0.000000,1.239163,1.214379,1.226771,0.654201,500200
1981-01-02,0.000000,1.239163,1.220575,1.239163,0.660809,185500
1981-01-05,0.000000,1.251554,1.226771,1.245358,0.664114,589000
1981-01-06,0.000000,1.248456,1.236065,1.239163,0.660809,722200
1981-01-07,0.000000,1.223673,1.205086,1.223673,0.652549,1509000
1981-01-08,0.000000,1.232967,1.201988,1.220575,0.650897,1670400
1981-01-09,0.000000,1.217477,1.201988,1.217477,0.649245,738200
1981-01-12,0.000000,1.217477,1.186498,1.208184,0.644289,802800
1981-01-13,0.000000,1.208184,1.192694,1.198890,0.639333,153300
1981-01-14,0.000000,1.220575,1.201988,1.214379,0.647593,633300
1981-01-15,0.000000,1.223673,1.208184,1.208184,0.644289,72500
1981-01-16,0.000000,1.214379,1.195792,1.208184,0.644289,266200
1981-01-19,0.000000,1.226771,1.201988,1.226771,0.654201,730300
1981-01-20,0.000000,1.220575,1.195792,1.201988,0.640985,100800
1981-01-21,0.000000,1.189596,1.158617,1.164813,0.621161,355000
1981-01-22,0.000000,1.174107,1.171009,1.174107,0.626117,633300
1981-01-23,0.000000,1.189596,1.167911,1.180302,0.629421,859300
1981-01-26,0.000000,1.180302,1.177204,1.180302,0.629421,177400
1981-01-27,0.000000,1.201988,1.186498,1.189596,0.634377,1440300
1981-01-28,0.000000,1.186498,1.177204,1.177204,0.627769,221800
1981-01-29,0.000000,1.180302,1.171009,1.171009,0.624465,693900
1981-01-30,0.000000,1.189596,1.177204,1.180302,0.629421,379200
1981-02-02,0.000000,1.189596,1.177204,1.189596,0.634377,201700
1981-02-03,0.000000,1.189596,1.183400,1.189596,0.634377,205700
1981-02-04,0.000000,1.208184,1.192694,1.192694,0.636029,318600
1981-02-05,0.000000,1.220575,1.198890,1.220575,0.650897,1238600
1981-02-06,0.000000,1.220575,1.201988,1.214379,0.647593,238000
1981-02-09,0.000000,1.220575,1.189596,1.189596,0.634377,108800
1981-02-10,0.000000,1.189596,1.183400,1.183400,0.631073,104900
