Date,Open,High,Low,Close,Adj Close,Volume
1984-07-19,1.796296,1.805556,1.777778,1.796296,0.024176,70200
1984-07-20,1.787037,1.805556,1.777778,1.777778,0.023927,52600
1984-07-23,1.768519,1.777778,1.731481,1.731481,0.023304,113400
1984-07-24,1.740741,1.750000,1.722222,1.731481,0.023304,55300
1984-07-25,1.703704,1.731481,1.694444,1.731481,0.023304,116100
1984-07-26,1.750000,1.750000,1.740741,1.750000,0.023553,66100
1984-07-27,1.750000,1.759259,1.731481,1.750000,0.023553,144400
1984-07-30,1.768519,1.768519,1.740741,1.740741,0.023428,135000
1984-07-31,1.740741,1.777778,1.731481,1.777778,0.023927,82300
1984-08-01,1.777778,1.916667,1.777778,1.888889,0.025422,697900
1984-08-02,1.898148,1.898148,1.861111,1.870370,0.025173,2164000
1984-08-03,1.879630,1.962963,1.879630,1.953704,0.026295,783000
1984-08-06,2.000000,2.027778,1.898148,1.953704,0.026295,909900
1984-08-07,1.953704,2.064815,1.935185,2.046296,0.027541,523800
1984-08-08,2.074074,2.129630,2.055556,2.055556,0.027665,1217700
1984-08-09,2.055556,2.101852,2.037037,2.101852,0.028288,402300
1984-08-10,2.111111,2.111111,2.055556,2.055556,0.027665,662800
1984-08-13,2.064815,2.064815,2.009259,2.018518,0.027167,184900
1984-08-14,2.037037,2.037037,1.944444,1.944444,0.026170,224100
1984-08-15,1.962963,2.009259,1.925926,1.944444,0.026170,218700
1984-08-16,1.925926,1.953704,1.925926,1.953704,0.026295,66100
1984-08-17,1.935185,1.944444,1.916667,1.944444,0.026170,86400
1984-08-20,1.925926,1.944444,1.925926,1.944444,0.026170,67500
1984-08-21,1.953704,1.953704,1.888889,1.888889,0.025422,398200
1984-08-22,1.907407,1.944444,1.907407,1.907407,0.025671,535900
1984-08-23,1.925926,1.944444,1.907407,1.935185,0.026045,70200
1984-08-24,1.953704,2.000000,1.944444,1.981481,0.026668,203800
1984-08-27,1.981481,1.981481,1.935185,1.953704,0.026295,386100
1984-08-28,1.972222,1.981481,1.962963,1.962963,0.026419,110700
1984-08-29,1.981481,2.046296,1.981481,1.990741,0.026793,499500
1984-08-30,2.000000,2.000000,1.962963,1.962963,0.026419,129600
1984-08-31,1.972222,1.972222,1.944444,1.962963,0.026419,49900
1984-09-04,1.944444,1.953704,1.925926,1.935185,0.026045,64800
1984-09-05,1.935185,1.935185,1.898148,1.925926,0.025921,537300
1984-09-06,1.935185,1.953704,1.925926,1.935185,0.026045,164700
1984-09-07,1.935185,1.962963,1.935185,1.962963,0.026419,143100
1984-09-10,1.935185,1.944444,1.916667,1.935185,0.026243,199800
1984-09-11,1.925926,1.981481,1.925926,1.972222,0.026746,83700
1984-09-12,1.972222,1.972222,1.916667,1.916667,0.025992,263200
1984-09-13,1.935185,1.953704,1.935185,1.953704,0.026494,89100
1984-09-14,1.953704,2.000000,1.953704,1.962963,0.026620,329400
1984-09-17,1.953704,1.972222,1.953704,1.962963,0.026620,54000
1984-09-18,1.962963,1.990741,1.962963,1.972222,0.026746,330700
1984-09-19,1.990741,2.000000,1.962963,1.972222,0.026746,228100
1984-09-20,1.972222,1.990741,1.972222,1.981481,0.026871,125500
1984-09-21,1.972222,2.037037,1.972222,2.000000,0.027122,305100
1984-09-24,2.000000,2.018518,1.990741,1.990741,0.026997,122800
1984-09-25,2.009259,2.018518,1.990741,2.018518,0.027373,39100
1984-09-26,2.018518,2.027778,1.990741,1.990741,0.026997,102600
1984-09-27,2.018518,2.018518,2.000000,2.000000,0.027122,90400
1984-09-28,1.990741,2.000000,1.981481,1.981481,0.026871,102600
1984-10-01,2.000000,2.000000,1.962963,1.972222,0.026746,238900
1984-10-02,1.972222,1.990741,1.972222,1.972222,0.026746,214600
1984-10-03,1.962963,1.972222,1.925926,1.925926,0.026118,176800
1984-10-04,1.907407,1.907407,1.870370,1.898148,0.025741,191700
1984-10-05,1.879630,1.916667,1.879630,1.907407,0.025867,85000
1984-10-08,1.898148,1.907407,1.879630,1.888889,0.025615,206500
1984-10-09,1.888889,1.888889,1.861111,1.861111,0.025239,76900
1984-10-10,1.861111,1.861111,1.842593,1.842593,0.024988,90400
1984-10-11,1.824074,1.833333,1.805556,1.805556,0.024485,144400
1984-10-12,1.805556,1.842593,1.805556,1.814815,0.024611,102600
1984-10-15,1.805556,1.870370,1.796296,1.870370,0.025364,83700
1984-10-16,1.851852,1.907407,1.814815,1.814815,0.024611,259200
1984-10-17,1.824074,1.833333,1.787037,1.805556,0.024485,139000
1984-10-18,1.805556,1.851852,1.796296,1.851852,0.025113,263200
1984-10-19,1.870370,1.879630,1.814815,1.833333,0.024862,1487700
