Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,2.296875,2.265625,2.281250,0.686855,180000
1980-12-15,0.000000,2.296875,2.281250,2.296875,0.691559,200800
1980-12-16,0.000000,2.296875,2.265625,2.296875,0.691559,107200
1980-12-17,0.000000,2.312500,2.281250,2.296875,0.691559,13600
1980-12-18,0.000000,2.312500,2.265625,2.265625,0.682150,313600
1980-12-19,0.000000,2.250000,2.250000,2.250000,0.677446,166400
1980-12-22,0.000000,2.265625,2.250000,2.265625,0.682150,114400
1980-12-23,0.000000,2.343750,2.296875,2.296875,0.691559,49600
1980-12-24,0.000000,2.500000,2.265625,2.500000,0.752718,422400
1980-12-26,0.000000,2.593750,2.500000,2.593750,0.780945,77600
1980-12-29,0.000000,2.687500,2.546875,2.687500,0.809171,164000
1980-12-30,0.000000,2.812500,2.625000,2.796875,0.842103,162400
1980-12-31,0.000000,2.843750,2.718750,2.843750,0.856216,64800
1981-01-02,0.000000,2.875000,2.843750,2.875000,0.865626,228000
1981-01-05,0.000000,2.906250,2.812500,2.843750,0.856216,249600
1981-01-06,0.000000,2.875000,2.750000,2.875000,0.865626,73600
1981-01-07,0.000000,2.765625,2.593750,2.765625,0.832694,175200
1981-01-08,0.000000,2.718750,2.531250,2.671875,0.804467,81600
1981-01-09,0.000000,2.671875,2.578125,2.671875,0.804467,32800
1981-01-12,0.000000,2.718750,2.578125,2.578125,0.776240,24800
1981-01-13,0.000000,2.750000,2.515625,2.750000,0.827990,95200
1981-01-14,0.000000,2.750000,2.687500,2.718750,0.818581,64000
1981-01-15,0.000000,2.703125,2.625000,2.625000,0.790353,116800
1981-01-16,0.000000,2.640625,2.593750,2.640625,0.795058,104000
1981-01-19,0.000000,2.625000,2.609375,2.625000,0.790353,30400
1981-01-20,0.000000,2.593750,2.375000,2.531250,0.762127,926400
1981-01-21,0.000000,2.500000,2.406250,2.453125,0.738605,132800
1981-01-22,0.000000,2.484375,2.421875,2.453125,0.738605,126400
1981-01-23,0.000000,2.453125,2.359375,2.453125,0.738605,125600
1981-01-26,0.000000,2.453125,2.406250,2.406250,0.724491,23200
1981-01-27,0.000000,2.421875,2.375000,2.390625,0.719787,31200
1981-01-28,0.000000,2.468750,2.375000,2.468750,0.743308,835200
1981-01-29,0.000000,2.671875,2.500000,2.656250,0.799763,438400
1981-01-30,0.000000,2.718750,2.671875,2.687500,0.809171,703200
1981-02-02,0.000000,2.656250,2.500000,2.500000,0.752718,207200
1981-02-03,0.000000,2.562500,2.375000,2.562500,0.771536,92000
