Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,1.562500,1.546875,1.562500,0.118662,57600
1980-12-15,0.000000,1.578125,1.562500,1.562500,0.118662,70400
1980-12-16,0.000000,1.578125,1.546875,1.562500,0.118662,57600
1980-12-17,0.000000,1.609375,1.562500,1.593750,0.121035,264800
1980-12-18,0.000000,1.718750,1.609375,1.687500,0.128155,400800
1980-12-19,0.000000,1.703125,1.656250,1.671875,0.126968,50400
1980-12-22,0.000000,1.687500,1.656250,1.687500,0.128155,52000
1980-12-23,0.000000,1.750000,1.687500,1.734375,0.131715,155200
1980-12-24,0.000000,1.718750,1.687500,1.718750,0.130528,670400
1980-12-26,0.000000,1.718750,1.703125,1.718750,0.130528,10400
1980-12-29,0.000000,1.703125,1.687500,1.687500,0.128155,68000
1980-12-30,0.000000,1.687500,1.671875,1.671875,0.126968,52000
1980-12-31,0.000000,1.703125,1.687500,1.687500,0.128155,158400
1981-01-02,0.000000,1.703125,1.687500,1.687500,0.128155,63200
1981-01-05,0.000000,1.781250,1.703125,1.781250,0.135274,88000
1981-01-06,0.000000,1.812500,1.765625,1.781250,0.135274,134400
1981-01-07,0.000000,1.781250,1.625000,1.765625,0.134088,168800
1981-01-08,0.000000,1.781250,1.718750,1.734375,0.131715,311200
1981-01-09,0.000000,1.750000,1.703125,1.734375,0.131715,75200
1981-01-12,0.000000,1.734375,1.687500,1.703125,0.129341,197600
1981-01-13,0.000000,1.703125,1.671875,1.687500,0.128155,168000
1981-01-14,0.000000,1.703125,1.687500,1.687500,0.128155,70400
1981-01-15,0.000000,1.671875,1.640625,1.656250,0.125781,38400
1981-01-16,0.000000,1.718750,1.640625,1.687500,0.128155,96000
1981-01-19,0.000000,1.703125,1.687500,1.703125,0.129341,74400
1981-01-20,0.000000,1.703125,1.671875,1.687500,0.128155,73600
1981-01-21,0.000000,1.718750,1.687500,1.703125,0.129341,38400
1981-01-22,0.000000,1.750000,1.703125,1.703125,0.129341,86400
1981-01-23,0.000000,1.703125,1.687500,1.687500,0.128155,74400
1981-01-26,0.000000,1.687500,1.687500,1.687500,0.128155,35200
1981-01-27,0.000000,1.687500,1.656250,1.656250,0.125781,46400
1981-01-28,0.000000,1.687500,1.656250,1.687500,0.128155,261600
1981-01-29,0.000000,1.703125,1.656250,1.671875,0.126968,68000
1981-01-30,0.000000,1.703125,1.687500,1.687500,0.128155,38400
1981-02-02,0.000000,1.703125,1.656250,1.671875,0.126968,87200
1981-02-03,0.000000,1.718750,1.656250,1.687500,0.128155,278400
1981-02-04,0.000000,1.734375,1.718750,1.718750,0.130528,117600
1981-02-05,0.000000,1.765625,1.718750,1.750000,0.132901,99200
1981-02-06,0.000000,1.812500,1.750000,1.796875,0.136461,142400
1981-02-09,0.000000,1.796875,1.765625,1.781250,0.135274,173600
1981-02-10,0.000000,1.828125,1.781250,1.828125,0.138834,120000
1981-02-11,0.000000,1.859375,1.796875,1.859375,0.141208,108800
1981-02-12,0.000000,1.906250,1.843750,1.843750,0.140021,348000
1981-02-13,0.000000,1.843750,1.812500,1.812500,0.137648,152000
1981-02-17,0.000000,1.828125,1.765625,1.781250,0.135274,76800
1981-02-18,0.000000,1.781250,1.750000,1.765625,0.134088,48000
1981-02-19,0.000000,1.812500,1.765625,1.765625,0.134088,178400
1981-02-20,0.000000,1.812500,1.765625,1.812500,0.137648,54400
1981-02-23,0.000000,1.875000,1.828125,1.843750,0.140021,52000
1981-02-24,0.000000,1.875000,1.828125,1.859375,0.141208,90400
1981-02-25,0.000000,1.843750,1.828125,1.843750,0.140021,120000
1981-02-26,0.000000,1.843750,1.828125,1.843750,0.140021,32000
1981-02-27,0.000000,1.859375,1.843750,1.859375,0.141208,115200
1981-03-02,0.000000,1.843750,1.812500,1.828125,0.138834,91200
1981-03-03,0.000000,1.843750,1.828125,1.828125,0.138834,312800
1981-03-04,0.000000,1.906250,1.843750,1.906250,0.144767,308000
1981-03-05,0.000000,1.921875,1.890625,1.906250,0.144767,216800
1981-03-06,0.000000,1.906250,1.875000,1.890625,0.143581,240800
1981-03-09,0.000000,1.890625,1.843750,1.843750,0.140021,104000
1981-03-10,0.000000,1.875000,1.859375,1.859375,0.141208,125600
1981-03-11,0.000000,1.875000,1.875000,1.875000,0.142394,155200
1981-03-12,0.000000,1.875000,1.859375,1.875000,0.142394,32000
1981-03-13,0.000000,1.906250,1.890625,1.906250,0.144767,122400
1981-03-16,0.000000,1.906250,1.890625,1.906250,0.144767,43200
1981-03-17,0.000000,1.968750,1.906250,1.937500,0.147141,204800
1981-03-18,0.000000,1.953125,1.937500,1.953125,0.148327,119200
1981-03-19,0.000000,1.968750,1.937500,1.968750,0.149514,129600
1981-03-20,0.000000,1.984375,1.968750,1.984375,0.150700,295200
1981-03-23,0.000000,2.046875,1.984375,2.031250,0.154260,406400
1981-03-24,0.000000,2.062500,2.031250,2.062500,0.156634,729600
1981-03-25,0.000000,2.078125,2.046875,2.078125,0.157820,309600
1981-03-26,0.000000,2.078125,2.062500,2.078125,0.157820,156000
1981-03-27,0.000000,2.078125,2.046875,2.046875,0.155447,166400
1981-03-30,0.000000,2.046875,2.015625,2.015625,0.153074,99200
1981-03-31,0.000000,2.078125,2.031250,2.062500,0.156634,247200
1981-04-01,0.000000,2.078125,2.046875,2.046875,0.155447,287200
1981-04-02,0.000000,2.062500,2.015625,2.031250,0.154260,82400
1981-04-03,0.000000,2.062500,2.046875,2.046875,0.155447,136800
1981-04-06,0.000000,2.046875,2.031250,2.031250,0.154260,120000
1981-04-07,0.000000,2.031250,2.015625,2.031250,0.154260,84800
1981-04-08,0.000000,2.046875,2.000000,2.000000,0.151887,630400
1981-04-09,0.000000,2.031250,2.015625,2.031250,0.154260,153600
1981-04-10,0.000000,2.046875,2.015625,2.015625,0.153074,207200
1981-04-13,0.000000,2.015625,1.968750,1.984375,0.150700,124000
1981-04-14,0.000000,2.000000,1.984375,1.984375,0.150700,179200
1981-04-15,0.000000,2.015625,1.984375,2.015625,0.153074,264800
1981-04-16,0.000000,2.046875,2.015625,2.046875,0.155447,70400
1981-04-20,0.000000,2.031250,2.000000,2.000000,0.151887,224000
1981-04-21,0.000000,2.031250,2.015625,2.015625,0.153074,247200
1981-04-22,0.000000,2.031250,2.000000,2.000000,0.151887,153600
1981-04-23,0.000000,2.031250,2.015625,2.015625,0.153074,144000
1981-04-24,0.000000,2.031250,2.015625,2.015625,0.153074,58400
1981-04-27,0.000000,2.031250,2.015625,2.015625,0.153074,66400
1981-04-28,0.000000,2.031250,2.015625,2.015625,0.153074,61600
1981-04-29,0.000000,2.031250,2.015625,2.015625,0.153074,182400
1981-04-30,0.000000,2.031250,2.015625,2.031250,0.154260,232000
1981-05-01,0.000000,2.031250,2.031250,2.031250,0.154260,80000
1981-05-04,0.000000,2.015625,1.968750,1.968750,0.149514,65600
1981-05-05,0.000000,1.984375,1.937500,1.937500,0.147141,215200
1981-05-06,0.000000,1.968750,1.937500,1.953125,0.148327,108800
1981-05-07,0.000000,1.953125,1.937500,1.937500,0.147141,12800
1981-05-08,0.000000,1.937500,1.937500,1.937500,0.147141,2400
1981-05-11,0.000000,1.968750,1.937500,1.953125,0.148327,136000
1981-05-12,0.000000,1.953125,1.906250,1.906250,0.144767,116000
1981-05-13,0.000000,1.906250,1.875000,1.875000,0.142394,98400
1981-05-14,0.000000,1.906250,1.859375,1.890625,0.143581,201600
1981-05-15,0.000000,1.906250,1.859375,1.875000,0.142394,112800
1981-05-18,0.000000,1.890625,1.875000,1.890625,0.143581,220800
1981-05-19,0.000000,1.906250,1.875000,1.906250,0.144767,100800
1981-05-20,0.000000,1.921875,1.906250,1.906250,0.144767,32800
1981-05-21,0.000000,1.968750,1.921875,1.968750,0.149514,376000
1981-05-22,0.000000,1.968750,1.937500,1.953125,0.148327,100000
1981-05-26,0.000000,1.984375,1.937500,1.984375,0.150700,118400
1981-05-27,0.000000,1.968750,1.937500,1.937500,0.147141,64000
1981-05-28,0.000000,1.953125,1.890625,1.921875,0.145954,54400
1981-05-29,0.000000,1.921875,1.906250,1.906250,0.144767,25600
1981-06-01,0.000000,1.906250,1.875000,1.890625,0.143581,60800
1981-06-02,0.000000,1.906250,1.890625,1.890625,0.143581,26400
1981-06-03,0.000000,1.906250,1.890625,1.890625,0.143581,33600
1981-06-04,0.000000,1.906250,1.890625,1.890625,0.143581,84800
1981-06-05,0.000000,1.921875,1.890625,1.921875,0.145954,55200
1981-06-08,0.000000,1.906250,1.875000,1.875000,0.142394,158400
1981-06-09,0.000000,1.875000,1.859375,1.859375,0.141208,78400
1981-06-10,0.000000,1.859375,1.812500,1.828125,0.138834,1528800
1981-06-11,0.000000,1.937500,1.828125,1.937500,0.147141,1964800
1981-06-12,0.000000,2.000000,1.968750,1.968750,0.149514,1812000
1981-06-15,0.000000,2.078125,1.968750,2.031250,0.154260,252800
1981-06-16,0.000000,2.078125,2.031250,2.062500,0.156634,4344800
1981-06-17,0.000000,2.109375,2.062500,2.093750,0.159007,2320000
1981-06-18,0.000000,2.140625,2.109375,2.109375,0.160193,223200
1981-06-19,0.000000,2.140625,2.062500,2.078125,0.157820,1091200
1981-06-22,0.000000,2.171875,2.125000,2.140625,0.162567,209600
1981-06-23,0.000000,2.250000,2.125000,2.234375,0.169686,452000
1981-06-24,0.000000,2.234375,2.156250,2.171875,0.164940,362400
1981-06-25,0.000000,2.156250,2.140625,2.140625,0.162567,20800
1981-06-26,0.000000,2.140625,2.078125,2.078125,0.157820,25600
1981-06-29,0.000000,2.093750,2.062500,2.062500,0.156634,79200
1981-06-30,0.000000,2.062500,2.031250,2.046875,0.155447,52000
1981-07-01,0.000000,2.062500,2.015625,2.015625,0.153074,796800
1981-07-02,0.000000,2.015625,1.984375,1.984375,0.150700,30400
1981-07-06,0.000000,2.046875,1.968750,1.984375,0.150700,24000
1981-07-07,0.000000,2.000000,1.968750,1.968750,0.149514,68800
1981-07-08,0.000000,1.968750,1.906250,1.937500,0.147141,87200
1981-07-09,0.000000,2.000000,1.953125,1.953125,0.148327,171200
1981-07-10,0.000000,1.953125,1.937500,1.953125,0.148327,51200
