Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,1.385724,1.407807,1.385724,1.396765,0.015553,156200
1980-12-15,1.396765,1.418849,1.385724,1.396765,0.015553,246700
1980-12-16,1.407807,1.429890,1.407807,1.429890,0.015922,212800
1980-12-17,1.429890,1.451973,1.429890,1.451973,0.016168,163000
1980-12-18,1.468536,1.523744,1.468536,1.501661,0.016721,380300
1980-12-19,1.523744,1.545827,1.523744,1.545827,0.017213,337300
1980-12-22,1.567910,1.595514,1.567910,1.595514,0.017766,260300
1980-12-23,1.595514,1.595514,1.567910,1.578952,0.017582,83700
1980-12-24,1.578952,1.589994,1.545827,1.545827,0.017213,108600
1980-12-26,1.545827,1.556869,1.545827,1.545827,0.017213,40700
1980-12-29,1.545827,1.556869,1.523744,1.523744,0.016967,97300
1980-12-30,1.523744,1.545827,1.523744,1.545827,0.017213,27100
1980-12-31,1.545827,1.545827,1.534786,1.534786,0.017090,90500
1981-01-02,1.534786,1.534786,1.523744,1.534786,0.017090,36200
1981-01-05,1.534786,1.589994,1.534786,1.589994,0.017705,99600
1981-01-06,1.589994,1.595514,1.578952,1.595514,0.017766,86000
1981-01-07,1.589994,1.589994,1.545827,1.567910,0.017459,744900
1981-01-08,1.567910,1.567910,1.534786,1.534786,0.017090,33900
1981-01-09,1.556869,1.589994,1.556869,1.589994,0.017705,298800
1981-01-12,1.589994,1.639681,1.578952,1.595514,0.017766,301100
1981-01-13,1.595514,1.628639,1.595514,1.617598,0.018012,355400
1981-01-14,1.617598,1.639681,1.617598,1.628639,0.018135,172000
1981-01-15,1.628639,1.628639,1.617598,1.617598,0.018012,81500
1981-01-16,1.617598,1.628639,1.617598,1.628639,0.018135,67900
1981-01-19,1.595514,1.595514,1.578952,1.589994,0.017705,101800
1981-01-20,1.578952,1.578952,1.545827,1.545827,0.017213,108600
1981-01-21,1.545827,1.556869,1.534786,1.556869,0.017336,142600
1981-01-22,1.556869,1.556869,1.512702,1.523744,0.016967,244500
1981-01-23,1.523744,1.534786,1.512702,1.534786,0.017090,172000
1981-01-26,1.534786,1.545827,1.523744,1.545827,0.017213,92800
1981-01-27,1.545827,1.545827,1.523744,1.534786,0.017090,181100
1981-01-28,1.534786,1.545827,1.523744,1.523744,0.016967,65600
1981-01-29,1.523744,1.523744,1.512702,1.523744,0.016967,15800
1981-01-30,1.523744,1.523744,1.512702,1.512702,0.016844,54300
1981-02-02,1.512702,1.523744,1.512702,1.512702,0.016844,63300
1981-02-03,1.512702,1.523744,1.512702,1.512702,0.016844,36200
1981-02-04,1.512702,1.523744,1.512702,1.523744,0.016967,194700
1981-02-05,1.523744,1.545827,1.523744,1.545827,0.017213,183300
1981-02-06,1.545827,1.545827,1.534786,1.545827,0.017213,97300
1981-02-09,1.545827,1.545827,1.523744,1.534786,0.017090,144900
1981-02-10,1.523744,1.523744,1.512702,1.512702,0.016844,106400
1981-02-11,1.512702,1.523744,1.512702,1.523744,0.016967,67900
1981-02-12,1.534786,1.534786,1.534786,1.534786,0.017090,29400
1981-02-13,1.534786,1.545827,1.534786,1.534786,0.017090,45200
1981-02-17,1.534786,1.567910,1.534786,1.556869,0.017336,70100
1981-02-18,1.545827,1.545827,1.534786,1.534786,0.017090,74700
1981-02-19,1.534786,1.545827,1.534786,1.545827,0.017213,104100
1981-02-20,1.545827,1.545827,1.545827,1.545827,0.017213,126700
1981-02-23,1.545827,1.545827,1.534786,1.534786,0.017090,58800
1981-02-24,1.534786,1.545827,1.534786,1.545827,0.017213,190100
1981-02-25,1.545827,1.545827,1.545827,1.545827,0.017213,20300
1981-02-26,1.545827,1.545827,1.534786,1.545827,0.017213,65600
1981-02-27,1.545827,1.545827,1.534786,1.534786,0.017090,27100
1981-03-02,1.534786,1.545827,1.534786,1.545827,0.017213,27100
1981-03-03,1.545827,1.545827,1.523744,1.545827,0.017213,604500
1981-03-04,1.545827,1.545827,1.512702,1.512702,0.016844,348600
1981-03-05,1.512702,1.523744,1.512702,1.523744,0.016967,187900
1981-03-06,1.523744,1.534786,1.512702,1.534786,0.017090,83700
1981-03-09,1.534786,1.545827,1.523744,1.534786,0.017090,122200
1981-03-10,1.534786,1.556869,1.534786,1.556869,0.017336,101800
1981-03-11,1.556869,1.567910,1.545827,1.545827,0.017213,321500
1981-03-12,1.545827,1.556869,1.545827,1.556869,0.017336,697300
1981-03-13,1.556869,1.567910,1.545827,1.556869,0.017336,647500
1981-03-16,1.556869,1.639681,1.545827,1.639681,0.018258,448300
1981-03-17,1.628639,1.628639,1.595514,1.595514,0.017766,142600
1981-03-18,1.595514,1.628639,1.595514,1.628639,0.018135,206000
1981-03-19,1.628639,1.672806,1.628639,1.639681,0.018258,303300
1981-03-20,1.650723,1.716972,1.650723,1.716972,0.019119,957700
1981-03-23,1.705931,1.705931,1.683847,1.683847,0.018750,167500
1981-03-24,1.683847,1.683847,1.650723,1.683847,0.018750,273900
1981-03-25,1.683847,1.683847,1.661764,1.661764,0.018504,110900
1981-03-26,1.661764,1.683847,1.661764,1.661764,0.018504,61100
1981-03-27,1.661764,1.661764,1.639681,1.639681,0.018258,40700
1981-03-30,1.639681,1.650723,1.628639,1.639681,0.018258,133500
1981-03-31,1.639681,1.650723,1.639681,1.650723,0.018381,251300
1981-04-01,1.650723,1.650723,1.639681,1.650723,0.018381,115400
1981-04-02,1.650723,1.650723,1.628639,1.639681,0.018258,158400
1981-04-03,1.639681,1.650723,1.639681,1.639681,0.018258,183300
1981-04-06,1.639681,1.639681,1.628639,1.639681,0.018258,33900
1981-04-07,1.639681,1.639681,1.628639,1.639681,0.018258,110900
1981-04-08,1.639681,1.639681,1.628639,1.628639,0.018135,76900
1981-04-09,1.639681,1.661764,1.639681,1.661764,0.018504,165200
1981-04-10,1.683847,1.716972,1.683847,1.716972,0.019119,364500
1981-04-13,1.716972,1.733535,1.716972,1.716972,0.019119,176600
1981-04-14,1.716972,1.716972,1.716972,1.716972,0.019119,432400
1981-04-15,1.716972,1.728014,1.716972,1.716972,0.019119,76900
1981-04-16,1.716972,1.716972,1.639681,1.661764,0.018504,362200
1981-04-20,1.628639,1.628639,1.578952,1.628639,0.018135,346400
1981-04-21,1.628639,1.628639,1.617598,1.617598,0.018012,140300
1981-04-22,1.628639,1.661764,1.628639,1.650723,0.018381,235400
1981-04-23,1.650723,1.661764,1.650723,1.661764,0.018504,187900
