Date,Open,High,Low,Close,Adj Close,Volume
1993-08-13,3.171875,3.187500,3.125000,3.125000,0.661583,14796800
1993-08-16,3.140625,3.140625,3.031250,3.093750,0.654967,3422400
1993-08-17,3.062500,3.093750,3.046875,3.046875,0.645043,732800
1993-08-18,3.046875,3.125000,3.046875,3.093750,0.654967,1084800
1993-08-19,3.078125,3.156250,3.062500,3.156250,0.668198,832800
1993-08-20,3.156250,3.203125,3.140625,3.187500,0.674815,464000
1993-08-23,3.171875,3.171875,3.140625,3.140625,0.664891,146400
1993-08-24,3.156250,3.156250,3.125000,3.125000,0.661583,354400
1993-08-25,3.125000,3.156250,3.125000,3.156250,0.668198,214400
1993-08-26,3.156250,3.187500,3.156250,3.156250,0.668198,287200
1993-08-27,3.156250,3.218750,3.156250,3.187500,0.674815,330400
1993-08-30,3.203125,3.218750,3.171875,3.187500,0.674815,120800
1993-08-31,3.203125,3.203125,3.171875,3.203125,0.678122,233600
1993-09-01,3.171875,3.187500,3.171875,3.187500,0.674815,196800
1993-09-02,3.187500,3.187500,3.125000,3.125000,0.661583,132000
1993-09-03,3.125000,3.156250,3.062500,3.062500,0.648351,51200
1993-09-07,3.093750,3.156250,3.093750,3.093750,0.654967,984800
1993-09-08,3.125000,3.125000,2.953125,3.000000,0.635119,208800
1993-09-09,2.968750,3.000000,2.968750,2.984375,0.631812,277600
1993-09-10,3.000000,3.000000,2.859375,2.875000,0.608656,152000
1993-09-13,2.875000,2.937500,2.875000,2.875000,0.608656,320800
1993-09-14,2.906250,2.906250,2.718750,2.718750,0.575577,1212000
1993-09-15,2.656250,2.875000,2.562500,2.875000,0.608656,1803200
1993-09-16,2.875000,2.875000,2.781250,2.859375,0.605348,248000
1993-09-17,2.828125,2.968750,2.828125,2.953125,0.625196,784800
1993-09-20,3.000000,3.031250,2.906250,2.906250,0.615272,484800
1993-09-21,2.875000,2.875000,2.781250,2.828125,0.598733,240000
1993-09-22,2.828125,2.828125,2.765625,2.796875,0.592117,152000
1993-09-23,2.781250,2.781250,2.718750,2.734375,0.578885,946400
1993-09-24,2.734375,2.828125,2.734375,2.812500,0.595424,480800
1993-09-27,2.812500,2.906250,2.812500,2.890625,0.611964,86400
1993-09-28,2.890625,2.906250,2.890625,2.890625,0.611964,98400
1993-09-29,3.125000,3.125000,3.078125,3.125000,0.661583,788800
1993-09-30,3.125000,3.312500,3.125000,3.296875,0.697970,1268000
1993-10-01,3.296875,3.296875,3.187500,3.250000,0.688046,548800
1993-10-04,3.218750,3.250000,3.203125,3.203125,0.678122,387200
1993-10-05,3.140625,3.140625,3.031250,3.031250,0.641735,482400
1993-10-06,3.031250,3.062500,3.031250,3.062500,0.648351,42400
1993-10-07,3.046875,3.078125,3.046875,3.078125,0.651659,8000
1993-10-08,3.078125,3.125000,3.078125,3.125000,0.661583,905600
1993-10-11,3.109375,3.281250,3.109375,3.281250,0.694662,713600
1993-10-12,3.265625,3.296875,3.250000,3.281250,0.694662,176800
1993-10-13,3.296875,3.296875,3.250000,3.250000,0.688046,346400
1993-10-14,3.281250,3.328125,3.281250,3.296875,0.697970,383200
1993-10-15,3.312500,3.328125,3.296875,3.296875,0.697970,144000
1993-10-18,3.296875,3.343750,3.296875,3.296875,0.697970,160000
1993-10-19,3.312500,3.312500,3.281250,3.296875,0.697970,396800
1993-10-20,3.296875,3.312500,3.296875,3.312500,0.701278,304000
1993-10-21,3.312500,3.328125,3.312500,3.312500,0.701278,90400
1993-10-22,3.312500,3.328125,3.312500,3.312500,0.701278,80000
1993-10-25,3.312500,3.328125,3.312500,3.312500,0.701278,87200
1993-10-26,3.328125,3.328125,3.250000,3.250000,0.688046,502400
