Date,Open,High,Low,Close,Adj Close,Volume
1983-08-04,0.000000,1.404200,1.379125,1.379125,0.598185,2550700
1983-08-05,0.000000,1.404200,1.379125,1.379125,0.598185,769600
1983-08-08,0.000000,1.379125,1.354050,1.354050,0.587309,498100
1983-08-09,0.000000,1.404200,1.354050,1.354050,0.587309,202600
1983-08-10,0.000000,1.404200,1.354050,1.354050,0.587309,132400
1983-08-11,0.000000,1.429275,1.379125,1.379125,0.598185,123400
1983-08-12,0.000000,1.429275,1.379125,1.379125,0.598185,110200
1983-08-15,0.000000,1.529575,1.479425,1.479425,0.641689,223600
1983-08-16,0.000000,1.705099,1.629874,1.629874,0.706946,293800
1983-08-17,0.000000,1.680025,1.629874,1.629874,0.706946,162900
1983-08-18,0.000000,1.654950,1.629874,1.629874,0.706946,135600
1983-08-19,0.000000,1.654950,1.629874,1.629874,0.706946,95400
1983-08-22,0.000000,1.629874,1.579725,1.579725,0.685194,211500
1983-08-23,0.000000,1.629874,1.579725,1.579725,0.685194,609400
1983-08-24,0.000000,1.604800,1.554649,1.554649,0.674318,258400
1983-08-25,0.000000,1.604800,1.554649,1.554649,0.674318,71700
1983-08-26,0.000000,1.604800,1.554649,1.554649,0.674318,108600
1983-08-29,0.000000,1.604800,1.554649,1.554649,0.674318,234900
1983-08-30,0.000000,1.604800,1.554649,1.554649,0.674318,129700
1983-08-31,0.000000,1.604800,1.554649,1.554649,0.674318,40500
1983-09-01,0.000000,1.604800,1.504500,1.504500,0.652565,37000
1983-09-02,0.000000,1.579725,1.504500,1.504500,0.652565,15700
1983-09-06,0.000000,1.604800,1.529575,1.529575,0.663442,102100
1983-09-07,0.000000,1.604800,1.554649,1.554649,0.674318,37000
1983-09-08,0.000000,1.604800,1.579725,1.579725,0.685194,32400
1983-09-09,0.000000,1.604800,1.579725,1.579725,0.685194,29200
1983-09-12,0.000000,1.604800,1.579725,1.579725,0.685194,10900
1983-09-13,0.000000,1.654950,1.604800,1.604800,0.696070,48700
1983-09-14,0.000000,1.654950,1.629874,1.629874,0.706946,105300
1983-09-15,0.000000,1.730174,1.654950,1.654950,0.717822,123400
1983-09-16,0.000000,1.780324,1.730174,1.730174,0.750450,164700
1983-09-19,0.000000,1.855549,1.755250,1.755250,0.761326,52600
1983-09-20,0.000000,1.855549,1.780324,1.780324,0.772203,36400
1983-09-21,0.000000,1.855549,1.780324,1.780324,0.772203,19000
1983-09-22,0.000000,1.880624,1.780324,1.780324,0.772203,73500
1983-09-23,0.000000,1.880624,1.780324,1.780324,0.772203,48700
1983-09-26,0.000000,1.880624,1.805399,1.805399,0.783079,46000
1983-09-27,0.000000,1.905699,1.830474,1.830474,0.793955,10300
1983-09-28,0.000000,1.905699,1.830474,1.830474,0.793955,49500
1983-09-29,0.000000,1.905699,1.855549,1.855549,0.804831,76500
1983-09-30,0.000000,1.905699,1.855549,1.855549,0.804831,12700
1983-10-03,0.000000,1.905699,1.855549,1.855549,0.804831,233100
1983-10-04,0.000000,1.905699,1.855549,1.855549,0.804831,10300
1983-10-05,0.000000,1.905699,1.855549,1.855549,0.804831,13600
1983-10-06,0.000000,1.905699,1.855549,1.855549,0.804831,23800
1983-10-07,0.000000,1.905699,1.830474,1.830474,0.793955,40500
1983-10-10,0.000000,1.905699,1.830474,1.830474,0.793955,4900
1983-10-11,0.000000,1.905699,1.830474,1.830474,0.793955,50500
1983-10-12,0.000000,1.905699,1.805399,1.805399,0.783079,10900
