Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,3.281250,3.234375,3.250000,0.096425,72000
1980-12-15,0.000000,3.312500,3.250000,3.312500,0.098279,83200
1980-12-16,0.000000,3.281250,3.250000,3.265625,0.096889,56000
1980-12-17,0.000000,3.343750,3.234375,3.281250,0.097352,173600
1980-12-18,0.000000,3.312500,3.250000,3.281250,0.097352,150400
1980-12-19,0.000000,3.343750,3.250000,3.343750,0.099207,85600
1980-12-22,0.000000,3.437500,3.312500,3.437500,0.101988,74400
1980-12-23,0.000000,3.484375,3.375000,3.437500,0.101988,65600
1980-12-24,0.000000,3.421875,3.359375,3.406250,0.101061,32800
1980-12-26,0.000000,3.562500,3.390625,3.531250,0.104769,32000
1980-12-29,0.000000,3.812500,3.578125,3.812500,0.113114,110400
1980-12-30,0.000000,3.781250,3.703125,3.781250,0.112187,90400
1980-12-31,0.000000,3.796875,3.750000,3.781250,0.112187,55200
1981-01-02,0.000000,3.937500,3.765625,3.937500,0.116823,59200
1981-01-05,0.000000,4.109375,3.921875,4.078125,0.120995,77600
1981-01-06,0.000000,4.109375,3.953125,4.062500,0.120531,57600
1981-01-07,0.000000,3.937500,3.750000,3.937500,0.116823,151200
1981-01-08,0.000000,3.968750,3.890625,3.953125,0.117286,21600
1981-01-09,0.000000,4.000000,3.937500,3.937500,0.116823,32000
1981-01-12,0.000000,4.031250,3.984375,4.031250,0.119604,25600
1981-01-13,0.000000,4.046875,3.968750,4.000000,0.118677,414400
1981-01-14,0.000000,3.984375,3.937500,3.937500,0.116823,12800
1981-01-15,0.000000,3.921875,3.875000,3.875000,0.114968,33600
1981-01-16,0.000000,3.906250,3.875000,3.875000,0.114968,10400
1981-01-19,0.000000,3.906250,3.890625,3.890625,0.115432,6400
1981-01-20,0.000000,3.968750,3.921875,3.937500,0.116823,621600
1981-01-21,0.000000,3.937500,3.875000,3.875000,0.114968,471200
1981-01-22,0.000000,3.906250,3.875000,3.906250,0.115896,20800
1981-01-23,0.000000,3.906250,3.875000,3.906250,0.115896,35200
1981-01-26,0.000000,3.906250,3.843750,3.843750,0.114041,51200
1981-01-27,0.000000,3.843750,3.781250,3.812500,0.113114,51200
1981-01-28,0.000000,3.906250,3.812500,3.906250,0.115896,28800
1981-01-29,0.000000,3.906250,3.890625,3.906250,0.115896,28800
1981-01-30,0.000000,4.265625,3.921875,4.250000,0.126094,427200
1981-02-02,0.000000,4.218750,4.062500,4.062500,0.120531,31200
1981-02-03,0.000000,4.140625,4.062500,4.140625,0.122849,25600
1981-02-04,0.000000,4.187500,4.140625,4.171875,0.123776,22400
1981-02-05,0.000000,4.187500,4.156250,4.156250,0.123313,12800
1981-02-06,0.000000,4.156250,4.093750,4.125000,0.122386,29600
1981-02-09,0.000000,4.093750,4.078125,4.078125,0.120995,4000
1981-02-10,0.000000,4.062500,4.046875,4.062500,0.120531,21600
1981-02-11,0.000000,4.156250,4.046875,4.125000,0.122386,98400
1981-02-12,0.000000,4.187500,4.125000,4.156250,0.123313,56000
1981-02-13,0.000000,4.281250,4.156250,4.250000,0.126094,68000
1981-02-17,0.000000,4.328125,4.234375,4.328125,0.128412,49600
1981-02-18,0.000000,4.375000,4.281250,4.359375,0.129339,224800
1981-02-19,0.000000,4.437500,4.375000,4.390625,0.130267,212000
1981-02-20,0.000000,4.406250,4.343750,4.359375,0.129339,436000
1981-02-23,0.000000,4.406250,4.359375,4.375000,0.129803,162400
1981-02-24,0.000000,4.375000,4.312500,4.359375,0.129339,172000
1981-02-25,0.000000,4.375000,4.328125,4.375000,0.129803,130400
1981-02-26,0.000000,4.406250,4.359375,4.406250,0.130730,7200
1981-02-27,0.000000,4.406250,4.375000,4.390625,0.130267,12000
1981-03-02,0.000000,4.421875,4.375000,4.421875,0.131194,30400
1981-03-03,0.000000,4.437500,4.375000,4.390625,0.130267,263200
1981-03-04,0.000000,4.421875,4.343750,4.359375,0.129339,27200
1981-03-05,0.000000,4.406250,4.328125,4.375000,0.129803,13600
1981-03-06,0.000000,4.406250,4.296875,4.296875,0.127485,13600
1981-03-09,0.000000,4.359375,4.265625,4.328125,0.128412,28000
1981-03-10,0.000000,4.359375,4.281250,4.296875,0.127485,81600
1981-03-11,0.000000,4.312500,4.281250,4.281250,0.127021,9600
1981-03-12,0.000000,4.437500,4.296875,4.390625,0.130267,72800
1981-03-13,0.000000,4.453125,4.343750,4.359375,0.129339,271200
1981-03-16,0.000000,4.625000,4.406250,4.625000,0.137220,132800
1981-03-17,0.000000,4.734375,4.625000,4.625000,0.137220,255200
1981-03-18,0.000000,4.703125,4.578125,4.703125,0.139538,28800
1981-03-19,0.000000,5.015625,4.875000,4.984375,0.147883,208000
1981-03-20,0.000000,5.015625,4.906250,5.000000,0.148346,304000
1981-03-23,0.000000,5.000000,4.937500,4.968750,0.147419,121600
1981-03-24,0.000000,5.000000,4.953125,4.953125,0.146955,92800
1981-03-25,0.000000,5.062500,4.890625,5.015625,0.148810,172800
1981-03-26,0.000000,5.078125,5.000000,5.078125,0.150664,96000
1981-03-27,0.000000,5.468750,5.062500,5.437500,0.161327,256000
1981-03-30,0.000000,5.609375,5.375000,5.578125,0.165499,170400
1981-03-31,0.000000,6.031250,5.625000,6.031250,0.178943,308000
1981-04-01,0.000000,6.109375,5.812500,5.890625,0.174770,673600
1981-04-02,0.000000,5.937500,5.578125,5.718750,0.169671,204800
1981-04-03,0.000000,5.859375,5.734375,5.781250,0.171525,263200
1981-04-06,0.000000,5.734375,5.625000,5.671875,0.168280,268800
1981-04-07,0.000000,5.921875,5.625000,5.796875,0.171989,705600
1981-04-08,0.000000,6.031250,5.968750,5.968750,0.177088,816800
1981-04-09,0.000000,6.046875,5.968750,6.046875,0.179406,2087200
1981-04-10,0.000000,6.000000,5.890625,5.890625,0.174770,167200
1981-04-13,0.000000,5.937500,5.828125,5.859375,0.173843,330400
1981-04-14,0.000000,5.875000,5.750000,5.781250,0.171525,117600
1981-04-15,0.000000,5.906250,5.703125,5.890625,0.174770,410400
1981-04-16,0.000000,6.046875,5.890625,6.031250,0.178943,501600
1981-04-20,0.000000,6.093750,5.984375,6.031250,0.178943,271200
1981-04-21,0.000000,5.984375,5.937500,5.984375,0.177552,40000
1981-04-22,0.000000,5.968750,5.921875,5.953125,0.176625,303200
1981-04-23,0.000000,5.953125,5.906250,5.953125,0.176625,38400
1981-04-24,0.000000,5.953125,5.875000,5.890625,0.174770,71200
1981-04-27,0.000000,5.953125,5.859375,5.859375,0.173843,108800
1981-04-28,0.000000,5.875000,5.703125,5.781250,0.171525,99200
