Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,7.235750,7.306000,7.200625,7.306000,0.121721,225800
1980-12-15,7.306000,7.411375,7.270875,7.306000,0.121721,864200
1980-12-16,7.306000,7.411375,7.306000,7.411375,0.123477,621300
1980-12-17,7.411375,7.446500,7.306000,7.376250,0.122891,174600
1980-12-18,7.376250,7.622125,7.376250,7.622125,0.126988,571700
1980-12-19,7.657250,7.973375,7.657250,7.903125,0.131669,528100
1980-12-22,7.903125,8.113875,7.903125,8.113875,0.135181,342500
1980-12-23,8.149000,8.289500,8.149000,8.219250,0.136936,742300
1980-12-24,8.184125,8.184125,8.078750,8.149000,0.135766,208000
1980-12-26,8.149000,8.149000,8.078750,8.078750,0.134595,45000
1980-12-29,8.078750,8.113875,7.938250,7.938250,0.132255,111000
1980-12-30,7.938250,7.973375,7.903125,7.973375,0.132840,82700
1980-12-31,7.973375,8.008500,7.903125,8.008500,0.133425,82500
1981-01-02,7.973375,7.973375,7.868000,7.903125,0.131669,218700
1981-01-05,7.903125,8.043625,7.832875,8.043625,0.134010,156800
1981-01-06,8.043625,8.078750,7.938250,8.078750,0.134595,494600
1981-01-07,8.078750,8.078750,7.973375,8.043625,0.134010,216300
1981-01-08,8.043625,8.254375,7.973375,8.149000,0.135766,318300
1981-01-09,8.149000,8.219250,7.973375,8.078750,0.134595,240000
1981-01-12,8.078750,8.219250,8.043625,8.043625,0.134010,201600
1981-01-13,8.043625,8.078750,7.903125,8.008500,0.133425,208500
1981-01-14,8.008500,8.078750,7.938250,8.043625,0.134010,87000
1981-01-15,8.043625,8.078750,7.938250,7.973375,0.132840,182900
1981-01-16,7.973375,8.043625,7.938250,8.043625,0.134010,511000
1981-01-19,8.043625,8.078750,7.973375,8.008500,0.133425,97000
1981-01-20,8.008500,8.113875,8.008500,8.113875,0.135181,259700
1981-01-21,8.113875,8.113875,8.043625,8.078750,0.134595,93900
1981-01-22,8.078750,8.078750,7.903125,7.938250,0.132255,460400
1981-01-23,7.938250,7.973375,7.832875,7.973375,0.132840,121700
1981-01-26,7.973375,7.973375,7.832875,7.903125,0.131669,172900
1981-01-27,7.903125,7.938250,7.868000,7.903125,0.131669,105300
1981-01-28,7.903125,7.903125,7.762625,7.868000,0.131084,92000
1981-01-29,7.868000,7.868000,7.797750,7.868000,0.131084,45700
1981-01-30,7.868000,7.938250,7.797750,7.938250,0.132255,203500
1981-02-02,7.938250,7.973375,7.832875,7.973375,0.132840,125200
1981-02-03,7.973375,7.973375,7.903125,7.903125,0.131669,80400
1981-02-04,7.903125,7.973375,7.832875,7.868000,0.131084,200700
1981-02-05,7.868000,7.903125,7.762625,7.868000,0.131084,248300
1981-02-06,7.868000,7.938250,7.797750,7.832875,0.130499,101000
1981-02-09,7.727500,7.727500,7.587000,7.622125,0.130451,218500
1981-02-10,7.516750,7.516750,7.235750,7.306000,0.125041,205600
1981-02-11,7.306000,7.481625,7.306000,7.411375,0.126844,313800
1981-02-12,7.411375,7.481625,7.341125,7.376250,0.126243,88400
1981-02-13,7.376250,7.376250,7.306000,7.306000,0.125041,87700
1981-02-17,7.306000,7.306000,7.235750,7.270875,0.124439,216300
1981-02-18,7.270875,7.270875,7.200625,7.200625,0.123237,112600
1981-02-19,7.200625,7.235750,7.130375,7.165500,0.122636,545400
1981-02-20,7.165500,7.235750,7.095250,7.165500,0.122636,235500
1981-02-23,7.165500,7.235750,7.060125,7.165500,0.122636,207800
1981-02-24,7.165500,7.270875,7.165500,7.200625,0.123237,71100
1981-02-25,7.200625,7.235750,7.130375,7.200625,0.123237,113400
1981-02-26,7.165500,7.165500,7.025000,7.095250,0.121434,80600
1981-02-27,7.095250,7.200625,7.095250,7.165500,0.122636,85400
1981-03-02,7.165500,7.270875,7.130375,7.200625,0.123237,130200
1981-03-03,7.200625,7.270875,7.200625,7.270875,0.124439,55500
1981-03-04,7.200625,7.200625,7.025000,7.095250,0.121434,214900
1981-03-05,7.095250,7.130375,7.025000,7.095250,0.121434,543000
1981-03-06,7.095250,7.130375,7.060125,7.095250,0.121434,795700
1981-03-09,7.095250,7.130375,7.060125,7.130375,0.122035,315500
1981-03-10,7.130375,7.165500,7.095250,7.095250,0.121434,511900
1981-03-11,7.130375,7.200625,7.130375,7.130375,0.122035,615600
1981-03-12,7.130375,7.270875,7.130375,7.270875,0.124439,873300
1981-03-13,7.306000,7.411375,7.306000,7.376250,0.126243,1116900
1981-03-16,7.376250,7.411375,7.306000,7.411375,0.126844,240000
1981-03-17,7.411375,7.446500,7.376250,7.376250,0.126243,278200
1981-03-18,7.376250,7.446500,7.341125,7.446500,0.127445,1009400
1981-03-19,7.481625,7.551875,7.481625,7.551875,0.129249,874000
1981-03-20,7.551875,7.727500,7.516750,7.657250,0.131052,550400
1981-03-23,7.657250,7.657250,7.587000,7.657250,0.131052,1069900
1981-03-24,7.587000,7.587000,7.481625,7.516750,0.128647,234100
1981-03-25,7.516750,7.516750,7.411375,7.481625,0.128046,149700
1981-03-26,7.481625,7.481625,7.446500,7.481625,0.128046,153200
1981-03-27,7.481625,7.551875,7.446500,7.446500,0.127445,106900
1981-03-30,7.446500,7.516750,7.376250,7.411375,0.126844,464000
1981-03-31,7.411375,7.446500,7.341125,7.341125,0.125642,335400
1981-04-01,7.341125,7.481625,7.341125,7.446500,0.127445,183600
1981-04-02,7.446500,7.516750,7.446500,7.481625,0.128046,150100
1981-04-03,7.481625,7.481625,7.411375,7.411375,0.126844,193500
1981-04-06,7.411375,7.446500,7.341125,7.341125,0.125642,292000
1981-04-07,7.341125,7.376250,7.306000,7.376250,0.126243,119000
1981-04-08,7.376250,7.376250,7.306000,7.341125,0.125642,215100
1981-04-09,7.341125,7.376250,7.306000,7.306000,0.125041,195900
1981-04-10,7.306000,7.341125,7.270875,7.306000,0.125041,569600
1981-04-13,7.306000,7.341125,7.200625,7.235750,0.123838,383600
1981-04-14,7.235750,7.411375,7.235750,7.411375,0.126844,212300
1981-04-15,7.411375,7.446500,7.341125,7.411375,0.126844,153700
1981-04-16,7.411375,7.587000,7.411375,7.587000,0.129850,906900
1981-04-20,7.587000,7.797750,7.516750,7.762625,0.132856,186000
1981-04-21,7.762625,7.797750,7.657250,7.692375,0.131653,167400
1981-04-22,7.657250,7.657250,7.551875,7.587000,0.129850,581400
1981-04-23,7.587000,7.692375,7.587000,7.692375,0.131653,239800
1981-04-24,7.692375,7.762625,7.692375,7.727500,0.132254,614400
1981-04-27,7.727500,7.868000,7.692375,7.797750,0.133457,397300
1981-04-28,7.797750,7.832875,7.727500,7.727500,0.132254,486300
1981-04-29,7.692375,7.692375,7.622125,7.657250,0.131052,372200
1981-04-30,7.657250,7.727500,7.622125,7.727500,0.132254,305300
1981-05-01,7.727500,7.762625,7.657250,7.727500,0.132254,146100
1981-05-04,7.692375,7.692375,7.551875,7.657250,0.131052,610900
1981-05-05,7.657250,7.657250,7.551875,7.551875,0.129249,301300
1981-05-06,7.551875,7.727500,7.551875,7.692375,0.131653,559400
1981-05-07,7.692375,7.762625,7.692375,7.762625,0.132856,1359600
1981-05-08,7.762625,7.762625,7.692375,7.762625,0.132856,413500
1981-05-11,7.762625,7.762625,7.692375,7.727500,0.132254,148000
1981-05-12,7.727500,7.832875,7.692375,7.832875,0.134058,186000
1981-05-13,7.832875,7.973375,7.832875,7.832875,0.134058,287500
1981-05-14,7.832875,7.938250,7.832875,7.903125,0.135260,171700
1981-05-15,7.903125,8.008500,7.903125,7.903125,0.135260,173600
1981-05-18,7.938250,8.078750,7.938250,8.008500,0.137064,358900
1981-05-19,7.868000,7.868000,7.727500,7.727500,0.134616,235800
1981-05-20,7.727500,7.762625,7.692375,7.727500,0.134616,232700
1981-05-21,7.727500,7.762625,7.622125,7.657250,0.133392,340200
1981-05-22,7.657250,7.692375,7.622125,7.657250,0.133392,127400
1981-05-26,7.657250,7.797750,7.657250,7.657250,0.133392,271800
1981-05-27,7.692375,7.762625,7.692375,7.692375,0.134004,213500
1981-05-28,7.692375,7.762625,7.692375,7.727500,0.134616,322400
1981-05-29,7.762625,7.832875,7.762625,7.797750,0.135840,198500
1981-06-01,7.797750,7.868000,7.762625,7.797750,0.135840,509800
1981-06-02,7.797750,7.797750,7.727500,7.762625,0.135228,92000
1981-06-03,7.762625,7.762625,7.727500,7.727500,0.134616,311000
1981-06-04,7.727500,7.832875,7.727500,7.797750,0.135840,403000
1981-06-05,7.797750,7.832875,7.762625,7.762625,0.135228,307400
1981-06-08,7.797750,7.903125,7.797750,7.868000,0.137064,294600
1981-06-09,7.868000,7.938250,7.868000,7.903125,0.137676,215100
1981-06-10,7.903125,8.078750,7.868000,8.043625,0.140123,654300
1981-06-11,8.043625,8.078750,8.008500,8.043625,0.140123,904100
1981-06-12,8.043625,8.043625,7.903125,7.973375,0.138899,432200
1981-06-15,8.430000,8.430000,8.008500,8.377313,0.145936,909100
1981-06-16,8.377313,8.482688,8.324625,8.377313,0.145936,770500
1981-06-17,8.377313,8.430000,8.271937,8.377313,0.145936,195200
1981-06-18,8.377313,8.430000,8.219250,8.219250,0.143183,365300
