Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,1.726563,1.710938,1.726563,0.315678,288000
1980-12-15,0.000000,1.757813,1.718750,1.757813,0.321391,273600
1980-12-16,0.000000,1.757813,1.734375,1.742188,0.318534,110400
1980-12-17,0.000000,1.781250,1.742188,1.781250,0.325676,203200
1980-12-18,0.000000,1.781250,1.757813,1.765625,0.322820,112000
1980-12-19,0.000000,1.757813,1.703125,1.718750,0.314249,152000
1980-12-22,0.000000,1.742188,1.710938,1.742188,0.318534,142400
1980-12-23,0.000000,1.750000,1.718750,1.734375,0.317106,390400
1980-12-24,0.000000,1.765625,1.718750,1.765625,0.322820,246400
1980-12-26,0.000000,1.773438,1.765625,1.773438,0.324248,97600
1980-12-29,0.000000,1.789063,1.742188,1.742188,0.318534,126400
1980-12-30,0.000000,1.812500,1.742188,1.812500,0.331390,188800
1980-12-31,0.000000,1.937500,1.828125,1.937500,0.354244,208000
1981-01-02,0.000000,2.046875,1.906250,2.046875,0.374242,160000
1981-01-05,0.000000,2.054688,1.984375,2.054688,0.375671,385600
1981-01-06,0.000000,2.117188,2.046875,2.062500,0.377099,668800
1981-01-07,0.000000,2.015625,1.953125,2.015625,0.368529,390400
1981-01-08,0.000000,2.023438,1.968750,1.968750,0.359958,224000
1981-01-09,0.000000,2.039063,1.976563,2.039063,0.372814,112000
1981-01-12,0.000000,2.085938,2.046875,2.046875,0.374242,537600
1981-01-13,0.000000,2.062500,2.039063,2.054688,0.375671,867200
1981-01-14,0.000000,2.054688,2.015625,2.031250,0.371385,340800
1981-01-15,0.000000,2.015625,1.945313,1.960938,0.358530,137600
1981-01-16,0.000000,2.023438,1.953125,2.000000,0.365672,292800
1981-01-19,0.000000,2.007813,1.984375,1.992188,0.364243,100800
1981-01-20,0.000000,2.007813,1.984375,1.992188,0.364243,68800
1981-01-21,0.000000,2.015625,2.000000,2.000000,0.365672,361600
1981-01-22,0.000000,2.000000,1.968750,1.968750,0.359958,91200
1981-01-23,0.000000,1.984375,1.960938,1.984375,0.362815,80000
1981-01-26,0.000000,2.007813,1.945313,1.984375,0.362815,188800
1981-01-27,0.000000,2.023438,1.992188,2.007813,0.367100,656000
1981-01-28,0.000000,2.039063,2.007813,2.039063,0.372814,384000
1981-01-29,0.000000,2.070313,2.046875,2.054688,0.375671,697600
1981-01-30,0.000000,2.054688,2.023438,2.046875,0.374242,177600
1981-02-02,0.000000,2.054688,2.023438,2.046875,0.374242,99200
1981-02-03,0.000000,2.046875,2.023438,2.023438,0.369957,116800
1981-02-04,0.000000,2.039063,2.023438,2.023438,0.369957,172800
1981-02-05,0.000000,2.046875,2.031250,2.039063,0.372814,56000
1981-02-06,0.000000,2.070313,2.031250,2.062500,0.377099,158400
1981-02-09,0.000000,2.062500,2.054688,2.054688,0.375671,145600
1981-02-10,0.000000,2.054688,2.039063,2.039063,0.372814,211200
1981-02-11,0.000000,2.046875,2.023438,2.023438,0.369957,68800
1981-02-12,0.000000,2.046875,2.023438,2.031250,0.371385,44800
1981-02-13,0.000000,2.046875,2.015625,2.015625,0.368529,35200
1981-02-17,0.000000,2.023438,2.000000,2.007813,0.367100,78400
1981-02-18,0.000000,2.023438,2.007813,2.023438,0.369957,38400
1981-02-19,0.000000,2.039063,2.023438,2.023438,0.369957,84800
1981-02-20,0.000000,2.023438,2.007813,2.015625,0.368529,113600
1981-02-23,0.000000,2.000000,1.968750,1.968750,0.359958,123200
1981-02-24,0.000000,1.968750,1.945313,1.968750,0.359958,35200
1981-02-25,0.000000,1.953125,1.890625,1.906250,0.348531,208000
1981-02-26,0.000000,1.921875,1.882813,1.914063,0.349959,153600
1981-02-27,0.000000,1.929688,1.914063,1.921875,0.351388,68800
