Date,Open,High,Low,Close,Adj Close,Volume
1996-12-17,3.750000,3.750000,3.500000,3.500000,2.743874,1272400
1996-12-18,3.500000,3.593750,3.312500,3.562500,2.792872,1186800
1996-12-19,3.593750,3.718750,3.593750,3.656250,2.866369,528800
1996-12-20,3.625000,3.718750,3.625000,3.718750,2.915366,233200
1996-12-23,3.750000,3.843750,3.718750,3.812500,2.988863,57200
1996-12-24,3.843750,3.906250,3.843750,3.906250,3.062360,14000
1996-12-26,3.906250,3.937500,3.812500,3.812500,2.988863,22000
1996-12-27,3.812500,3.812500,3.812500,3.812500,2.988863,800
1996-12-30,3.843750,3.843750,3.781250,3.781250,2.964364,28400
1996-12-31,3.750000,3.781250,3.750000,3.781250,2.964364,15600
1997-01-02,3.750000,3.750000,3.656250,3.656250,2.866369,710000
1997-01-03,3.656250,3.781250,3.656250,3.750000,2.939865,1579600
1997-01-06,3.781250,3.812500,3.750000,3.781250,2.964364,2490800
1997-01-07,3.812500,4.000000,3.781250,4.000000,3.135856,641200
1997-01-08,4.062500,4.187500,4.031250,4.031250,3.160355,336000
1997-01-09,4.031250,4.093750,4.031250,4.062500,3.184854,459200
1997-01-10,4.093750,4.125000,4.062500,4.093750,3.209353,812800
1997-01-13,4.093750,4.093750,4.000000,4.062500,3.184854,3370000
1997-01-14,4.218750,4.437500,4.187500,4.437500,3.478840,2018000
1997-01-15,4.312500,4.343750,4.093750,4.093750,3.209353,2648400
1997-01-16,4.000000,4.062500,3.968750,4.000000,3.135856,2926000
1997-01-17,4.000000,4.062500,3.968750,4.031250,3.160355,1323600
1997-01-20,4.000000,4.031250,3.968750,3.968750,3.111358,2368400
1997-01-21,4.000000,4.031250,4.000000,4.000000,3.135856,2347200
1997-01-22,4.031250,4.031250,4.000000,4.000000,3.135856,2797600
1997-01-23,4.062500,4.156250,4.062500,4.093750,3.209353,1058800
1997-01-24,4.093750,4.281250,4.031250,4.031250,3.160355,1254800
1997-01-27,4.031250,4.093750,4.031250,4.031250,3.160355,1658000
