Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,2.319990,2.293805,2.319990,0.249813,162300
1980-12-15,0.000000,2.325227,2.304279,2.319990,0.249813,78700
1980-12-16,0.000000,2.340938,2.319990,2.340938,0.252069,81000
1980-12-17,0.000000,2.377597,2.304279,2.377597,0.256016,238600
1980-12-18,0.000000,2.471863,2.409019,2.450915,0.263911,76200
1980-12-19,0.000000,2.450915,2.429967,2.450915,0.263911,57100
1980-12-22,0.000000,2.524233,2.461389,2.524233,0.271806,190800
1980-12-23,0.000000,2.555655,2.534707,2.534707,0.272934,38100
1980-12-24,0.000000,2.545181,2.524233,2.545181,0.274062,143100
1980-12-26,0.000000,2.534707,2.534707,2.534707,0.272934,97800
1980-12-29,0.000000,2.566128,2.524233,2.555655,0.275189,73900
1980-12-30,0.000000,2.597551,2.571366,2.576603,0.277445,38100
1980-12-31,0.000000,2.628973,2.592314,2.628973,0.283084,28500
1981-01-02,0.000000,2.660395,2.639446,2.649920,0.285340,35700
1981-01-05,0.000000,2.697053,2.665632,2.681343,0.288723,207600
1981-01-06,0.000000,2.712765,2.649920,2.649920,0.285340,217100
1981-01-07,0.000000,2.608025,2.555655,2.576603,0.277445,207600
1981-01-08,0.000000,2.649920,2.534707,2.534707,0.272934,131200
1981-01-09,0.000000,2.534707,2.503285,2.513759,0.270678,174100
1981-01-12,0.000000,2.545181,2.503285,2.513759,0.270678,465300
1981-01-13,0.000000,2.492811,2.440441,2.471863,0.266167,135900
1981-01-14,0.000000,2.471863,2.440441,2.461389,0.265039,157400
1981-01-15,0.000000,2.461389,2.450915,2.461389,0.265039,54800
1981-01-16,0.000000,2.471863,2.440441,2.440441,0.262783,119300
1981-01-19,0.000000,2.445678,2.429967,2.435204,0.262219,90600
1981-01-20,0.000000,2.440441,2.398545,2.398545,0.258272,121600
1981-01-21,0.000000,2.304279,2.283331,2.283331,0.245866,179000
1981-01-22,0.000000,2.325227,2.283331,2.293805,0.246994,279100
1981-01-23,0.000000,2.335701,2.309516,2.335701,0.251505,147900
1981-01-26,0.000000,2.356649,2.340938,2.346175,0.252633,369900
1981-01-27,0.000000,2.382834,2.335701,2.382834,0.256580,59600
1981-01-28,0.000000,2.393308,2.356649,2.393308,0.257708,112100
1981-01-29,0.000000,2.382834,2.335701,2.351412,0.253197,496400
1981-01-30,0.000000,2.351412,2.335701,2.346175,0.252633,291100
1981-02-02,0.000000,2.335701,2.293805,2.304279,0.248122,159800
1981-02-03,0.000000,2.304279,2.272857,2.288568,0.246430,811500
1981-02-04,0.000000,2.325227,2.299042,2.304279,0.248122,219400
1981-02-05,0.000000,2.325227,2.304279,2.325227,0.250377,544100
1981-02-06,0.000000,2.351412,2.325227,2.335701,0.251505,176500
1981-02-09,0.000000,2.325227,2.309516,2.325227,0.250377,97800
1981-02-10,0.000000,2.330464,2.319990,2.330464,0.250941,50000
1981-02-11,0.000000,2.325227,2.304279,2.304279,0.248122,887800
1981-02-12,0.000000,2.283331,2.241435,2.241435,0.241355,198000
1981-02-13,0.000000,2.246672,2.230961,2.236198,0.240791,188500
1981-02-17,0.000000,2.272857,2.236198,2.262383,0.243610,85900
1981-02-18,0.000000,2.304279,2.262383,2.304279,0.248122,26200
1981-02-19,0.000000,2.309516,2.304279,2.304279,0.248122,212300
1981-02-20,0.000000,2.314753,2.293805,2.299042,0.247558,622900
1981-02-23,0.000000,2.299042,2.262383,2.299042,0.247558,42900
1981-02-24,0.000000,2.335701,2.299042,2.325227,0.250377,104900
1981-02-25,0.000000,2.325227,2.278094,2.278094,0.245302,95400
1981-02-26,0.000000,2.314753,2.272857,2.272857,0.244738,62000
1981-02-27,0.000000,2.429967,2.314753,2.429967,0.261655,384200
1981-03-02,0.000000,2.409019,2.403782,2.409019,0.259400,329300
1981-03-03,0.000000,2.429967,2.409019,2.419493,0.260528,942700
1981-03-04,0.000000,2.435204,2.409019,2.409019,0.259400,291100
1981-03-05,0.000000,2.419493,2.409019,2.409019,0.259400,78700
1981-03-06,0.000000,2.409019,2.388071,2.409019,0.259400,143100
1981-03-09,0.000000,2.440441,2.419493,2.429967,0.261655,200400
1981-03-10,0.000000,2.471863,2.450915,2.471863,0.266167,515500
1981-03-11,0.000000,2.555655,2.482337,2.539944,0.273498,264900
1981-03-12,0.000000,2.618499,2.555655,2.587077,0.278573,837700
1981-03-13,0.000000,2.670869,2.608025,2.608025,0.280829,386600
1981-03-16,0.000000,2.649920,2.618499,2.628973,0.283084,133500
1981-03-17,0.000000,2.681343,2.618499,2.623736,0.282520,217100
1981-03-18,0.000000,2.639446,2.634210,2.639446,0.284212,434200
1981-03-19,0.000000,2.628973,2.608025,2.628973,0.283084,441400
1981-03-20,0.000000,2.613262,2.576603,2.576603,0.277445,124000
1981-03-23,0.000000,2.571366,2.555655,2.555655,0.275189,241000
1981-03-24,0.000000,2.587077,2.566128,2.576603,0.277445,231500
1981-03-25,0.000000,2.576603,2.513759,2.550418,0.274625,231500
1981-03-26,0.000000,2.555655,2.524233,2.534707,0.272934,255200
1981-03-27,0.000000,2.550418,2.513759,2.545181,0.274062,1410500
1981-03-30,0.000000,2.550418,2.503285,2.513759,0.270678,198000
1981-03-31,0.000000,2.534707,2.503285,2.524233,0.271806,28500
1981-04-01,0.000000,2.555655,2.503285,2.513759,0.270678,147900
1981-04-02,0.000000,2.555655,2.529470,2.555655,0.275189,1207600
1981-04-03,0.000000,2.555655,2.503285,2.513759,0.270678,83400
1981-04-06,0.000000,2.555655,2.513759,2.545181,0.274062,95400
1981-04-07,0.000000,2.550418,2.529470,2.545181,0.274062,88200
1981-04-08,0.000000,2.539944,2.471863,2.503285,0.269550,88200
1981-04-09,0.000000,2.513759,2.477100,2.482337,0.267295,1021400
1981-04-10,0.000000,2.508522,2.471863,2.498048,0.268986,100100
1981-04-13,0.000000,2.482337,2.429967,2.440441,0.262783,264900
1981-04-14,0.000000,2.471863,2.429967,2.440441,0.262783,553600
1981-04-15,0.000000,2.503285,2.450915,2.477100,0.266731,274400
1981-04-16,0.000000,2.508522,2.482337,2.498048,0.268986,677800
1981-04-20,0.000000,2.513759,2.482337,2.513759,0.270678,157400
1981-04-21,0.000000,2.518996,2.482337,2.503285,0.269550,794700
1981-04-22,0.000000,2.545181,2.487574,2.487574,0.267859,1205300
1981-04-23,0.000000,2.534707,2.503285,2.513759,0.270678,775700
1981-04-24,0.000000,2.524233,2.513759,2.524233,0.271806,708800
1981-04-27,0.000000,2.587077,2.513759,2.587077,0.278573,104900
1981-04-28,0.000000,2.608025,2.524233,2.534707,0.272934,133500
1981-04-29,0.000000,2.534707,2.513759,2.513759,0.270678,300700
1981-04-30,0.000000,2.524233,2.508522,2.508522,0.270114,42900
1981-05-01,0.000000,2.534707,2.503285,2.513759,0.270678,269600
1981-05-04,0.000000,2.534707,2.513759,2.513759,0.270678,102600
1981-05-05,0.000000,2.513759,2.450915,2.450915,0.263911,525000
1981-05-06,0.000000,2.471863,2.429967,2.429967,0.261655,885400
1981-05-07,0.000000,2.450915,2.409019,2.450915,0.263911,417700
1981-05-08,0.000000,2.471863,2.450915,2.471863,0.266167,283900
1981-05-11,0.000000,2.482337,2.477100,2.477100,0.266731,276800
1981-05-12,0.000000,2.492811,2.471863,2.492811,0.268422,1183700
1981-05-13,0.000000,2.513759,2.492811,2.498048,0.268986,38100
1981-05-14,0.000000,2.513759,2.471863,2.471863,0.266167,157400
1981-05-15,0.000000,2.508522,2.471863,2.492811,0.268422,114500
1981-05-18,0.000000,2.529470,2.482337,2.513759,0.270678,124000
1981-05-19,0.000000,2.555655,2.529470,2.545181,0.274062,92900
1981-05-20,0.000000,2.550418,2.534707,2.550418,0.274625,911600
1981-05-21,0.000000,2.550418,2.529470,2.550418,0.274625,300700
1981-05-22,0.000000,2.550418,2.518996,2.518996,0.271242,133500
1981-05-26,0.000000,2.529470,2.529470,2.529470,0.272370,38100
1981-05-27,0.000000,2.566128,2.534707,2.555655,0.275189,260100
1981-05-28,0.000000,2.566128,2.555655,2.555655,0.275189,314900
1981-05-29,0.000000,2.545181,2.482337,2.492811,0.268422,85900
1981-06-01,0.000000,2.513759,2.482337,2.482337,0.267295,587000
1981-06-02,0.000000,2.487574,2.471863,2.471863,0.266167,224300
1981-06-03,0.000000,2.466626,2.450915,2.450915,0.263911,179000
1981-06-04,0.000000,2.456152,2.450915,2.450915,0.263911,162300
1981-06-05,0.000000,2.471863,2.461389,2.461389,0.265039,190800
1981-06-08,0.000000,2.513759,2.471863,2.513759,0.270678,794700
1981-06-09,0.000000,2.513759,2.471863,2.492811,0.268422,167000
1981-06-10,0.000000,2.503285,2.482337,2.503285,0.269550,45300
1981-06-11,0.000000,2.503285,2.419493,2.419493,0.260528,162300
1981-06-12,0.000000,2.440441,2.409019,2.419493,0.260528,276800
1981-06-15,0.000000,2.440441,2.429967,2.440441,0.262783,50000
1981-06-16,0.000000,2.471863,2.440441,2.471863,0.266167,186000
1981-06-17,0.000000,2.456152,2.388071,2.419493,0.260528,766000
1981-06-18,0.000000,2.429967,2.414256,2.424730,0.261092,95400
1981-06-19,0.000000,2.445678,2.409019,2.445678,0.263347,59600
1981-06-22,0.000000,2.450915,2.440441,2.440441,0.262783,157400
1981-06-23,0.000000,2.429967,2.398545,2.429967,0.261655,169300
1981-06-24,0.000000,2.461389,2.409019,2.409019,0.259400,591800
1981-06-25,0.000000,2.419493,2.335701,2.367123,0.254888,95400
1981-06-26,0.000000,2.388071,2.346175,2.351412,0.253197,100100
1981-06-29,0.000000,2.377597,2.356649,2.367123,0.254888,47600
1981-06-30,0.000000,2.388071,2.346175,2.388071,0.257144,224300
1981-07-01,0.000000,2.409019,2.351412,2.361886,0.254324,587000
1981-07-02,0.000000,2.356649,2.293805,2.293805,0.246994,200400
1981-07-06,0.000000,2.293805,2.220487,2.220487,0.239099,133500
1981-07-07,0.000000,2.220487,2.052903,2.147169,0.231204,610900
1981-07-08,0.000000,2.189065,2.147169,2.189065,0.235715,288700
1981-07-09,0.000000,2.210013,2.178591,2.210013,0.237971,152600
1981-07-10,0.000000,2.220487,2.178591,2.178591,0.234588,243300
1981-07-13,0.000000,2.189065,2.136695,2.147169,0.231204,279100
1981-07-14,0.000000,2.220487,2.136695,2.178591,0.234588,928300
1981-07-15,0.000000,2.346175,2.220487,2.346175,0.252633,759000
1981-07-16,0.000000,2.429967,2.367123,2.398545,0.258272,303000
1981-07-17,0.000000,2.445678,2.403782,2.445678,0.263347,336400
1981-07-20,0.000000,2.440441,2.388071,2.393308,0.257708,1539400
1981-07-21,0.000000,2.388071,2.262383,2.293805,0.246994,594200
1981-07-22,0.000000,2.319990,2.283331,2.304279,0.248122,1969100
1981-07-23,0.000000,2.319990,2.293805,2.319990,0.249813,76200
1981-07-24,0.000000,2.335701,2.314753,2.314753,0.249249,439100
1981-07-27,0.000000,2.346175,2.319990,2.330464,0.250941,486900
