Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,2.947917,2.989583,2.947917,2.979167,0.263929,476400
1980-12-15,2.979167,3.000000,2.947917,3.000000,0.265775,532800
1980-12-16,3.000000,3.041667,3.000000,3.010417,0.266698,649200
1980-12-17,3.010417,3.041667,2.989583,3.020833,0.267621,422400
1980-12-18,3.031250,3.072917,3.031250,3.072917,0.272235,594000
1980-12-19,3.072917,3.104167,3.020833,3.041667,0.269467,954000
1980-12-22,3.041667,3.052083,3.020833,3.041667,0.269467,868800
1980-12-23,3.041667,3.104167,3.041667,3.083333,0.273158,726000
1980-12-24,3.072917,3.072917,3.052083,3.052083,0.270389,184800
1980-12-26,3.052083,3.083333,3.052083,3.072917,0.272235,69600
1980-12-29,3.072917,3.072917,3.052083,3.072917,0.272235,234000
1980-12-30,3.072917,3.072917,3.031250,3.072917,0.272235,225600
1980-12-31,3.072917,3.072917,3.020833,3.041667,0.269467,162000
1981-01-02,3.041667,3.052083,3.020833,3.031250,0.268544,488400
1981-01-05,3.072917,3.135417,3.072917,3.135417,0.277772,855600
1981-01-06,3.156250,3.322917,3.156250,3.322917,0.294383,1606800
1981-01-07,3.281250,3.281250,3.166667,3.218750,0.285154,1388400
1981-01-08,3.218750,3.229167,3.166667,3.197917,0.283309,524400
1981-01-09,3.197917,3.218750,3.177083,3.218750,0.285154,667200
1981-01-12,3.218750,3.281250,3.208333,3.229167,0.286077,864000
1981-01-13,3.229167,3.239583,3.187500,3.229167,0.286077,362400
1981-01-14,3.229167,3.250000,3.208333,3.229167,0.286077,322800
1981-01-15,3.229167,3.239583,3.197917,3.218750,0.285154,464400
1981-01-16,3.218750,3.250000,3.197917,3.239583,0.287000,601200
1981-01-19,3.239583,3.239583,3.197917,3.197917,0.283309,590400
1981-01-20,3.197917,3.239583,3.166667,3.166667,0.280540,1149600
1981-01-21,3.166667,3.197917,3.135417,3.177083,0.281463,469200
1981-01-22,3.156250,3.156250,3.104167,3.156250,0.279617,675600
1981-01-23,3.135417,3.135417,3.104167,3.114583,0.275926,495600
1981-01-26,3.114583,3.135417,3.083333,3.104167,0.275003,172800
1981-01-27,3.104167,3.104167,3.072917,3.072917,0.272235,1608000
1981-01-28,3.072917,3.104167,3.052083,3.083333,0.273158,460800
1981-01-29,3.083333,3.104167,3.083333,3.104167,0.275003,571200
1981-01-30,3.104167,3.104167,3.072917,3.104167,0.275003,907200
1981-02-02,3.104167,3.114583,3.010417,3.031250,0.268544,396000
1981-02-03,3.031250,3.104167,3.010417,3.083333,0.273158,1629600
1981-02-04,3.083333,3.114583,3.052083,3.114583,0.275926,664800
1981-02-05,3.114583,3.114583,3.083333,3.083333,0.273158,799200
1981-02-06,3.083333,3.104167,3.072917,3.104167,0.275003,584400
1981-02-09,3.104167,3.114583,3.104167,3.104167,0.275003,226800
1981-02-10,3.104167,3.125000,3.104167,3.114583,0.275926,727200
1981-02-11,3.114583,3.125000,3.083333,3.114583,0.275926,146400
1981-02-12,3.114583,3.125000,3.083333,3.104167,0.275003,819600
1981-02-13,3.104167,3.114583,3.072917,3.104167,0.278291,1000800
1981-02-17,3.104167,3.104167,3.052083,3.052083,0.273621,250800
