Date,Open,High,Low,Close,Adj Close,Volume
1994-06-07,19.125000,19.625000,19.125000,19.375000,5.781625,1595400
1994-06-08,19.375000,19.375000,19.125000,19.250000,5.744323,162400
1994-06-09,19.250000,19.250000,19.125000,19.250000,5.744323,76200
1994-06-10,19.250000,19.250000,19.000000,19.125000,5.707026,110500
1994-06-13,19.125000,19.125000,19.000000,19.125000,5.707026,51200
1994-06-14,19.125000,19.250000,19.125000,19.250000,5.744323,28100
1994-06-15,19.250000,19.500000,19.125000,19.250000,5.744323,96700
1994-06-16,19.250000,19.250000,19.125000,19.125000,5.707026,19800
1994-06-17,19.125000,19.250000,19.000000,19.000000,5.669724,56000
1994-06-20,19.000000,19.125000,19.000000,19.125000,5.707026,43500
1994-06-21,19.125000,19.125000,19.000000,19.000000,5.669724,34700
1994-06-22,19.000000,19.125000,19.000000,19.000000,5.669724,29500
1994-06-23,19.000000,19.125000,18.750000,18.750000,5.595119,67900
1994-06-24,18.625000,18.625000,18.125000,18.375000,5.506712,72500
1994-06-27,18.375000,18.375000,17.250000,17.875000,5.356868,70100
1994-06-28,17.875000,18.125000,17.500000,17.625000,5.281948,64700
1994-06-29,17.750000,18.125000,17.750000,17.875000,5.356868,25100
1994-06-30,17.875000,18.000000,17.625000,17.625000,5.281948,26100
1994-07-01,17.625000,17.750000,17.375000,17.750000,5.319409,25500
1994-07-05,17.750000,17.875000,17.750000,17.875000,5.356868,2900
1994-07-06,17.875000,17.875000,17.500000,17.625000,5.281948,33600
1994-07-07,17.625000,17.875000,17.625000,17.625000,5.281948,30500
1994-07-08,17.625000,17.875000,17.625000,17.625000,5.281948,30200
1994-07-11,17.625000,17.875000,17.500000,17.750000,5.319409,29300
1994-07-12,17.750000,17.875000,17.625000,17.750000,5.319409,11700
1994-07-13,17.750000,17.875000,17.625000,17.750000,5.319409,37800
1994-07-14,17.750000,17.875000,17.625000,17.875000,5.356868,24600
1994-07-15,17.875000,18.000000,17.875000,18.000000,5.394331,15000
1994-07-18,18.000000,18.000000,17.875000,18.000000,5.394331,22900
1994-07-19,18.000000,18.500000,18.000000,18.500000,5.544174,25700
1994-07-20,18.500000,18.500000,18.125000,18.250000,5.469254,15900
1994-07-21,18.250000,18.250000,18.000000,18.250000,5.469254,16000
1994-07-22,18.250000,18.500000,18.250000,18.375000,5.506712,18800
1994-07-25,18.375000,18.500000,18.250000,18.500000,5.544174,20100
1994-07-26,18.500000,18.625000,18.375000,18.500000,5.544174,14200
1994-07-27,18.375000,18.375000,18.125000,18.250000,5.469254,10100
1994-07-28,18.125000,18.125000,17.875000,17.875000,5.356868,9200
1994-07-29,17.875000,17.875000,17.625000,17.750000,5.319409,71400
1994-08-01,17.750000,17.750000,17.625000,17.625000,5.281948,23500
1994-08-02,17.625000,18.125000,17.625000,18.125000,5.431790,36700
1994-08-03,18.125000,18.375000,17.875000,18.375000,5.506712,16300
1994-08-04,18.375000,18.375000,17.875000,18.000000,5.394331,19800
1994-08-05,18.000000,18.000000,17.875000,18.000000,5.394331,9100
1994-08-08,18.000000,18.125000,17.875000,18.000000,5.394331,20100
1994-08-09,17.875000,17.875000,17.750000,17.750000,5.319409,26700
1994-08-10,17.750000,18.125000,17.750000,18.125000,5.431790,52600
1994-08-11,18.125000,18.250000,17.875000,17.875000,5.356868,15800
1994-08-12,17.875000,18.125000,17.875000,18.000000,5.394331,6100
1994-08-15,18.000000,18.000000,17.875000,17.875000,5.356868,14400
1994-08-16,17.875000,18.125000,17.875000,18.125000,5.431790,16800
1994-08-17,18.125000,18.125000,18.000000,18.125000,5.431790,14500
1994-08-18,18.000000,18.000000,17.875000,18.000000,5.394331,11500
1994-08-19,18.000000,18.125000,17.875000,18.000000,5.394331,10300
1994-08-22,18.000000,18.125000,18.000000,18.125000,5.431790,6500
1994-08-23,18.125000,18.125000,18.000000,18.125000,5.431790,9600
1994-08-24,18.125000,18.125000,18.000000,18.125000,5.431790,18300
1994-08-25,18.125000,18.125000,17.750000,17.750000,5.319409,12800
1994-08-26,17.750000,18.000000,17.750000,18.000000,5.394331,13400
1994-08-29,18.000000,18.125000,17.875000,18.125000,5.431790,11900
1994-08-30,18.125000,18.250000,18.000000,18.250000,5.469254,39400
1994-08-31,18.250000,18.500000,18.250000,18.375000,5.506712,23900
1994-09-01,18.375000,18.500000,18.250000,18.500000,5.544174,31400
1994-09-02,18.500000,19.000000,18.375000,19.000000,5.694018,27800
1994-09-06,18.875000,18.875000,18.625000,18.750000,5.619094,8800
1994-09-07,18.750000,18.875000,18.625000,18.750000,5.619094,10800
1994-09-08,18.750000,18.875000,18.625000,18.625000,5.581635,7100
1994-09-09,18.625000,18.750000,18.250000,18.625000,5.581635,17800
1994-09-12,18.625000,18.750000,18.625000,18.750000,5.619094,9300
1994-09-13,18.750000,18.750000,18.500000,18.500000,5.544174,11400
1994-09-14,18.500000,18.625000,18.375000,18.375000,5.506712,7800
1994-09-15,18.375000,18.625000,18.250000,18.625000,5.581635,8700
1994-09-16,18.625000,18.625000,18.250000,18.250000,5.469254,10700
1994-09-19,18.250000,18.500000,18.125000,18.500000,5.544174,7200
1994-09-20,18.500000,18.750000,18.500000,18.625000,5.581635,11700
1994-09-21,18.625000,18.625000,18.125000,18.375000,5.506712,12800
1994-09-22,18.375000,18.375000,17.875000,18.000000,5.394331,20400
1994-09-23,18.000000,18.000000,17.625000,17.875000,5.356868,5500
1994-09-26,17.875000,18.000000,17.125000,18.000000,5.523335,18000
1994-09-27,18.000000,18.125000,17.875000,18.000000,5.523335,5300
1994-09-28,18.000000,18.000000,17.375000,17.375000,5.331554,9200
1994-09-29,17.500000,17.875000,17.500000,17.875000,5.484982,6300
1994-09-30,17.875000,18.000000,17.750000,18.000000,5.523335,6400
1994-10-03,18.000000,18.000000,17.750000,17.750000,5.446625,5900
1994-10-04,17.750000,18.000000,17.750000,17.750000,5.446625,5500
1994-10-05,17.750000,17.750000,16.875000,17.000000,5.216483,15300
1994-10-06,17.000000,17.125000,16.750000,16.750000,5.139774,35900
1994-10-07,16.875000,17.000000,16.875000,17.000000,5.216483,36500
1994-10-10,17.000000,17.375000,17.000000,17.000000,5.216483,23700
1994-10-11,17.000000,17.000000,16.500000,16.750000,5.139774,32900
1994-10-12,16.750000,17.000000,16.750000,17.000000,5.216483,12700
1994-10-13,17.000000,17.000000,16.750000,16.750000,5.139774,6400
1994-10-14,16.750000,16.750000,16.500000,16.625000,5.101416,10200
1994-10-17,16.750000,16.875000,16.750000,16.875000,5.178132,8100
1994-10-18,16.875000,17.250000,16.875000,16.875000,5.178132,24700
1994-10-19,16.875000,16.875000,16.625000,16.750000,5.139774,9200
1994-10-20,16.750000,17.000000,16.500000,16.875000,5.178132,20700
1994-10-21,16.875000,17.125000,16.875000,17.125000,5.254842,5000
1994-10-24,17.125000,17.250000,17.125000,17.125000,5.254842,4900
1994-10-25,17.125000,17.125000,16.625000,16.875000,5.178132,12000
1994-10-26,16.875000,16.875000,16.500000,16.625000,5.101416,9600
1994-10-27,16.625000,16.625000,16.500000,16.625000,5.101416,43100
1994-10-28,16.750000,17.250000,16.750000,17.250000,5.293200,7600
1994-10-31,17.250000,17.625000,17.125000,17.625000,5.408268,18400
1994-11-01,17.500000,17.500000,17.000000,17.250000,5.293200,11200
1994-11-02,17.250000,17.500000,17.250000,17.500000,5.369913,12900
1994-11-03,17.500000,17.500000,17.375000,17.375000,5.331554,16800
1994-11-04,17.250000,17.375000,17.250000,17.375000,5.331554,56300
