Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,6.062500,6.062500,5.937500,6.000000,0.465045,400000
1980-12-15,5.937500,5.937500,5.750000,5.750000,0.445668,450000
1980-12-16,5.750000,5.875000,5.687500,5.812500,0.450512,297000
1980-12-17,5.812500,5.875000,5.687500,5.875000,0.455356,353600
1980-12-18,5.875000,6.187500,5.875000,6.125000,0.474733,255200
1980-12-19,6.125000,6.250000,6.125000,6.187500,0.479577,426400
1980-12-22,6.312500,6.500000,6.312500,6.500000,0.503798,244400
1980-12-23,6.500000,6.625000,6.437500,6.562500,0.508643,224800
1980-12-24,6.562500,6.562500,6.500000,6.500000,0.503798,70600
1980-12-26,6.500000,6.562500,6.437500,6.437500,0.498954,66400
1980-12-29,6.437500,6.437500,6.312500,6.375000,0.494110,177200
1980-12-30,6.375000,6.375000,6.312500,6.312500,0.489266,150400
1980-12-31,6.312500,6.375000,6.250000,6.250000,0.484422,175600
1981-01-02,6.250000,6.437500,6.250000,6.437500,0.498954,92000
1981-01-05,6.500000,6.750000,6.500000,6.750000,0.523176,121200
1981-01-06,6.812500,7.000000,6.812500,6.875000,0.532864,113800
1981-01-07,6.812500,6.812500,6.687500,6.750000,0.523176,94800
1981-01-08,6.750000,6.875000,6.562500,6.562500,0.508643,50000
1981-01-09,6.562500,6.625000,6.500000,6.562500,0.508643,78400
1981-01-12,6.625000,6.750000,6.625000,6.625000,0.513487,51200
1981-01-13,6.625000,6.687500,6.625000,6.687500,0.518331,78000
1981-01-14,6.687500,6.687500,6.625000,6.625000,0.513487,55800
1981-01-15,6.625000,6.687500,6.625000,6.625000,0.513487,37000
1981-01-16,6.625000,6.687500,6.625000,6.625000,0.513487,26600
1981-01-19,6.625000,6.687500,6.562500,6.562500,0.508643,67600
1981-01-20,6.562500,6.625000,6.500000,6.500000,0.503798,56200
1981-01-21,6.500000,6.500000,6.437500,6.500000,0.503798,87600
1981-01-22,6.500000,6.500000,6.375000,6.437500,0.498954,41800
1981-01-23,6.437500,6.437500,6.250000,6.312500,0.489266,66200
1981-01-26,6.312500,6.375000,6.250000,6.250000,0.484422,91200
1981-01-27,6.312500,6.437500,6.312500,6.375000,0.494110,91600
1981-01-28,6.375000,6.500000,6.375000,6.437500,0.498954,64000
1981-01-29,6.437500,6.500000,6.375000,6.437500,0.498954,35200
1981-01-30,6.437500,6.625000,6.437500,6.562500,0.508643,112200
1981-02-02,6.562500,6.562500,6.500000,6.562500,0.508643,76600
1981-02-03,6.562500,6.562500,6.187500,6.500000,0.503798,178000
1981-02-04,6.500000,6.562500,6.437500,6.500000,0.503798,101600
1981-02-05,6.500000,6.562500,6.437500,6.437500,0.498954,41200
1981-02-06,6.437500,6.500000,6.437500,6.437500,0.498954,90200
1981-02-09,6.437500,6.500000,6.437500,6.500000,0.503798,124400
1981-02-10,6.250000,6.250000,6.187500,6.187500,0.496773,79400
1981-02-11,6.187500,6.250000,6.187500,6.250000,0.501791,111200
1981-02-12,6.250000,6.250000,6.187500,6.187500,0.496773,66200
1981-02-13,6.187500,6.312500,6.125000,6.250000,0.501791,54400
1981-02-17,6.187500,6.187500,6.062500,6.062500,0.486738,144000
1981-02-18,6.062500,6.187500,6.062500,6.062500,0.486738,113200
1981-02-19,6.062500,6.125000,6.062500,6.062500,0.486738,83600
1981-02-20,6.062500,6.187500,6.000000,6.000000,0.481720,727200
1981-02-23,6.000000,6.125000,6.000000,6.125000,0.491755,104600
1981-02-24,6.125000,6.125000,6.062500,6.125000,0.491755,108600
1981-02-25,6.125000,6.187500,6.125000,6.125000,0.491755,59600
1981-02-26,6.125000,6.187500,6.125000,6.187500,0.496773,50800
1981-02-27,6.187500,6.187500,6.125000,6.125000,0.491755,88600
1981-03-02,6.125000,6.187500,6.125000,6.125000,0.491755,143400
1981-03-03,6.125000,6.187500,6.062500,6.062500,0.486738,100000
1981-03-04,6.062500,6.125000,6.000000,6.000000,0.481720,120000
1981-03-05,6.000000,6.125000,5.562500,6.062500,0.486738,85000
1981-03-06,6.062500,6.125000,5.937500,6.062500,0.486738,48400
1981-03-09,6.062500,6.125000,6.062500,6.062500,0.486738,92800
1981-03-10,6.062500,6.187500,6.062500,6.187500,0.496773,88600
1981-03-11,6.187500,6.187500,6.062500,6.187500,0.496773,84400
1981-03-12,6.187500,6.187500,6.125000,6.187500,0.496773,97800
1981-03-13,6.187500,6.250000,6.000000,6.187500,0.496773,150200
1981-03-16,6.187500,6.250000,6.125000,6.250000,0.501791,67200
1981-03-17,6.250000,6.312500,6.250000,6.250000,0.501791,99200
1981-03-18,6.250000,6.375000,6.250000,6.312500,0.506809,125800
1981-03-19,6.312500,6.375000,6.250000,6.375000,0.511828,91600
1981-03-20,6.375000,6.375000,6.250000,6.250000,0.501791,86600
1981-03-23,6.250000,6.375000,6.250000,6.250000,0.501791,83600
1981-03-24,6.250000,6.312500,6.250000,6.250000,0.501791,60000
1981-03-25,6.250000,6.312500,6.250000,6.312500,0.506809,65200
1981-03-26,6.312500,6.375000,6.250000,6.250000,0.501791,96400
1981-03-27,6.250000,6.312500,6.187500,6.187500,0.496773,77600
1981-03-30,6.187500,6.250000,6.187500,6.250000,0.501791,60400
1981-03-31,6.250000,6.250000,6.062500,6.062500,0.486738,377000
1981-04-01,6.062500,6.187500,6.062500,6.125000,0.491755,80600
1981-04-02,6.125000,6.250000,6.062500,6.187500,0.496773,83200
1981-04-03,6.187500,6.250000,6.125000,6.250000,0.501791,806200
1981-04-06,6.250000,6.250000,6.187500,6.187500,0.496773,224800
1981-04-07,6.187500,6.250000,6.187500,6.250000,0.501791,174600
1981-04-08,6.250000,6.250000,6.125000,6.187500,0.496773,258800
1981-04-09,6.187500,6.187500,6.062500,6.187500,0.496773,93800
1981-04-10,6.187500,6.187500,6.062500,6.125000,0.491755,89200
1981-04-13,6.125000,6.187500,6.125000,6.187500,0.496773,138800
1981-04-14,6.187500,6.250000,6.125000,6.125000,0.491755,74800
1981-04-15,6.125000,6.187500,6.125000,6.187500,0.496773,102000
1981-04-16,6.187500,6.312500,6.125000,6.250000,0.501791,174800
1981-04-20,6.250000,6.437500,6.250000,6.375000,0.511828,188400
1981-04-21,6.375000,6.500000,6.312500,6.375000,0.511828,267600
1981-04-22,6.375000,6.500000,6.312500,6.312500,0.506809,135600
1981-04-23,6.312500,6.312500,6.250000,6.250000,0.501791,95400
1981-04-24,6.250000,6.312500,6.250000,6.312500,0.506809,70600
1981-04-27,6.312500,6.375000,6.250000,6.312500,0.506809,98600
1981-04-28,6.312500,6.437500,6.250000,6.250000,0.501791,99200
1981-04-29,6.250000,6.312500,6.250000,6.312500,0.506809,74800
1981-04-30,6.312500,6.375000,6.187500,6.187500,0.496773,98600
1981-05-01,6.187500,6.250000,6.125000,6.187500,0.496773,77600
1981-05-04,6.187500,6.187500,6.062500,6.062500,0.486738,137800
1981-05-05,6.062500,6.062500,6.000000,6.000000,0.481720,232200
1981-05-06,6.062500,6.125000,6.062500,6.062500,0.486738,133600
1981-05-07,6.062500,6.125000,6.062500,6.125000,0.491755,63800
1981-05-08,6.125000,6.187500,6.062500,6.062500,0.486738,75000
1981-05-11,6.062500,6.125000,6.000000,6.062500,0.486738,187000
1981-05-12,6.062500,6.125000,6.000000,6.125000,0.491755,152000
1981-05-13,6.125000,6.250000,6.125000,6.187500,0.496773,87400
1981-05-14,6.187500,6.312500,6.187500,6.250000,0.501791,84200
1981-05-15,6.250000,6.312500,6.187500,6.250000,0.501791,167200
1981-05-18,6.312500,6.437500,6.312500,6.375000,0.511828,201800
1981-05-19,6.375000,6.437500,6.312500,6.375000,0.511828,202400
1981-05-20,6.062500,6.062500,5.937500,6.000000,0.499344,107200
1981-05-21,6.000000,6.125000,6.000000,6.125000,0.509747,88400
1981-05-22,6.125000,6.125000,6.000000,6.125000,0.509747,85800
1981-05-26,6.125000,6.187500,6.062500,6.125000,0.509747,112200
1981-05-27,6.125000,6.250000,6.062500,6.062500,0.504545,80400
1981-05-28,6.062500,6.187500,6.062500,6.125000,0.509747,153400
1981-05-29,6.125000,6.187500,6.125000,6.187500,0.514948,147200
1981-06-01,6.187500,6.250000,6.125000,6.250000,0.520149,199200
1981-06-02,6.250000,6.250000,6.125000,6.125000,0.509747,85800
1981-06-03,6.125000,6.187500,6.125000,6.187500,0.514948,87600
1981-06-04,6.187500,6.187500,6.125000,6.187500,0.514948,117200
1981-06-05,6.187500,6.187500,6.062500,6.125000,0.509747,102000
1981-06-08,6.125000,6.250000,6.125000,6.250000,0.520149,188600
1981-06-09,6.250000,6.250000,6.125000,6.187500,0.514948,91800
1981-06-10,6.187500,6.312500,6.125000,6.250000,0.520149,303600
1981-06-11,6.250000,6.437500,6.250000,6.437500,0.535754,478800
1981-06-12,6.437500,6.500000,6.375000,6.500000,0.540956,398800
1981-06-15,6.562500,6.750000,6.562500,6.625000,0.551359,191800
1981-06-16,6.625000,6.687500,6.562500,6.562500,0.546157,161200
1981-06-17,6.562500,6.625000,6.500000,6.500000,0.540956,221000
1981-06-18,6.500000,6.500000,6.375000,6.437500,0.535754,99800
1981-06-19,6.437500,6.437500,6.312500,6.375000,0.530553,243200
1981-06-22,6.375000,6.812500,6.375000,6.812500,0.566963,557200
1981-06-23,6.812500,6.812500,6.312500,6.812500,0.566963,242200
1981-06-24,6.812500,6.812500,6.687500,6.687500,0.556560,346000
1981-06-25,6.687500,6.812500,6.687500,6.750000,0.561762,149000
1981-06-26,6.750000,6.812500,6.687500,6.812500,0.566963,401400
1981-06-29,6.812500,6.812500,6.687500,6.750000,0.561762,199200
1981-06-30,6.750000,6.812500,6.687500,6.750000,0.561762,129600
1981-07-01,6.750000,6.750000,6.625000,6.750000,0.561762,164800
1981-07-02,6.750000,6.812500,6.687500,6.750000,0.561762,213800
1981-07-06,6.750000,6.750000,6.625000,6.750000,0.561762,513000
1981-07-07,6.687500,6.687500,6.625000,6.687500,0.556560,215000
1981-07-08,6.687500,6.687500,6.625000,6.687500,0.556560,133800
1981-07-09,6.687500,6.750000,6.562500,6.750000,0.561762,142200
1981-07-10,6.750000,6.812500,6.687500,6.750000,0.561762,139200
1981-07-13,6.750000,6.937500,6.750000,6.812500,0.566963,109200
1981-07-14,6.812500,6.875000,6.750000,6.812500,0.566963,371600
1981-07-15,6.812500,6.875000,6.750000,6.750000,0.561762,290800
1981-07-16,6.750000,6.812500,6.500000,6.750000,0.561762,167000
1981-07-17,6.750000,6.875000,6.687500,6.750000,0.561762,379600
1981-07-20,6.750000,6.812500,6.625000,6.687500,0.556560,238600
1981-07-21,6.687500,6.750000,6.687500,6.687500,0.556560,68400
1981-07-22,6.687500,6.750000,6.687500,6.687500,0.556560,262600
1981-07-23,6.687500,6.750000,6.625000,6.625000,0.551359,190400
1981-07-24,6.687500,6.875000,6.687500,6.875000,0.572164,159200
1981-07-27,6.875000,6.937500,6.812500,6.875000,0.572164,131000
1981-07-28,6.875000,6.875000,6.812500,6.812500,0.566963,390600
1981-07-29,6.812500,6.937500,6.625000,6.937500,0.577366,414000
1981-07-30,6.937500,6.937500,6.812500,6.875000,0.572164,145000
1981-07-31,6.875000,6.875000,6.812500,6.875000,0.572164,96400
1981-08-03,6.875000,6.875000,6.812500,6.812500,0.566963,71600
1981-08-04,6.812500,6.875000,6.812500,6.875000,0.572164,59800
1981-08-05,6.875000,6.875000,6.812500,6.812500,0.566963,257600
1981-08-06,6.812500,6.937500,6.812500,6.937500,0.577366,71200
1981-08-07,6.937500,6.937500,6.875000,6.875000,0.572164,77400
1981-08-10,6.875000,7.125000,6.875000,7.125000,0.592971,128200
1981-08-11,7.125000,7.125000,7.000000,7.125000,0.592971,170600
1981-08-12,7.125000,7.187500,7.125000,7.125000,0.592971,224200
1981-08-13,7.125000,7.187500,7.062500,7.062500,0.587769,189400
1981-08-14,7.062500,7.125000,7.000000,7.062500,0.587769,87800
1981-08-17,7.062500,7.125000,7.000000,7.062500,0.587769,76200
1981-08-18,7.062500,7.187500,7.062500,7.062500,0.587769,402400
1981-08-19,7.062500,7.125000,6.937500,7.000000,0.582568,581200
1981-08-20,6.750000,6.750000,6.625000,6.687500,0.577173,159400
1981-08-21,6.687500,6.937500,6.625000,6.625000,0.571779,99600
1981-08-24,6.625000,6.687500,6.562500,6.562500,0.566385,103800
1981-08-25,6.562500,6.625000,6.500000,6.562500,0.566385,177200
1981-08-26,6.562500,6.625000,6.437500,6.625000,0.571779,157800
1981-08-27,6.625000,6.625000,6.500000,6.500000,0.560991,81200
1981-08-28,6.500000,6.625000,6.500000,6.562500,0.566385,65600
1981-08-31,6.562500,6.625000,6.500000,6.562500,0.566385,112000
1981-09-01,6.562500,6.562500,6.500000,6.500000,0.560991,98200
1981-09-02,6.500000,6.562500,6.500000,6.562500,0.566385,57800
1981-09-03,6.562500,6.625000,6.500000,6.500000,0.560991,140000
1981-09-04,6.500000,6.500000,6.125000,6.375000,0.550203,232800
1981-09-08,6.375000,6.375000,6.312500,6.375000,0.550203,103200
1981-09-09,6.375000,6.500000,6.312500,6.437500,0.555597,545600
1981-09-10,6.437500,6.562500,6.375000,6.437500,0.555597,96600
1981-09-11,6.437500,6.500000,6.375000,6.437500,0.555597,100800
1981-09-14,6.437500,6.500000,6.375000,6.500000,0.560991,92200
1981-09-15,6.500000,6.500000,6.375000,6.500000,0.560991,86600
1981-09-16,6.500000,6.500000,6.375000,6.500000,0.560991,73200
1981-09-17,6.500000,6.500000,6.437500,6.500000,0.560991,57600
1981-09-18,6.500000,6.500000,6.375000,6.500000,0.560991,71000
1981-09-21,6.500000,6.500000,6.437500,6.500000,0.560991,64200
1981-09-22,6.500000,6.562500,6.437500,6.500000,0.560991,94200
1981-09-23,6.500000,6.500000,6.312500,6.375000,0.550203,100000
1981-09-24,6.375000,6.437500,6.312500,6.375000,0.550203,90400
1981-09-25,6.375000,6.375000,6.250000,6.250000,0.539414,241000
1981-09-28,6.250000,6.312500,6.187500,6.250000,0.539414,143800
