Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,6.500000,6.500000,6.500000,6.500000,0.912749,1500
1980-12-15,6.458333,6.458333,6.458333,6.458333,0.906898,1800
1980-12-16,6.500000,6.500000,6.500000,6.500000,0.912749,2100
1980-12-17,6.500000,6.625000,6.500000,6.625000,0.930302,5100
1980-12-18,6.625000,6.625000,6.541667,6.541667,0.918600,1500
1980-12-19,6.541667,6.541667,6.541667,6.541667,0.918600,1200
1980-12-22,6.541667,6.541667,6.541667,6.541667,0.918600,900
1980-12-23,6.625000,6.666667,6.625000,6.666667,0.936152,2400
1980-12-24,6.666667,6.750000,6.666667,6.750000,0.947854,14400
1980-12-26,6.750000,6.791667,6.750000,6.750000,0.947854,1500
1980-12-29,7.000000,7.000000,7.000000,7.000000,0.982960,3900
1980-12-30,7.000000,7.000000,7.000000,7.000000,0.982960,600
1980-12-31,7.125000,7.125000,7.125000,7.125000,1.000512,1200
1981-01-02,7.083333,7.083333,7.041667,7.083333,0.994662,7800
1981-01-05,7.166667,7.250000,7.166667,7.166667,1.006364,3300
1981-01-06,7.208333,7.250000,7.208333,7.250000,1.018065,2700
1981-01-07,7.166667,7.166667,7.083333,7.166667,1.006364,15300
1981-01-08,7.083333,7.083333,7.000000,7.000000,0.982960,6900
1981-01-09,6.916667,6.916667,6.875000,6.875000,0.965408,3000
1981-01-12,6.875000,7.000000,6.833333,6.916667,0.971258,7200
1981-01-13,6.875000,6.875000,6.791667,6.791667,0.953706,2700
1981-01-14,6.791667,6.833333,6.791667,6.791667,0.953706,3600
1981-01-15,6.875000,6.958333,6.875000,6.958333,0.977109,1500
1981-01-16,6.958333,6.958333,6.833333,6.916667,0.971258,4200
1981-01-19,7.000000,7.125000,7.000000,7.041667,0.988811,1800
1981-01-20,7.041667,7.125000,7.000000,7.125000,1.000512,3000
1981-01-21,7.166667,7.291667,7.166667,7.291667,1.023917,2400
1981-01-22,7.291667,7.291667,7.250000,7.250000,1.018065,6000
1981-01-23,7.250000,7.250000,7.208333,7.250000,1.018065,2400
1981-01-26,7.250000,7.333333,7.250000,7.333333,1.029768,5700
1981-01-27,7.333333,7.333333,7.333333,7.333333,1.029768,3300
1981-01-28,7.333333,7.416667,7.208333,7.208333,1.012215,51900
1981-01-29,7.208333,7.250000,7.208333,7.208333,1.012215,1200
1981-01-30,7.250000,7.333333,7.250000,7.250000,1.018065,1800
1981-02-02,7.250000,7.291667,7.083333,7.083333,0.994662,3900
1981-02-03,7.083333,7.291667,7.000000,7.291667,1.023917,6000
1981-02-04,7.291667,7.333333,7.208333,7.333333,1.029768,2700
1981-02-05,7.333333,7.333333,7.250000,7.250000,1.018065,6000
1981-02-06,7.333333,7.750000,7.333333,7.750000,1.088277,12900
1981-02-09,7.750000,7.750000,7.500000,7.500000,1.053172,4200
1981-02-10,7.500000,7.583333,7.500000,7.583333,1.064874,8400
1981-02-11,7.583333,7.625000,7.416667,7.416667,1.041469,10500
1981-02-12,7.416667,7.416667,7.416667,7.416667,1.041469,0
1981-02-13,7.458333,7.458333,7.458333,7.458333,1.047321,1800
1981-02-17,7.458333,7.500000,7.333333,7.333333,1.029768,4500
1981-02-18,7.333333,7.416667,7.333333,7.333333,1.029768,2100
1981-02-19,7.333333,7.375000,7.250000,7.375000,1.035619,6300
1981-02-20,7.375000,7.375000,7.208333,7.250000,1.018065,10200
1981-02-23,7.333333,7.458333,7.333333,7.458333,1.047321,2100
1981-02-24,7.458333,7.500000,7.375000,7.375000,1.035619,5100
1981-02-25,7.375000,7.375000,7.375000,7.375000,1.035619,1500
1981-02-26,7.416667,7.500000,7.416667,7.500000,1.053172,3600
1981-02-27,7.500000,7.500000,7.500000,7.500000,1.053172,2100
1981-03-02,7.500000,7.583333,7.458333,7.583333,1.064874,2700
1981-03-03,7.583333,7.583333,7.583333,7.583333,1.064874,1800
1981-03-04,7.541667,7.541667,7.541667,7.541667,1.059023,5400
1981-03-05,7.541667,7.541667,7.541667,7.541667,1.059023,900
1981-03-06,7.583333,7.666667,7.583333,7.666667,1.076575,3900
1981-03-09,7.666667,7.666667,7.666667,7.666667,1.076575,3900
1981-03-10,7.666667,7.666667,7.666667,7.666667,1.076575,2100
