Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,1.259121,1.246207,1.252664,0.017165,1060800
1980-12-15,0.000000,1.252664,1.239750,1.252664,0.017165,1105200
1980-12-16,0.000000,1.259121,1.233293,1.239750,0.016988,1690000
1980-12-17,0.000000,1.265578,1.246207,1.259121,0.017254,1968400
1980-12-18,0.000000,1.343063,1.272035,1.330148,0.018227,1174800
1980-12-19,0.000000,1.349519,1.310777,1.336605,0.018315,553600
1980-12-22,0.000000,1.381805,1.330148,1.368891,0.018758,412000
1980-12-23,0.000000,1.414090,1.388262,1.407633,0.019289,640400
1980-12-24,0.000000,1.407633,1.394719,1.407633,0.019289,437200
1980-12-26,0.000000,1.401176,1.388262,1.401176,0.019200,63600
1980-12-29,0.000000,1.407633,1.375348,1.388262,0.019023,648400
1980-12-30,0.000000,1.401176,1.375348,1.388262,0.019023,543600
1980-12-31,0.000000,1.394719,1.349519,1.394719,0.019112,1225200
1981-01-02,0.000000,1.401176,1.388262,1.401176,0.019200,234000
1981-01-05,0.000000,1.394719,1.381805,1.388262,0.019023,2009200
1981-01-06,0.000000,1.517402,1.394719,1.485117,0.020350,1492400
1981-01-07,0.000000,1.517402,1.433461,1.510945,0.020704,3012000
1981-01-08,0.000000,1.543230,1.504488,1.517402,0.020793,884400
1981-01-09,0.000000,1.530316,1.504488,1.517402,0.020793,1202000
1981-01-12,0.000000,1.543230,1.498031,1.517402,0.020793,1006400
1981-01-13,0.000000,1.510945,1.491574,1.498031,0.020527,388800
1981-01-14,0.000000,1.523859,1.491574,1.510945,0.020704,2137200
1981-01-15,0.000000,1.536773,1.498031,1.530316,0.020970,722000
1981-01-16,0.000000,1.543230,1.523859,1.523859,0.020881,454800
1981-01-19,0.000000,1.536773,1.517402,1.523859,0.020881,385200
1981-01-20,0.000000,1.536773,1.510945,1.510945,0.020704,276800
1981-01-21,0.000000,1.504488,1.472203,1.478660,0.020262,2758400
1981-01-22,0.000000,1.498031,1.478660,1.498031,0.020527,718000
