Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,1.846774,1.903891,1.846774,1.846774,0.445224,9400
1980-12-15,1.846774,1.903891,1.846774,1.846774,0.445224,6700
1980-12-16,1.865813,1.903891,1.865813,1.865813,0.449814,4200
1980-12-17,1.865813,1.884852,1.827735,1.827735,0.440635,18300
1980-12-18,1.903891,1.941969,1.903891,1.903891,0.458994,60500
1980-12-19,1.922930,1.941969,1.922930,1.922930,0.463584,23400
1980-12-22,1.941969,1.980047,1.941969,1.941969,0.468174,36000
1980-12-23,1.980047,2.018124,1.980047,1.980047,0.477354,34300
1980-12-24,2.056202,2.075241,2.056202,2.056202,0.495714,68200
1980-12-26,2.132358,2.170436,2.132358,2.132358,0.514074,14800
1980-12-29,2.132358,2.170436,2.132358,2.132358,0.514074,17600
1980-12-30,2.132358,2.170436,2.132358,2.132358,0.514074,6700
1980-12-31,2.132358,2.170436,2.132358,2.132358,0.514074,8100
1981-01-02,2.132358,2.170436,2.132358,2.132358,0.514074,36500
1981-01-05,2.132358,2.208513,2.132358,2.132358,0.514074,44400
1981-01-06,2.151397,2.189475,2.151397,2.151397,0.518663,8100
1981-01-07,2.151397,2.189475,2.132358,2.132358,0.514074,30600
1981-01-08,2.132358,2.151397,2.094280,2.094280,0.504894,12900
1981-01-09,2.094280,2.113319,2.075241,2.075241,0.500304,110400
1981-01-12,2.075241,2.113319,2.075241,2.075241,0.500304,14800
1981-01-13,2.075241,2.113319,2.075241,2.075241,0.500304,2600
1981-01-14,2.075241,2.113319,2.075241,2.075241,0.500304,17600
1981-01-15,2.075241,2.075241,2.075241,2.075241,0.500304,0
1981-01-16,2.075241,2.113319,2.075241,2.075241,0.500304,10600
1981-01-19,2.075241,2.113319,2.075241,2.075241,0.500304,34300
1981-01-20,2.075241,2.113319,2.075241,2.075241,0.500304,6700
1981-01-21,2.075241,2.113319,2.075241,2.075241,0.500304,21000
1981-01-22,2.075241,2.094280,2.037163,2.037163,0.491124,26200
1981-01-23,2.037163,2.075241,2.018124,2.018124,0.486534,5000
1981-01-26,2.018124,2.075241,2.018124,2.018124,0.486534,200
1981-01-27,2.018124,2.056202,2.018124,2.018124,0.486534,4200
1981-01-28,2.018124,2.075241,2.018124,2.018124,0.486534,12300
1981-01-29,2.018124,2.075241,2.018124,2.018124,0.486534,10600
1981-01-30,2.037163,2.094280,2.037163,2.037163,0.491124,2600
1981-02-02,2.037163,2.094280,2.037163,2.037163,0.491124,8100
1981-02-03,2.037163,2.075241,2.037163,2.037163,0.491124,36000
