Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,0.246094,0.242188,0.244141,0.000035,665600
1980-12-15,0.000000,0.250000,0.218750,0.218750,0.000031,2342400
1980-12-16,0.000000,0.234375,0.218750,0.234375,0.000033,1036800
1980-12-17,0.000000,0.248047,0.238281,0.242188,0.000034,1036800
1980-12-18,0.000000,0.265625,0.248047,0.255859,0.000036,2361600
1980-12-19,0.000000,0.261719,0.253906,0.257813,0.000037,832000
1980-12-22,0.000000,0.265625,0.257813,0.263672,0.000037,697600
1980-12-23,0.000000,0.265625,0.257813,0.257813,0.000037,665600
1980-12-24,0.000000,0.251953,0.246094,0.248047,0.000035,582400
1980-12-26,0.000000,0.253906,0.246094,0.251953,0.000036,217600
1980-12-29,0.000000,0.253906,0.242188,0.248047,0.000035,934400
1980-12-30,0.000000,0.246094,0.236328,0.240234,0.000034,454400
1980-12-31,0.000000,0.240234,0.236328,0.238281,0.000034,742400
1981-01-02,0.000000,0.248047,0.236328,0.248047,0.000035,268800
1981-01-05,0.000000,0.255859,0.246094,0.253906,0.000036,998400
1981-01-06,0.000000,0.251953,0.234375,0.234375,0.000033,940800
1981-01-07,0.000000,0.220703,0.205078,0.220703,0.000031,4268800
1981-01-08,0.000000,0.220703,0.212891,0.214844,0.000030,1888000
1981-01-09,0.000000,0.222656,0.208984,0.222656,0.000032,1100800
1981-01-12,0.000000,0.226563,0.216797,0.218750,0.000031,896000
1981-01-13,0.000000,0.218750,0.212891,0.216797,0.000031,812800
1981-01-14,0.000000,0.222656,0.214844,0.222656,0.000032,896000
1981-01-15,0.000000,0.220703,0.216797,0.218750,0.000031,550400
1981-01-16,0.000000,0.230469,0.224609,0.228516,0.000032,883200
1981-01-19,0.000000,0.228516,0.220703,0.226563,0.000032,857600
1981-01-20,0.000000,0.228516,0.218750,0.220703,0.000031,716800
1981-01-21,0.000000,0.220703,0.214844,0.214844,0.000030,723200
1981-01-22,0.000000,0.216797,0.212891,0.216797,0.000031,614400
1981-01-23,0.000000,0.216797,0.212891,0.214844,0.000030,243200
1981-01-26,0.000000,0.214844,0.207031,0.207031,0.000029,793600
1981-01-27,0.000000,0.216797,0.207031,0.214844,0.000030,921600
1981-01-28,0.000000,0.222656,0.216797,0.220703,0.000031,1152000
1981-01-29,0.000000,0.218750,0.205078,0.207031,0.000029,1996800
1981-01-30,0.000000,0.208984,0.199219,0.201172,0.000029,1324800
1981-02-02,0.000000,0.203125,0.183594,0.187500,0.000027,1132800
1981-02-03,0.000000,0.191406,0.181641,0.187500,0.000027,1388800
1981-02-04,0.000000,0.189453,0.185547,0.187500,0.000027,569600
1981-02-05,0.000000,0.197266,0.185547,0.193359,0.000027,851200
1981-02-06,0.000000,0.195313,0.191406,0.191406,0.000027,556800
1981-02-09,0.000000,0.195313,0.189453,0.189453,0.000027,505600
1981-02-10,0.000000,0.195313,0.189453,0.191406,0.000027,211200
1981-02-11,0.000000,0.189453,0.185547,0.185547,0.000026,761600
1981-02-12,0.000000,0.189453,0.181641,0.181641,0.000026,448000
1981-02-13,0.000000,0.183594,0.181641,0.181641,0.000026,313600
1981-02-17,0.000000,0.185547,0.179688,0.181641,0.000026,288000
1981-02-18,0.000000,0.183594,0.179688,0.183594,0.000026,441600
1981-02-19,0.000000,0.185547,0.181641,0.183594,0.000026,409600
1981-02-20,0.000000,0.183594,0.179688,0.179688,0.000026,275200
1981-02-23,0.000000,0.183594,0.177734,0.181641,0.000026,448000
1981-02-24,0.000000,0.187500,0.179688,0.181641,0.000026,844800
