Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,10.355030,10.509122,10.324211,10.447485,1.912813,134200
1980-12-15,10.447485,10.570760,10.200937,10.262574,1.878958,382000
1980-12-16,10.293392,10.416667,10.293392,10.416667,1.907170,91200
1980-12-17,10.416667,10.478304,10.262574,10.447485,1.912813,297700
1980-12-18,10.447485,10.539941,10.293392,10.293392,1.884600,676500
1980-12-19,10.293392,10.509122,10.231755,10.509122,1.924097,955500
1980-12-22,10.539941,10.786489,10.539941,10.694034,1.957953,385700
1980-12-23,10.786489,11.156312,10.786489,11.002219,2.014378,300900
1980-12-24,11.002219,11.063856,10.971400,11.002219,2.014378,206400
1980-12-26,10.786489,10.786489,10.601578,10.724852,1.963595,99300
1980-12-29,10.694034,10.694034,10.539941,10.539941,1.929740,138700
1980-12-30,10.539941,10.755671,10.416667,10.478304,1.918455,161400
1980-12-31,10.478304,10.570760,10.355030,10.355030,1.895885,66900
1981-01-02,10.355030,10.509122,10.293392,10.509122,1.924097,73400
1981-01-05,10.570760,10.848126,10.570760,10.848126,1.986166,235200
1981-01-06,10.848126,11.002219,10.724852,11.002219,2.014378,497200
1981-01-07,10.755671,10.755671,10.447485,10.663215,1.952310,729200
1981-01-08,10.632397,10.632397,10.478304,10.539941,1.929740,173500
1981-01-09,10.539941,10.601578,10.416667,10.539941,1.929740,432700
1981-01-12,10.539941,10.786489,10.478304,10.509122,1.924097,102600
1981-01-13,10.509122,10.509122,10.355030,10.385848,1.901527,75800
1981-01-14,10.478304,10.694034,10.478304,10.570760,1.935382,146000
1981-01-15,10.570760,10.570760,10.509122,10.539941,1.929740,139900
1981-01-16,10.539941,10.632397,10.447485,10.509122,1.924097,101400
1981-01-19,10.509122,10.601578,10.447485,10.509122,1.924097,98500
1981-01-20,10.509122,10.539941,10.262574,10.324211,1.890243,245700
1981-01-21,10.324211,10.478304,10.170118,10.200937,1.867673,149600
1981-01-22,10.200937,10.355030,10.200937,10.355030,1.895885,67300
1981-01-23,10.355030,10.416667,10.231755,10.324211,1.890243,99300
1981-01-26,10.324211,10.385848,10.293392,10.385848,1.901527,111900
1981-01-27,10.385848,10.385848,10.170118,10.262574,1.878958,152100
1981-01-28,10.262574,10.355030,10.200937,10.200937,1.867673,87200
1981-01-29,10.200937,10.324211,10.200937,10.200937,1.867673,201100
1981-01-30,10.231755,10.509122,10.231755,10.385848,1.901527,189000
1981-02-02,10.355030,10.355030,10.231755,10.355030,1.895885,119200
1981-02-03,10.355030,10.447485,10.293392,10.385848,1.901527,166700
1981-02-04,10.416667,10.601578,10.416667,10.539941,1.929740,182900
1981-02-05,10.539941,10.940582,10.509122,10.940582,2.003093,176400
1981-02-06,10.940582,10.971400,10.848126,10.848126,1.986166,115500
1981-02-09,10.848126,10.909763,10.786489,10.817307,1.980523,267600
1981-02-10,10.817307,10.817307,10.724852,10.755671,1.969238,115500
1981-02-11,10.755671,10.817307,10.694034,10.786489,1.974882,221000
1981-02-12,10.786489,10.786489,10.478304,10.539941,1.929740,197500
1981-02-13,10.509122,10.509122,10.262574,10.324211,1.890243,143500
1981-02-17,10.324211,10.355030,10.231755,10.355030,1.923445,320800
1981-02-18,10.355030,10.447485,10.293392,10.355030,1.923445,349600
1981-02-19,10.324211,10.324211,10.077662,10.077662,1.871924,199500
1981-02-20,10.077662,10.231755,10.077662,10.231755,1.900546,260800
1981-02-23,10.262574,10.663215,10.262574,10.601578,1.969242,148800
1981-02-24,10.663215,11.094674,10.663215,11.094674,2.060834,373900
1981-02-25,11.094674,11.217949,10.755671,11.217949,2.083732,436000
1981-02-26,11.402860,11.649408,11.402860,11.587771,2.152426,1017200
1981-02-27,11.587771,11.587771,11.341223,11.433679,2.123804,656200
1981-03-02,11.433679,11.433679,11.279586,11.341223,2.106630,534900
1981-03-03,11.341223,11.372042,11.279586,11.310405,2.100907,267600
1981-03-04,11.310405,11.464497,11.279586,11.402860,2.118080,314700
1981-03-05,11.402860,11.587771,11.372042,11.433679,2.123804,440400
1981-03-06,11.433679,11.526134,11.433679,11.526134,2.140978,459900
1981-03-09,11.526134,11.803501,11.526134,11.741864,2.181049,530500
1981-03-10,11.834319,11.926775,11.834319,11.865138,2.203948,515500
1981-03-11,11.865138,11.957594,11.618589,11.680227,2.169600,1362800
1981-03-12,11.711045,12.019231,11.711045,11.957594,2.221122,239300
1981-03-13,12.050050,12.296597,12.050050,12.234961,2.272642,560900
1981-03-16,12.265779,12.573964,12.265779,12.573964,2.335612,526000
1981-03-17,12.573964,12.697239,12.450690,12.481509,2.318439,1085300
1981-03-18,12.481509,12.543146,12.234961,12.543146,2.329888,451400
1981-03-19,12.543146,12.604783,12.389053,12.389053,2.301265,453800
1981-03-20,12.389053,12.450690,12.327416,12.327416,2.289815,309400
1981-03-23,12.327416,12.358234,12.204142,12.296597,2.284092,239300
1981-03-24,12.296597,12.389053,12.204142,12.234961,2.272642,480600
1981-03-25,12.234961,12.697239,12.234961,12.604783,2.341336,1120600
1981-03-26,12.604783,12.635602,12.327416,12.389053,2.301265,235200
1981-03-27,12.327416,12.327416,12.204142,12.234961,2.272642,187700
1981-03-30,12.234961,12.234961,12.019231,12.019231,2.232571,79000
1981-03-31,12.204142,12.389053,12.204142,12.389053,2.301265,245700
1981-04-01,12.389053,12.389053,12.265779,12.327416,2.289815,249400
1981-04-02,12.327416,12.327416,12.204142,12.296597,2.284092,165000
1981-04-03,12.234961,12.234961,11.926775,11.926775,2.215397,178400
1981-04-06,11.926775,11.926775,11.649408,11.834319,2.198223,614400
1981-04-07,11.803501,11.803501,11.618589,11.618589,2.158152,187300
1981-04-08,11.618589,11.865138,11.618589,11.834319,2.198223,199500
1981-04-09,11.865138,11.895957,11.865138,11.895957,2.209672,140300
1981-04-10,11.895957,12.019231,11.895957,12.019231,2.232571,158900
1981-04-13,11.957594,11.957594,11.772682,11.772682,2.186773,218600
1981-04-14,11.772682,11.957594,11.649408,11.649408,2.163876,268900
1981-04-15,11.680227,11.834319,11.680227,11.834319,2.198223,232800
1981-04-16,11.834319,11.988412,11.834319,11.988412,2.226846,243300
1981-04-20,11.988412,11.988412,11.772682,11.834319,2.198223,245700
1981-04-21,11.834319,11.834319,11.711045,11.741864,2.181049,351600
1981-04-22,11.741864,11.803501,11.680227,11.711045,2.175325,197100
1981-04-23,11.711045,11.772682,11.680227,11.711045,2.175325,106200
1981-04-24,11.711045,11.772682,11.711045,11.741864,2.181049,152900
1981-04-27,11.741864,11.803501,11.680227,11.711045,2.175325,214500
1981-04-28,11.711045,11.741864,11.587771,11.587771,2.152426,116400
1981-04-29,11.587771,11.618589,11.310405,11.402860,2.118080,193000
1981-04-30,11.402860,11.433679,11.248767,11.372042,2.112356,603100
1981-05-01,11.372042,11.495316,11.372042,11.433679,2.123804,83900
1981-05-04,11.341223,11.341223,11.187130,11.248767,2.089457,197100
1981-05-05,11.217949,11.217949,11.063856,11.094674,2.060834,812800
1981-05-06,11.094674,11.187130,11.063856,11.094674,2.060834,351200
1981-05-07,11.063856,11.063856,11.002219,11.002219,2.043659,395000
1981-05-08,11.002219,11.094674,10.971400,11.002219,2.043659,131400
1981-05-11,11.002219,11.094674,10.663215,10.694034,1.986415,443300
1981-05-12,10.694034,10.848126,10.601578,10.848126,2.015039,472900
1981-05-13,10.848126,10.909763,10.786489,10.817307,2.009312,233600
1981-05-14,10.848126,11.125493,10.848126,11.125493,2.066559,269700
1981-05-15,11.125493,11.402860,11.094674,11.402860,2.118080,148400
1981-05-18,11.402860,11.402860,11.217949,11.341223,2.134319,124900
1981-05-19,11.341223,11.402860,11.156312,11.187130,2.105319,92800
1981-05-20,11.187130,11.248767,10.940582,11.063856,2.082122,180800
1981-05-21,11.063856,11.125493,10.971400,11.063856,2.082122,209200
1981-05-22,11.063856,11.187130,11.002219,11.187130,2.105319,283100
1981-05-26,11.187130,11.402860,11.156312,11.402860,2.145917,166700
1981-05-27,11.402860,11.556952,11.372042,11.526134,2.169118,160600
1981-05-28,11.526134,11.649408,11.495316,11.618589,2.186517,166200
1981-05-29,11.618589,11.649408,11.526134,11.526134,2.169118,81900
1981-06-01,11.556952,11.741864,11.556952,11.618589,2.186517,208800
1981-06-02,11.618589,11.711045,11.587771,11.618589,2.186517,596600
1981-06-03,11.618589,11.680227,11.587771,11.680227,2.198116,86300
