Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,0.792969,0.789063,0.792969,0.128069,70400
1980-12-15,0.000000,0.789063,0.789063,0.789063,0.127438,6400
1980-12-16,0.000000,0.796875,0.789063,0.796875,0.128700,281600
1980-12-17,0.000000,0.796875,0.781250,0.796875,0.128700,342400
1980-12-18,0.000000,0.792969,0.789063,0.789063,0.127438,230400
1980-12-19,0.000000,0.789063,0.781250,0.781250,0.126177,2816000
1980-12-22,0.000000,0.789063,0.765625,0.789063,0.127438,1280000
1980-12-23,0.000000,0.789063,0.769531,0.773438,0.124915,2156800
1980-12-24,0.000000,0.789063,0.781250,0.785156,0.126808,32000
1980-12-26,0.000000,0.792969,0.789063,0.789063,0.127438,9600
1980-12-29,0.000000,0.796875,0.781250,0.781250,0.126177,105600
1980-12-30,0.000000,0.781250,0.781250,0.781250,0.126177,172800
1980-12-31,0.000000,0.789063,0.789063,0.789063,0.127438,3200
1981-01-02,0.000000,0.792969,0.785156,0.785156,0.126808,262400
1981-01-05,0.000000,0.785156,0.785156,0.785156,0.126808,41600
1981-01-06,0.000000,0.804688,0.792969,0.796875,0.128700,115200
1981-01-07,0.000000,0.789063,0.789063,0.789063,0.127438,115200
1981-01-08,0.000000,0.789063,0.789063,0.789063,0.127438,172800
1981-01-09,0.000000,0.800781,0.792969,0.800781,0.129331,51200
1981-01-12,0.000000,0.800781,0.800781,0.800781,0.129331,1299200
1981-01-13,0.000000,0.796875,0.796875,0.796875,0.128700,6400
1981-01-14,0.000000,0.812500,0.804688,0.804688,0.129962,1987200
1981-01-15,0.000000,0.812500,0.804688,0.804688,0.129962,316800
1981-01-16,0.000000,0.812500,0.796875,0.804688,0.129962,147200
1981-01-19,0.000000,0.804688,0.796875,0.804688,0.129962,51200
1981-01-20,0.000000,0.804688,0.792969,0.792969,0.128069,230400
1981-01-21,0.000000,0.792969,0.792969,0.792969,0.128069,57600
1981-01-22,0.000000,0.796875,0.796875,0.796875,0.128700,70400
1981-01-23,0.000000,0.804688,0.796875,0.796875,0.128700,48000
1981-01-26,0.000000,0.800781,0.796875,0.796875,0.128700,16000
1981-01-27,0.000000,0.812500,0.792969,0.812500,0.131224,67200
1981-01-28,0.000000,0.812500,0.796875,0.796875,0.128700,86400
1981-01-29,0.000000,0.796875,0.792969,0.792969,0.128069,44800
1981-01-30,0.000000,0.796875,0.792969,0.792969,0.128069,12800
1981-02-02,0.000000,0.804688,0.792969,0.804688,0.129962,64000
1981-02-03,0.000000,0.796875,0.796875,0.796875,0.128700,16000
1981-02-04,0.000000,0.796875,0.792969,0.792969,0.128069,92800
1981-02-05,0.000000,0.804688,0.804688,0.804688,0.129962,67200
1981-02-06,0.000000,0.808594,0.792969,0.792969,0.128069,291200
1981-02-09,0.000000,0.792969,0.792969,0.792969,0.128069,80000
1981-02-10,0.000000,0.796875,0.792969,0.796875,0.128700,70400
1981-02-11,0.000000,0.796875,0.792969,0.792969,0.128069,6400
1981-02-12,0.000000,0.796875,0.789063,0.796875,0.128700,192000
