Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,1.250000,1.260417,1.250000,1.250000,0.222957,88000
1980-12-15,1.250000,1.270833,1.250000,1.260417,0.224815,48000
1980-12-16,1.260417,1.291667,1.255208,1.291667,0.230389,64000
1980-12-17,1.291667,1.291667,1.255208,1.270833,0.226673,48000
1980-12-18,1.291667,1.333333,1.291667,1.317708,0.235034,48000
1980-12-19,1.317708,1.343750,1.317708,1.333333,0.237821,92800
1980-12-22,1.333333,1.343750,1.333333,1.333333,0.237821,100800
1980-12-23,1.333333,1.348958,1.302083,1.307292,0.233176,100800
1980-12-24,1.317708,1.354167,1.317708,1.348958,0.240608,62400
1980-12-26,1.359375,1.359375,1.359375,1.359375,0.242466,54400
1980-12-29,1.354167,1.354167,1.343750,1.343750,0.239679,33600
1980-12-30,1.343750,1.385417,1.343750,1.385417,0.247111,44800
1980-12-31,1.385417,1.385417,1.369792,1.369792,0.244324,112000
1981-01-02,1.343750,1.343750,1.333333,1.338542,0.238750,28800
1981-01-05,1.333333,1.333333,1.317708,1.317708,0.235034,52800
1981-01-06,1.317708,1.322917,1.296875,1.296875,0.231318,92800
1981-01-07,1.291667,1.291667,1.218750,1.229167,0.219242,716800
1981-01-08,1.229167,1.244792,1.229167,1.244792,0.222028,129600
1981-01-09,1.239583,1.239583,1.218750,1.229167,0.219242,144000
1981-01-12,1.229167,1.250000,1.229167,1.234375,0.220170,158400
1981-01-13,1.234375,1.239583,1.223958,1.239583,0.221099,164800
1981-01-14,1.239583,1.250000,1.239583,1.250000,0.222957,44800
1981-01-15,1.244792,1.244792,1.239583,1.244792,0.222028,16000
1981-01-16,1.239583,1.239583,1.229167,1.229167,0.219242,14400
1981-01-19,1.229167,1.234375,1.223958,1.223958,0.218313,24000
1981-01-20,1.213542,1.213542,1.166667,1.177083,0.209952,206400
1981-01-21,1.177083,1.177083,1.171875,1.171875,0.209023,25600
1981-01-22,1.166667,1.166667,1.166667,1.166667,0.208094,67200
1981-01-23,1.166667,1.171875,1.161458,1.171875,0.209023,62400
1981-01-26,1.177083,1.177083,1.177083,1.177083,0.209952,49600
1981-01-27,1.177083,1.182292,1.166667,1.177083,0.209952,112000
1981-01-28,1.171875,1.171875,1.145833,1.156250,0.206236,49600
1981-01-29,1.156250,1.161458,1.156250,1.161458,0.207165,24000
1981-01-30,1.156250,1.156250,1.114583,1.114583,0.198804,62400
1981-02-02,1.093750,1.093750,1.015625,1.015625,0.181153,203200
1981-02-03,1.015625,1.036458,1.000000,1.036458,0.184869,124800
1981-02-04,1.036458,1.041667,1.020833,1.041667,0.185798,81600
1981-02-05,1.041667,1.109375,1.041667,1.083333,0.193230,672000
1981-02-06,1.083333,1.098958,1.072917,1.093750,0.195088,105600
1981-02-09,1.093750,1.104167,1.041667,1.041667,0.185798,81600
1981-02-10,1.041667,1.046875,1.010417,1.041667,0.185798,97600
1981-02-11,1.052083,1.130208,1.052083,1.104167,0.196946,172800
1981-02-12,1.104167,1.145833,1.093750,1.145833,0.204378,110400
1981-02-13,1.145833,1.151042,1.135417,1.151042,0.205307,59200
1981-02-17,1.156250,1.187500,1.156250,1.177083,0.209952,86400
1981-02-18,1.166667,1.166667,1.156250,1.161458,0.207165,43200
1981-02-19,1.161458,1.166667,1.156250,1.161458,0.207165,73600
1981-02-20,1.151042,1.151042,1.125000,1.125000,0.200662,67200
1981-02-23,1.119792,1.119792,1.104167,1.119792,0.199733,72000
1981-02-24,1.135417,1.140625,1.135417,1.140625,0.203449,24000
1981-02-25,1.130208,1.130208,1.125000,1.125000,0.200662,116800
1981-02-26,1.135417,1.151042,1.135417,1.151042,0.205307,40000
1981-02-27,1.151042,1.291667,1.145833,1.270833,0.226673,467200
1981-03-02,1.270833,1.270833,1.250000,1.255208,0.223886,97600
1981-03-03,1.250000,1.250000,1.218750,1.223958,0.218313,100800
1981-03-04,1.223958,1.229167,1.208333,1.218750,0.217383,68800
1981-03-05,1.223958,1.244792,1.223958,1.234375,0.220170,163200
1981-03-06,1.239583,1.250000,1.239583,1.239583,0.221099,52800
1981-03-09,1.239583,1.244792,1.229167,1.229167,0.219242,14400
1981-03-10,1.229167,1.229167,1.187500,1.187500,0.211810,40000
1981-03-11,1.182292,1.182292,1.156250,1.177083,0.209952,48000
1981-03-12,1.177083,1.177083,1.156250,1.161458,0.207165,40000
1981-03-13,1.177083,1.203125,1.177083,1.192708,0.212739,48000
1981-03-16,1.192708,1.197917,1.177083,1.182292,0.210881,40000
1981-03-17,1.257813,1.257813,1.187500,1.257813,0.224351,169600
1981-03-18,1.257813,1.289063,1.257813,1.265625,0.225744,128000
1981-03-19,1.265625,1.289063,1.257813,1.265625,0.225744,49600
1981-03-20,1.265625,1.281250,1.265625,1.265625,0.225744,19200
1981-03-23,1.273438,1.304688,1.273438,1.304688,0.232712,100800
1981-03-24,1.335938,1.398438,1.335938,1.375000,0.245253,235200
1981-03-25,1.375000,1.500000,1.375000,1.492188,0.266155,296000
1981-03-26,1.492188,1.531250,1.429688,1.437500,0.256401,219200
1981-03-27,1.437500,1.460938,1.414063,1.421875,0.253614,89600
1981-03-30,1.421875,1.437500,1.390625,1.429688,0.255008,52800
1981-03-31,1.429688,1.468750,1.429688,1.437500,0.256401,121600
1981-04-01,1.437500,1.437500,1.437500,1.437500,0.256401,41600
1981-04-02,1.437500,1.445313,1.414063,1.437500,0.256401,73600
1981-04-03,1.437500,1.445313,1.414063,1.421875,0.253614,25600
1981-04-06,1.421875,1.421875,1.382813,1.398438,0.249434,25600
1981-04-07,1.398438,1.421875,1.375000,1.414063,0.252221,76800
1981-04-08,1.406250,1.406250,1.367188,1.398438,0.249434,78400
1981-04-09,1.398438,1.414063,1.382813,1.406250,0.250827,43200
1981-04-10,1.406250,1.421875,1.390625,1.406250,0.250827,78400
1981-04-13,1.406250,1.414063,1.390625,1.390625,0.248040,16000
1981-04-14,1.390625,1.406250,1.375000,1.398438,0.249434,57600
1981-04-15,1.398438,1.398438,1.351563,1.375000,0.245253,99200
1981-04-16,1.375000,1.390625,1.375000,1.390625,0.248040,232000
1981-04-20,1.398438,1.414063,1.398438,1.414063,0.252221,56000
1981-04-21,1.414063,1.421875,1.359375,1.375000,0.245253,116800
1981-04-22,1.375000,1.414063,1.375000,1.414063,0.252221,116800
1981-04-23,1.414063,1.414063,1.382813,1.406250,0.250827,150400
1981-04-24,1.406250,1.523438,1.406250,1.523438,0.271729,187200
1981-04-27,1.507813,1.507813,1.500000,1.507813,0.268942,89600
1981-04-28,1.500000,1.500000,1.406250,1.429688,0.255008,78400
1981-04-29,1.429688,1.453125,1.406250,1.406250,0.250827,44800
1981-04-30,1.406250,1.421875,1.359375,1.421875,0.253614,129600
1981-05-01,1.437500,1.562500,1.437500,1.539063,0.274516,395200
1981-05-04,1.507813,1.507813,1.468750,1.492188,0.266155,67200
1981-05-05,1.492188,1.500000,1.453125,1.460938,0.260581,105600
1981-05-06,1.460938,1.507813,1.437500,1.445313,0.257794,107200
1981-05-07,1.460938,1.507813,1.460938,1.500000,0.267549,78400
1981-05-08,1.492188,1.492188,1.460938,1.484375,0.264762,57600
1981-05-11,1.484375,1.500000,1.429688,1.460938,0.260581,86400
1981-05-12,1.460938,1.492188,1.406250,1.492188,0.266155,88000
1981-05-13,1.492188,1.492188,1.476563,1.492188,0.266155,19200
1981-05-14,1.500000,1.554688,1.500000,1.531250,0.273123,232000
1981-05-15,1.546875,1.585938,1.546875,1.578125,0.281484,129600
1981-05-18,1.578125,1.585938,1.546875,1.570313,0.280090,57600
1981-05-19,1.539063,1.539063,1.523438,1.531250,0.273123,28800
1981-05-20,1.531250,1.531250,1.460938,1.468750,0.261975,91200
1981-05-21,1.468750,1.500000,1.468750,1.492188,0.266155,168000
1981-05-22,1.492188,1.492188,1.484375,1.492188,0.266155,24000
1981-05-26,1.492188,1.492188,1.460938,1.468750,0.261975,28800
1981-05-27,1.468750,1.492188,1.460938,1.492188,0.266155,81600
1981-05-28,1.492188,1.492188,1.468750,1.492188,0.266155,57600
1981-05-29,1.492188,1.492188,1.453125,1.453125,0.259188,80000
1981-06-01,1.453125,1.468750,1.437500,1.437500,0.256401,33600
1981-06-02,1.421875,1.421875,1.375000,1.375000,0.245253,52800
1981-06-03,1.375000,1.437500,1.359375,1.437500,0.256401,142400
1981-06-04,1.437500,1.445313,1.421875,1.429688,0.255008,36800
1981-06-05,1.429688,1.437500,1.406250,1.406250,0.250827,76800
1981-06-08,1.406250,1.421875,1.406250,1.414063,0.252221,14400
1981-06-09,1.414063,1.421875,1.375000,1.375000,0.245253,52800
1981-06-10,1.375000,1.421875,1.375000,1.414063,0.252221,38400
1981-06-11,1.414063,1.453125,1.406250,1.453125,0.259188,78400
1981-06-12,1.453125,1.453125,1.437500,1.445313,0.257794,51200
1981-06-15,1.445313,1.445313,1.414063,1.421875,0.253614,81600
1981-06-16,1.421875,1.429688,1.281250,1.312500,0.234105,185600
1981-06-17,1.320313,1.414063,1.320313,1.414063,0.252221,104000
1981-06-18,1.414063,1.476563,1.406250,1.445313,0.257794,158400
1981-06-19,1.453125,1.468750,1.453125,1.460938,0.260581,75200
1981-06-22,1.460938,1.460938,1.429688,1.437500,0.256401,35200
1981-06-23,1.437500,1.445313,1.429688,1.437500,0.256401,35200
1981-06-24,1.429688,1.429688,1.382813,1.398438,0.249434,40000
1981-06-25,1.390625,1.390625,1.359375,1.359375,0.242466,11200
1981-06-26,1.351563,1.351563,1.328125,1.343750,0.239679,40000
1981-06-29,1.335938,1.335938,1.312500,1.320313,0.235499,24000
1981-06-30,1.312500,1.312500,1.296875,1.312500,0.234105,46400
1981-07-01,1.281250,1.281250,1.218750,1.218750,0.217383,94400
1981-07-02,1.218750,1.250000,1.203125,1.250000,0.222957,72000
1981-07-06,1.242188,1.242188,1.187500,1.218750,0.217383,97600
1981-07-07,1.187500,1.187500,1.140625,1.171875,0.209023,97600
1981-07-08,1.179688,1.242188,1.179688,1.242188,0.221564,43200
1981-07-09,1.242188,1.265625,1.234375,1.234375,0.220170,59200
1981-07-10,1.234375,1.273438,1.234375,1.273438,0.227138,48000
1981-07-13,1.273438,1.343750,1.265625,1.343750,0.239679,88000
1981-07-14,1.343750,1.375000,1.312500,1.328125,0.236892,115200
1981-07-15,1.328125,1.359375,1.328125,1.359375,0.242466,99200
1981-07-16,1.335938,1.335938,1.296875,1.335938,0.238286,140800
1981-07-17,1.335938,1.367188,1.335938,1.367188,0.243860,76800
1981-07-20,1.335938,1.335938,1.320313,1.328125,0.236892,30400
1981-07-21,1.328125,1.359375,1.265625,1.351563,0.241073,249600
1981-07-22,1.351563,1.375000,1.312500,1.312500,0.234105,390400
1981-07-23,1.312500,1.367188,1.289063,1.367188,0.243860,166400
1981-07-24,1.359375,1.359375,1.320313,1.343750,0.239679,76800
1981-07-27,1.351563,1.367188,1.351563,1.359375,0.242466,52800
1981-07-28,1.359375,1.367188,1.343750,1.359375,0.242466,193600
1981-07-29,1.359375,1.367188,1.359375,1.359375,0.242466,25600
1981-07-30,1.359375,1.367188,1.359375,1.359375,0.242466,27200
1981-07-31,1.359375,1.367188,1.359375,1.359375,0.242466,27200
1981-08-03,1.359375,1.367188,1.335938,1.335938,0.238286,41600
1981-08-04,1.320313,1.320313,1.281250,1.296875,0.231318,41600
1981-08-05,1.296875,1.312500,1.281250,1.312500,0.234105,38400
1981-08-06,1.312500,1.335938,1.281250,1.312500,0.234105,94400
1981-08-07,1.312500,1.320313,1.289063,1.320313,0.235499,43200
1981-08-10,1.320313,1.328125,1.304688,1.320313,0.235499,20800
1981-08-11,1.320313,1.320313,1.273438,1.320313,0.235499,43200
1981-08-12,1.320313,1.328125,1.226563,1.226563,0.218777,54400
1981-08-13,1.250000,1.289063,1.250000,1.289063,0.229925,48000
1981-08-14,1.320313,1.335938,1.320313,1.320313,0.235499,89600
1981-08-17,1.320313,1.335938,1.312500,1.320313,0.235499,51200
1981-08-18,1.320313,1.335938,1.289063,1.296875,0.231318,62400
1981-08-19,1.304688,1.328125,1.304688,1.320313,0.235499,51200
1981-08-20,1.296875,1.296875,1.281250,1.281250,0.228531,38400
1981-08-21,1.281250,1.281250,1.273438,1.273438,0.227138,4800
1981-08-24,1.257813,1.257813,1.210938,1.218750,0.217383,36800
1981-08-25,1.218750,1.218750,1.148438,1.210938,0.215990,91200
1981-08-26,1.210938,1.226563,1.203125,1.226563,0.218777,54400
1981-08-27,1.226563,1.234375,1.218750,1.218750,0.217383,36800
1981-08-28,1.234375,1.257813,1.234375,1.242188,0.221564,28800
1981-08-31,1.234375,1.234375,1.210938,1.210938,0.215990,6400
1981-09-01,1.210938,1.218750,1.203125,1.218750,0.217383,32000
1981-09-02,1.218750,1.226563,1.218750,1.226563,0.218777,52800
1981-09-03,1.210938,1.210938,1.187500,1.187500,0.211810,32000
1981-09-04,1.171875,1.171875,1.140625,1.148438,0.204842,19200
1981-09-08,1.117188,1.117188,1.070313,1.117188,0.199268,68800
1981-09-09,1.117188,1.117188,1.070313,1.101563,0.196481,51200
1981-09-10,1.109375,1.148438,1.109375,1.140625,0.203449,33600
1981-09-11,1.140625,1.148438,1.093750,1.109375,0.197875,65600
1981-09-14,1.109375,1.132813,1.101563,1.101563,0.196481,38400
1981-09-15,1.093750,1.093750,1.085938,1.093750,0.195088,11200
1981-09-16,1.093750,1.101563,1.062500,1.101563,0.196481,44800
1981-09-17,1.101563,1.101563,1.039063,1.039063,0.185333,60800
1981-09-18,1.031250,1.031250,0.992188,1.031250,0.183940,43200
1981-09-21,1.031250,1.117188,1.023438,1.109375,0.197875,68800
1981-09-22,1.109375,1.125000,1.093750,1.093750,0.195088,75200
1981-09-23,1.078125,1.078125,1.007813,1.070313,0.190907,96000
1981-09-24,1.062500,1.062500,1.046875,1.046875,0.186727,19200
1981-09-25,1.031250,1.031250,1.007813,1.023438,0.182546,46400
1981-09-28,1.007813,1.007813,0.976563,1.007813,0.179759,73600
1981-09-29,1.007813,1.054688,1.007813,1.031250,0.183940,99200
1981-09-30,1.007813,1.007813,0.992188,1.000000,0.178366,25600
1981-10-01,1.000000,1.000000,0.984375,1.000000,0.178366,38400
1981-10-02,1.000000,1.000000,0.984375,1.000000,0.178366,177600
1981-10-05,1.000000,1.023438,1.000000,1.023438,0.182546,140800
1981-10-06,1.023438,1.062500,1.000000,1.062500,0.189514,268800
1981-10-07,1.078125,1.125000,1.078125,1.125000,0.200662,33600
1981-10-08,1.132813,1.179688,1.132813,1.179688,0.210416,65600
1981-10-09,1.179688,1.179688,1.132813,1.132813,0.202055,72000
1981-10-12,1.140625,1.156250,1.140625,1.140625,0.203449,25600
1981-10-13,1.132813,1.132813,1.093750,1.101563,0.196481,60800
1981-10-14,1.093750,1.093750,1.015625,1.031250,0.183940,88000
1981-10-15,1.031250,1.062500,1.031250,1.031250,0.183940,20800
1981-10-16,1.031250,1.046875,1.031250,1.046875,0.186727,38400
1981-10-19,1.039063,1.039063,0.992188,1.000000,0.178366,19200
1981-10-20,1.000000,1.000000,0.992188,1.000000,0.178366,62400
1981-10-21,1.000000,1.000000,0.984375,0.984375,0.175579,56000
1981-10-22,0.992188,1.000000,0.992188,1.000000,0.178366,54400
1981-10-23,1.000000,1.000000,0.976563,0.976563,0.174185,16000
1981-10-26,0.976563,0.992188,0.968750,0.992188,0.176972,89600
1981-10-27,0.992188,1.039063,0.992188,1.031250,0.183940,152000
1981-10-28,1.039063,1.117188,1.039063,1.093750,0.195088,123200
1981-10-29,1.093750,1.109375,1.085938,1.093750,0.195088,16000
1981-10-30,1.085938,1.085938,1.062500,1.062500,0.189514,86400
1981-11-02,1.062500,1.062500,1.023438,1.023438,0.182546,64000
1981-11-03,1.039063,1.078125,1.039063,1.078125,0.192301,84800
1981-11-04,1.078125,1.093750,1.062500,1.085938,0.193694,240000
1981-11-05,1.101563,1.179688,1.101563,1.125000,0.200662,129600
1981-11-06,1.125000,1.125000,1.101563,1.101563,0.196481,16000
1981-11-09,1.101563,1.125000,1.078125,1.078125,0.192301,91200
1981-11-10,1.085938,1.109375,1.085938,1.101563,0.196481,30400
1981-11-11,1.093750,1.093750,1.085938,1.093750,0.195088,17600
1981-11-12,1.093750,1.117188,1.085938,1.093750,0.195088,36800
1981-11-13,1.093750,1.101563,1.093750,1.101563,0.196481,8000
1981-11-16,1.085938,1.085938,1.000000,1.000000,0.178366,251200
1981-11-17,1.015625,1.062500,1.015625,1.062500,0.189514,64000
1981-11-18,1.070313,1.109375,1.070313,1.093750,0.215357,40000
1981-11-19,1.093750,1.093750,1.078125,1.078125,0.212280,57600
1981-11-20,1.078125,1.109375,1.078125,1.093750,0.215357,43200
1981-11-23,1.093750,1.117188,1.093750,1.117188,0.219971,32000
1981-11-24,1.117188,1.140625,1.093750,1.125000,0.221510,64000
1981-11-25,1.125000,1.140625,1.125000,1.125000,0.221510,33600
1981-11-27,1.117188,1.117188,1.117188,1.117188,0.219971,28800
1981-11-30,1.117188,1.148438,1.117188,1.148438,0.226124,118400
1981-12-01,1.148438,1.148438,1.125000,1.132813,0.223048,52800
1981-12-02,1.117188,1.117188,1.078125,1.085938,0.213818,76800
1981-12-03,1.085938,1.085938,1.078125,1.078125,0.212280,36800
1981-12-04,1.078125,1.093750,1.070313,1.078125,0.212280,105600
1981-12-07,1.078125,1.085938,1.054688,1.054688,0.207665,46400
1981-12-08,1.054688,1.054688,1.046875,1.054688,0.207665,22400
1981-12-09,1.046875,1.046875,1.031250,1.031250,0.203050,49600
1981-12-10,1.039063,1.062500,1.039063,1.062500,0.209204,27200
1981-12-11,1.046875,1.046875,1.031250,1.031250,0.203050,46400
1981-12-14,1.031250,1.031250,0.984375,1.000000,0.196897,56000
1981-12-15,0.992188,0.992188,0.960938,0.968750,0.190744,84800
1981-12-16,0.968750,1.000000,0.968750,1.000000,0.196897,126400
1981-12-17,1.000000,1.015625,0.992188,1.015625,0.199974,81600
1981-12-18,1.023438,1.070313,1.023438,1.062500,0.209204,64000
1981-12-21,1.054688,1.054688,1.023438,1.023438,0.201512,46400
1981-12-22,1.023438,1.031250,1.000000,1.023438,0.201512,68800
1981-12-23,1.031250,1.062500,1.031250,1.062500,0.209204,145600
1981-12-24,1.054688,1.054688,1.046875,1.054688,0.207665,6400
1981-12-28,1.039063,1.039063,1.007813,1.007813,0.198436,28800
1981-12-29,1.007813,1.023438,1.000000,1.000000,0.196897,73600
1981-12-30,1.000000,1.031250,1.000000,1.000000,0.196897,108800
1981-12-31,1.000000,1.046875,0.968750,1.000000,0.196897,312000
1982-01-04,0.984375,0.984375,0.976563,0.976563,0.192283,14400
1982-01-05,0.976563,0.984375,0.976563,0.984375,0.193821,16000
1982-01-06,0.984375,0.984375,0.921875,0.937500,0.184591,203200
1982-01-07,0.921875,0.921875,0.906250,0.921875,0.181515,102400
1982-01-08,0.921875,0.953125,0.921875,0.937500,0.184591,57600
1982-01-11,0.937500,0.945313,0.898438,0.906250,0.178438,59200
1982-01-12,0.890625,0.890625,0.875000,0.875000,0.172285,19200
1982-01-13,0.867188,0.867188,0.820313,0.859375,0.169209,147200
1982-01-14,0.859375,0.859375,0.828125,0.835938,0.164594,126400
1982-01-15,0.835938,0.851563,0.781250,0.828125,0.163056,155200
1982-01-18,0.828125,0.867188,0.820313,0.867188,0.170747,52800
1982-01-19,0.867188,0.867188,0.828125,0.828125,0.163056,32000
