Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,2.949852,2.806457,2.949852,0.398400,55500
1980-12-15,0.000000,3.031793,2.970338,3.031793,0.409466,30500
1980-12-16,0.000000,3.031793,2.990823,2.990823,0.403933,34700
1980-12-17,0.000000,3.113733,2.970338,3.031793,0.409466,84800
1980-12-18,0.000000,3.523435,3.072763,3.421010,0.462033,260500
1980-12-19,0.000000,3.523435,3.380039,3.523435,0.475866,116500
1980-12-22,0.000000,3.769256,3.605375,3.769256,0.509066,211100
1980-12-23,0.000000,3.810226,3.687316,3.707801,0.500766,153700
1980-12-24,0.000000,3.646345,3.523435,3.625860,0.489700,64600
1980-12-26,0.000000,3.605375,3.523435,3.584890,0.484166,22500
1980-12-29,0.000000,3.584890,3.482465,3.482465,0.470333,43300
1980-12-30,0.000000,3.543920,3.482465,3.523435,0.475866,97600
1980-12-31,0.000000,3.625860,3.502950,3.625860,0.489700,122600
1981-01-02,0.000000,3.646345,3.523435,3.646345,0.492466,67700
1981-01-05,0.000000,3.769256,3.728286,3.748771,0.506300,109800
1981-01-06,0.000000,3.789741,3.728286,3.728286,0.503533,126300
1981-01-07,0.000000,3.461980,3.359554,3.461980,0.467566,413700
1981-01-08,0.000000,3.461980,3.359554,3.359554,0.453733,162300
1981-01-09,0.000000,3.359554,3.195673,3.298099,0.445433,74400
1981-01-12,0.000000,3.441495,3.318584,3.380039,0.456500,60400
1981-01-13,0.000000,3.380039,3.339069,3.380039,0.456500,79900
1981-01-14,0.000000,3.441495,3.359554,3.421010,0.462033,50600
1981-01-15,0.000000,3.543920,3.441495,3.461980,0.467566,45100
1981-01-16,0.000000,3.482465,3.441495,3.441495,0.464800,89600
1981-01-19,0.000000,3.605375,3.482465,3.564405,0.481400,114700
1981-01-20,0.000000,3.707801,3.605375,3.605375,0.486933,135400
1981-01-21,0.000000,3.625860,3.543920,3.584890,0.484166,217800
1981-01-22,0.000000,3.605375,3.543920,3.605375,0.486933,133600
