Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,3.437500,3.476563,3.429688,3.476563,0.265445,622400
1980-12-15,3.476563,3.515625,3.468750,3.500000,0.267234,409600
1980-12-16,3.500000,3.539063,3.476563,3.515625,0.268427,1040000
1980-12-17,3.523438,3.625000,3.523438,3.625000,0.276778,1428800
1980-12-18,3.625000,3.679688,3.617188,3.664063,0.279761,1704000
1980-12-19,3.664063,3.695313,3.656250,3.695313,0.282147,1083200
1980-12-22,3.695313,3.726563,3.664063,3.726563,0.284533,960000
1980-12-23,3.796875,3.843750,3.796875,3.828125,0.292287,1990400
1980-12-24,3.828125,3.828125,3.765625,3.796875,0.289901,902400
1980-12-26,3.796875,3.828125,3.796875,3.796875,0.289901,140800
1980-12-29,3.804688,3.875000,3.804688,3.835938,0.292884,782400
1980-12-30,3.843750,3.945313,3.843750,3.945313,0.301235,1280000
1980-12-31,3.945313,3.976563,3.945313,3.976563,0.303621,518400
1981-01-02,3.976563,3.976563,3.906250,3.937500,0.300638,1164800
1981-01-05,3.937500,4.148438,3.937500,4.015625,0.306604,1673600
1981-01-06,4.046875,4.148438,4.046875,4.125000,0.314955,5947200
1981-01-07,4.085938,4.085938,3.687500,4.054688,0.309586,3896000
1981-01-08,4.054688,4.109375,4.046875,4.085938,0.311972,1835200
1981-01-09,4.085938,4.148438,4.085938,4.125000,0.314955,1302400
1981-01-12,4.125000,4.195313,4.117188,4.125000,0.314955,1520000
1981-01-13,4.085938,4.085938,4.039063,4.046875,0.308989,2876800
1981-01-14,4.046875,4.070313,3.976563,4.000000,0.305410,1611200
1981-01-15,4.000000,4.000000,3.929688,3.937500,0.300638,1289600
1981-01-16,3.945313,4.015625,3.945313,4.000000,0.305410,2001600
1981-01-19,4.015625,4.085938,4.015625,4.046875,0.308989,1227200
1981-01-20,4.046875,4.085938,4.000000,4.007813,0.306007,1955200
1981-01-21,3.976563,3.976563,3.906250,3.976563,0.303621,1835200
1981-01-22,3.953125,3.953125,3.882813,3.906250,0.298253,1022400
1981-01-23,3.906250,3.914063,3.882813,3.906250,0.298253,198400
1981-01-26,3.906250,3.906250,3.843750,3.906250,0.298253,460800
1981-01-27,3.914063,3.945313,3.914063,3.914063,0.298849,726400
1981-01-28,3.914063,3.945313,3.906250,3.906250,0.298253,777600
1981-01-29,3.906250,3.906250,3.828125,3.859375,0.294674,473600
1981-01-30,3.859375,3.867188,3.820313,3.820313,0.291691,723200
1981-02-02,3.820313,3.843750,3.757813,3.773438,0.288112,896000
1981-02-03,3.773438,3.796875,3.757813,3.765625,0.287516,843200
1981-02-04,3.765625,3.828125,3.765625,3.796875,0.289901,1116800
1981-02-05,3.796875,3.859375,3.796875,3.835938,0.295683,1876800
1981-02-06,3.835938,3.835938,3.804688,3.804688,0.293274,662400
1981-02-09,3.804688,3.835938,3.796875,3.804688,0.293274,1035200
1981-02-10,3.804688,3.906250,3.804688,3.882813,0.299296,2105600
1981-02-11,3.882813,3.898438,3.867188,3.875000,0.298694,742400
1981-02-12,3.875000,3.882813,3.867188,3.875000,0.298694,899200
1981-02-13,3.875000,3.882813,3.843750,3.882813,0.299296,465600
1981-02-17,3.882813,3.914063,3.875000,3.906250,0.301103,676800
1981-02-18,3.906250,3.976563,3.898438,3.976563,0.306523,529600
1981-02-19,3.976563,3.976563,3.914063,3.914063,0.301705,713600
1981-02-20,3.914063,3.945313,3.898438,3.929688,0.302909,936000
1981-02-23,3.929688,3.945313,3.898438,3.945313,0.304114,1566400
1981-02-24,3.968750,4.054688,3.968750,4.046875,0.311942,3720000
1981-02-25,4.046875,4.054688,4.015625,4.054688,0.312545,704000
1981-02-26,4.046875,4.046875,4.015625,4.046875,0.311942,1422400
1981-02-27,4.046875,4.078125,4.046875,4.046875,0.311942,1307200
1981-03-02,4.046875,4.046875,4.023438,4.046875,0.311942,734400
1981-03-03,4.046875,4.046875,4.015625,4.015625,0.309534,385600
1981-03-04,4.007813,4.007813,3.937500,3.945313,0.304114,822400
1981-03-05,3.945313,3.953125,3.906250,3.906250,0.301103,529600
1981-03-06,3.906250,3.914063,3.875000,3.898438,0.300500,436800
1981-03-09,3.898438,3.914063,3.898438,3.906250,0.301103,675200
1981-03-10,3.906250,3.945313,3.906250,3.914063,0.301705,916800
1981-03-11,3.914063,3.929688,3.882813,3.898438,0.300500,716800
1981-03-12,3.906250,3.945313,3.906250,3.945313,0.304114,534400
1981-03-13,3.945313,3.976563,3.914063,3.937500,0.303511,1790400
1981-03-16,3.937500,3.968750,3.906250,3.953125,0.304716,1379200
1981-03-17,3.984375,4.039063,3.984375,4.039063,0.311340,1187200
1981-03-18,4.039063,4.046875,4.015625,4.039063,0.311340,624000
1981-03-19,4.039063,4.046875,4.007813,4.046875,0.311942,585600
1981-03-20,4.046875,4.046875,4.015625,4.023438,0.310136,1180800
1981-03-23,4.023438,4.023438,4.000000,4.000000,0.308329,321600
1981-03-24,4.000000,4.015625,3.945313,3.968750,0.305920,435200
1981-03-25,3.968750,3.984375,3.945313,3.984375,0.307125,859200
1981-03-26,3.984375,4.007813,3.976563,4.000000,0.308329,1832000
1981-03-27,4.000000,4.015625,3.976563,4.015625,0.309534,984000
1981-03-30,4.015625,4.015625,4.007813,4.015625,0.309534,529600
1981-03-31,4.015625,4.046875,4.007813,4.015625,0.309534,1380800
1981-04-01,4.015625,4.054688,4.015625,4.046875,0.311942,1444800
1981-04-02,4.046875,4.070313,4.015625,4.046875,0.311942,1318400
1981-04-03,4.046875,4.054688,4.015625,4.015625,0.309534,364800
1981-04-06,4.000000,4.000000,3.937500,4.000000,0.308329,779200
1981-04-07,4.000000,4.015625,3.976563,4.000000,0.308329,1430400
1981-04-08,4.007813,4.093750,4.007813,4.085938,0.314953,969600
1981-04-09,4.085938,4.156250,4.078125,4.132813,0.318567,1416000
1981-04-10,4.132813,4.148438,4.085938,4.093750,0.315555,1145600
1981-04-13,4.093750,4.125000,4.085938,4.117188,0.317362,756800
1981-04-14,4.117188,4.132813,4.085938,4.109375,0.316760,926400
1981-04-15,4.109375,4.132813,4.093750,4.125000,0.317964,606400
1981-04-16,4.132813,4.203125,4.132813,4.195313,0.323384,1011200
1981-04-20,4.203125,4.296875,4.203125,4.265625,0.328804,1611200
1981-04-21,4.265625,4.265625,4.226563,4.234375,0.326395,1036800
1981-04-22,4.226563,4.226563,4.132813,4.156250,0.320373,1201600
1981-04-23,4.156250,4.164063,4.132813,4.132813,0.318567,958400
1981-04-24,4.132813,4.203125,4.125000,4.203125,0.323986,608000
1981-04-27,4.218750,4.273438,4.218750,4.257813,0.328202,862400
1981-04-28,4.257813,4.265625,4.164063,4.179688,0.322180,899200
1981-04-29,4.179688,4.187500,4.070313,4.070313,0.313749,1684800
1981-04-30,4.070313,4.078125,4.015625,4.039063,0.311340,1248000
1981-05-01,4.039063,4.039063,3.976563,4.039063,0.311340,990400
1981-05-04,4.039063,4.039063,3.976563,3.976563,0.306523,494400
1981-05-05,3.968750,3.968750,3.929688,3.945313,0.304114,904000
1981-05-06,3.945313,3.976563,3.914063,3.914063,0.301705,574400
1981-05-07,3.914063,3.937500,3.906250,3.937500,0.303511,771200
1981-05-08,3.937500,3.945313,3.914063,3.914063,0.301705,880000
1981-05-11,3.875000,3.906250,3.875000,3.875000,0.301462,355200
1981-05-12,3.875000,3.906250,3.875000,3.898438,0.303285,1124800
1981-05-13,3.882813,3.882813,3.867188,3.867188,0.300854,680000
1981-05-14,3.867188,3.898438,3.859375,3.898438,0.303285,700800
1981-05-15,3.898438,3.976563,3.882813,3.945313,0.306932,483200
1981-05-18,3.945313,3.953125,3.937500,3.937500,0.306324,372800
1981-05-19,3.937500,3.945313,3.835938,3.835938,0.298423,1134400
1981-05-20,3.835938,3.867188,3.796875,3.796875,0.295384,796800
1981-05-21,3.796875,3.867188,3.796875,3.835938,0.298423,1291200
1981-05-22,3.859375,3.937500,3.859375,3.875000,0.301462,980800
1981-05-26,3.875000,3.929688,3.875000,3.929688,0.305716,780800
1981-05-27,3.929688,4.007813,3.906250,4.007813,0.311794,1148800
1981-05-28,4.015625,4.054688,4.015625,4.046875,0.314833,1588800
1981-05-29,4.046875,4.046875,4.015625,4.039063,0.314225,1774400
1981-06-01,4.046875,4.093750,4.046875,4.085938,0.317872,937600
1981-06-02,4.085938,4.085938,4.023438,4.039063,0.314225,608000
1981-06-03,4.039063,4.070313,4.007813,4.054688,0.315441,592000
1981-06-04,4.054688,4.085938,4.046875,4.046875,0.314833,3184000
1981-06-05,4.046875,4.078125,4.039063,4.078125,0.317265,1006400
1981-06-08,4.078125,4.117188,4.078125,4.078125,0.317265,664000
1981-06-09,4.054688,4.054688,4.023438,4.046875,0.314833,651200
1981-06-10,4.046875,4.046875,4.000000,4.000000,0.311186,689600
1981-06-11,4.000000,4.078125,4.000000,4.078125,0.317265,1577600
1981-06-12,4.078125,4.109375,4.078125,4.085938,0.317872,1516800
1981-06-15,4.085938,4.109375,4.078125,4.085938,0.317872,859200
1981-06-16,4.085938,4.085938,4.039063,4.039063,0.314225,908800
1981-06-17,4.039063,4.078125,4.015625,4.054688,0.315441,1129600
1981-06-18,4.078125,4.109375,4.078125,4.085938,0.317872,881600
1981-06-19,4.085938,4.085938,4.046875,4.070313,0.316657,803200
1981-06-22,4.070313,4.070313,4.015625,4.023438,0.313010,340800
1981-06-23,4.039063,4.085938,4.039063,4.085938,0.317872,1003200
1981-06-24,4.085938,4.085938,4.000000,4.015625,0.312402,862400
1981-06-25,4.015625,4.015625,3.976563,3.976563,0.309363,1086400
1981-06-26,3.976563,4.000000,3.953125,3.953125,0.307540,2104000
1981-06-29,3.953125,3.968750,3.835938,3.835938,0.298423,520000
1981-06-30,3.835938,3.843750,3.804688,3.804688,0.295992,1896000
1981-07-01,3.804688,3.820313,3.695313,3.726563,0.289914,1673600
1981-07-02,3.726563,3.734375,3.625000,3.648438,0.283836,1633600
1981-07-06,3.648438,3.656250,3.617188,3.648438,0.283836,971200
1981-07-07,3.648438,3.656250,3.617188,3.648438,0.283836,1728000
1981-07-08,3.648438,3.656250,3.609375,3.617188,0.281405,1140800
1981-07-09,3.617188,3.656250,3.609375,3.656250,0.284444,752000
1981-07-10,3.656250,3.687500,3.648438,3.664063,0.285052,1168000
1981-07-13,3.664063,3.695313,3.664063,3.687500,0.286875,307200
1981-07-14,3.679688,3.679688,3.656250,3.656250,0.284444,1060800
1981-07-15,3.656250,3.687500,3.554688,3.679688,0.286267,561600
1981-07-16,3.679688,3.687500,3.656250,3.687500,0.286875,371200
1981-07-17,3.687500,3.695313,3.656250,3.687500,0.286875,1708800
1981-07-20,3.679688,3.679688,3.585938,3.609375,0.280797,1131200
1981-07-21,3.609375,3.609375,3.554688,3.585938,0.278974,1352000
1981-07-22,3.578125,3.578125,3.515625,3.546875,0.275935,1105600
1981-07-23,3.546875,3.546875,3.476563,3.523438,0.274112,665600
1981-07-24,3.523438,3.539063,3.500000,3.515625,0.273504,780800
1981-07-27,3.515625,3.523438,3.484375,3.507813,0.272896,302400
1981-07-28,3.484375,3.484375,3.445313,3.476563,0.270465,668800
1981-07-29,3.476563,3.476563,3.437500,3.437500,0.267426,857600
1981-07-30,3.437500,3.437500,3.414063,3.437500,0.267426,595200
1981-07-31,3.437500,3.437500,3.406250,3.429688,0.266818,1302400
1981-08-03,3.414063,3.414063,3.406250,3.406250,0.264995,438400
1981-08-04,3.406250,3.429688,3.406250,3.429688,0.266818,312000
1981-08-05,3.429688,3.445313,3.406250,3.437500,0.267426,617600
1981-08-06,3.437500,3.445313,3.375000,3.382813,0.263171,1526400
1981-08-07,3.382813,3.398438,3.304688,3.304688,0.257094,3184000
1981-08-10,3.296875,3.296875,3.234375,3.234375,0.254390,1809600
1981-08-11,3.234375,3.273438,3.218750,3.265625,0.256848,3056000
1981-08-12,3.273438,3.328125,3.273438,3.289063,0.258691,5075200
1981-08-13,3.289063,3.320313,3.289063,3.304688,0.259920,2000000
1981-08-14,3.320313,3.359375,3.320313,3.359375,0.264221,816000
1981-08-17,3.335938,3.335938,3.328125,3.328125,0.261764,800000
1981-08-18,3.328125,3.359375,3.320313,3.343750,0.262993,1275200
1981-08-19,3.359375,3.406250,3.359375,3.406250,0.267908,641600
1981-08-20,3.414063,3.445313,3.414063,3.429688,0.269752,934400
1981-08-21,3.437500,3.445313,3.437500,3.445313,0.270981,436800
1981-08-24,3.445313,3.453125,3.406250,3.414063,0.268523,793600
1981-08-25,3.414063,3.414063,3.375000,3.406250,0.267908,1169600
1981-08-26,3.406250,3.406250,3.359375,3.375000,0.265450,1716800
1981-08-27,3.367188,3.367188,3.265625,3.273438,0.257462,2342400
1981-08-28,3.273438,3.296875,3.265625,3.265625,0.256848,553600
1981-08-31,3.265625,3.296875,3.257813,3.265625,0.256848,580800
1981-09-01,3.265625,3.296875,3.234375,3.289063,0.258691,1048000
1981-09-02,3.289063,3.304688,3.265625,3.265625,0.256848,1078400
1981-09-03,3.265625,3.265625,3.132813,3.132813,0.246402,3224000
1981-09-04,3.132813,3.156250,3.085938,3.093750,0.243330,1201600
1981-09-08,3.093750,3.132813,3.054688,3.085938,0.242715,1428800
1981-09-09,3.085938,3.125000,3.085938,3.125000,0.245787,888000
1981-09-10,3.125000,3.125000,3.109375,3.117188,0.245173,888000
1981-09-11,3.117188,3.148438,3.109375,3.148438,0.247631,2336000
1981-09-14,3.148438,3.156250,3.070313,3.132813,0.246402,1076800
1981-09-15,3.132813,3.156250,3.085938,3.125000,0.245787,769600
1981-09-16,3.125000,3.132813,3.085938,3.117188,0.245173,1059200
1981-09-17,3.117188,3.132813,3.093750,3.117188,0.245173,956800
1981-09-18,3.117188,3.132813,3.093750,3.125000,0.245787,627200
1981-09-21,3.125000,3.148438,3.093750,3.117188,0.245173,1262400
1981-09-22,3.117188,3.125000,3.054688,3.054688,0.240257,1334400
1981-09-23,3.023438,3.023438,2.968750,3.015625,0.237185,988800
1981-09-24,3.015625,3.015625,2.953125,2.976563,0.234113,840000
