Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,2.901329,3.016360,2.901329,2.990798,1.024999,612200
1980-12-15,2.990798,3.080266,2.978016,2.990798,1.024999,157400
1980-12-16,2.965235,2.965235,2.875767,2.939673,1.007478,348000
1980-12-17,2.939673,3.016360,2.939673,2.990798,1.024999,264000
1980-12-18,2.990798,3.105828,2.978016,3.003579,1.029380,849800
1980-12-19,3.003579,3.029141,2.901329,2.926892,1.003098,277600
1980-12-22,2.926892,2.926892,2.862986,2.926892,1.003098,1539200
1980-12-23,2.978016,3.080266,2.978016,3.041922,1.042521,1361200
1980-12-24,3.093047,3.246421,3.093047,3.220859,1.103846,755000
1980-12-26,3.220859,3.323108,3.195297,3.323108,1.138888,628800
1980-12-29,3.323108,3.387014,3.220859,3.259202,1.116987,554400
1980-12-30,3.271984,3.374233,3.271984,3.374233,1.156410,669800
1980-12-31,3.387014,3.450920,3.387014,3.425358,1.173931,1069800
1981-01-02,3.438139,3.489264,3.438139,3.450920,1.182692,546600
1981-01-05,3.450920,3.527607,3.374233,3.476483,1.191453,1188200
1981-01-06,3.476483,3.502045,3.310327,3.387014,1.160790,370600
1981-01-07,3.233640,3.233640,3.093047,3.208078,1.099465,1102200
1981-01-08,3.208078,3.259202,3.144172,3.144172,1.077564,408800
1981-01-09,3.144172,3.195297,3.144172,3.195297,1.095085,364600
1981-01-12,3.195297,3.246421,3.169734,3.182515,1.090704,404800
1981-01-13,3.169734,3.169734,3.131391,3.144172,1.077564,125000
1981-01-14,3.144172,3.182515,3.131391,3.131391,1.073184,130000
1981-01-15,3.156953,3.195297,3.156953,3.195297,1.095085,190600
1981-01-16,3.195297,3.208078,3.182515,3.208078,1.099465,276600
1981-01-19,3.208078,3.310327,3.208078,3.310327,1.134508,502600
1981-01-20,3.297546,3.297546,3.169734,3.169734,1.086324,462400
1981-01-21,3.169734,3.208078,3.093047,3.182515,1.090704,330400
1981-01-22,3.182515,3.220859,3.093047,3.195297,1.095085,260000
1981-01-23,3.195297,3.233640,3.169734,3.195297,1.095085,269800
1981-01-26,3.169734,3.169734,3.041922,3.067485,1.051282,415600
1981-01-27,3.067485,3.156953,3.067485,3.105828,1.064422,858600
1981-01-28,3.105828,3.105828,2.990798,3.016360,1.033760,313800
1981-01-29,3.016360,3.067485,3.016360,3.054703,1.046902,382200
1981-01-30,3.054703,3.080266,3.016360,3.016360,1.033760,433200
1981-02-02,3.016360,3.016360,2.862986,2.914110,0.998717,366600
1981-02-03,2.914110,3.016360,2.914110,3.016360,1.033760,692400
1981-02-04,3.003579,3.003579,2.952454,2.965235,1.016240,299200
1981-02-05,3.003579,3.080266,3.003579,3.041922,1.042521,611200
1981-02-06,3.054703,3.131391,3.054703,3.093047,1.060042,911400
1981-02-09,3.093047,3.105828,2.952454,2.990798,1.024999,274800
1981-02-10,2.990798,3.029141,2.990798,2.990798,1.024999,332400
1981-02-11,2.990798,3.016360,2.939673,2.939673,1.007478,837000
1981-02-12,2.939673,2.952454,2.888548,2.888548,0.989957,105600
1981-02-13,2.888548,2.990798,2.888548,2.888548,0.989957,632600
1981-02-17,2.888548,2.939673,2.888548,2.901329,0.994337,439000
1981-02-18,2.901329,2.901329,2.811861,2.811861,0.963674,619000
1981-02-19,2.811861,2.850204,2.658487,2.709611,0.928632,557400
1981-02-20,2.709611,2.747955,2.684049,2.747955,0.941772,251200
1981-02-23,2.747955,2.773517,2.684049,2.735174,0.937393,392000
1981-02-24,2.735174,2.747955,2.709611,2.722393,0.933012,270800
1981-02-25,2.722393,2.786299,2.696830,2.747955,0.941772,252200
1981-02-26,2.747955,2.786299,2.709611,2.773517,0.950535,266000
1981-02-27,2.773517,2.837423,2.747955,2.837423,0.972435,351000
1981-03-02,2.837423,2.875767,2.824642,2.862986,0.981196,175000
1981-03-03,2.862986,2.862986,2.760736,2.760736,0.946153,733400
1981-03-04,2.760736,2.786299,2.735174,2.760736,0.946153,160200
1981-03-05,2.760736,2.824642,2.747955,2.747955,0.941772,312800
1981-03-06,2.747955,2.786299,2.747955,2.786299,0.954914,107400
1981-03-09,2.786299,2.914110,2.786299,2.914110,0.998717,440000
1981-03-10,2.888548,2.888548,2.811861,2.837423,0.972435,854600
1981-03-11,2.811861,2.811861,2.722393,2.760736,0.946153,324600
1981-03-12,2.747955,2.747955,2.684049,2.696830,0.924252,631600
1981-03-13,2.696830,2.696830,2.607362,2.658487,0.911111,1574400
1981-03-16,2.658487,2.696830,2.658487,2.684049,0.919871,417600
1981-03-17,2.684049,2.709611,2.671268,2.696830,0.924252,576000
1981-03-18,2.696830,2.709611,2.607362,2.620143,0.897970,538800
1981-03-19,2.620143,2.722393,2.620143,2.709611,0.928632,2016600
1981-03-20,2.735174,2.914110,2.735174,2.862986,0.981196,1908000
1981-03-23,2.888548,3.016360,2.888548,2.990798,1.024999,930000
1981-03-24,2.901329,2.901329,2.837423,2.875767,0.985576,976000
1981-03-25,2.875767,2.965235,2.862986,2.965235,1.016240,487000
1981-03-26,2.965235,3.003579,2.926892,2.965235,1.016240,632600
1981-03-27,2.952454,2.952454,2.850204,2.875767,0.985576,327600
1981-03-30,2.875767,2.901329,2.824642,2.824642,0.968055,198400
1981-03-31,2.824642,2.901329,2.811861,2.850204,0.976816,1229200
1981-04-01,2.850204,2.875767,2.837423,2.862986,0.981196,237600
1981-04-02,2.862986,2.888548,2.837423,2.862986,0.981196,321600
1981-04-03,2.862986,2.888548,2.837423,2.837423,0.972435,492800
1981-04-06,2.837423,2.862986,2.760736,2.773517,0.950535,452800
1981-04-07,2.773517,2.799080,2.709611,2.760736,0.946153,446800
1981-04-08,2.760736,2.786299,2.747955,2.786299,0.954914,334400
1981-04-09,2.786299,2.862986,2.773517,2.862986,0.981196,433200
1981-04-10,2.862986,2.901329,2.837423,2.850204,0.976816,251200
1981-04-13,2.850204,2.862986,2.811861,2.837423,0.972435,229800
1981-04-14,2.837423,2.850204,2.799080,2.811861,0.963674,170000
1981-04-15,2.837423,3.029141,2.837423,3.016360,1.033760,854600
1981-04-16,3.016360,3.093047,3.016360,3.080266,1.055662,720600
1981-04-20,3.080266,3.220859,3.029141,3.220859,1.103846,1016000
1981-04-21,3.220859,3.259202,3.144172,3.195297,1.095085,1677200
1981-04-22,3.195297,3.246421,3.156953,3.208078,1.099465,491800
1981-04-23,3.208078,3.246421,3.208078,3.208078,1.099465,974000
1981-04-24,3.208078,3.271984,3.182515,3.271984,1.121368,948600
1981-04-27,3.271984,3.438139,3.246421,3.438139,1.178312,1030800
1981-04-28,3.438139,3.463701,3.387014,3.438139,1.178312,1890400
1981-04-29,3.425358,3.425358,3.323108,3.374233,1.156410,903600
1981-04-30,3.374233,3.399796,3.271984,3.271984,1.121368,558400
1981-05-01,3.271984,3.297546,3.080266,3.144172,1.077564,470400
1981-05-04,3.105828,3.105828,3.029141,3.054703,1.046902,314800
1981-05-05,3.054703,3.093047,3.016360,3.093047,1.060042,507400
1981-05-06,3.093047,3.144172,3.093047,3.131391,1.073184,578800
1981-05-07,3.131391,3.259202,3.131391,3.259202,1.116987,560200
1981-05-08,3.259202,3.399796,3.246421,3.374233,1.156410,599400
1981-05-11,3.374233,3.476483,3.297546,3.335890,1.143269,1066800
1981-05-12,3.335890,3.425358,3.323108,3.425358,1.173931,877200
1981-05-13,3.425358,3.604295,3.425358,3.540389,1.213354,1757400
1981-05-14,3.565951,3.859918,3.565951,3.783231,1.296580,3565600
1981-05-15,3.911043,4.013292,3.911043,3.987730,1.366666,5579400
