Date,Open,High,Low,Close,Adj Close,Volume
2006-05-25,4.030000,4.605000,4.020000,4.600000,3.439733,395343000
2006-05-26,4.630000,4.674000,4.411000,4.493000,3.359722,103044000
2006-05-30,4.497000,4.498000,4.285000,4.400000,3.290179,49898000
2006-05-31,4.435000,4.536000,4.435000,4.494000,3.360468,30002000
2006-06-01,4.493000,4.810000,4.490000,4.751000,3.552645,62344000
2006-06-02,4.850000,4.870000,4.679000,4.699000,3.513761,37253000
2006-06-05,4.705000,4.925000,4.700000,4.915000,3.675280,37188000
2006-06-06,4.998000,5.063000,4.780000,4.830000,3.611719,49045000
2006-06-07,4.833000,4.840000,4.675000,4.760000,3.559376,25013000
2006-06-08,4.760000,4.772000,4.550000,4.772000,3.568348,34439000
2006-06-09,4.880000,4.880000,4.768000,4.778000,3.572834,13372000
2006-06-12,4.800000,4.825000,4.630000,4.695000,3.510771,14546000
2006-06-13,4.620000,4.735000,4.530000,4.550000,3.402344,16716000
2006-06-14,4.490000,4.545000,4.444000,4.512000,3.373928,15971000
2006-06-15,4.540000,4.612000,4.513000,4.595000,3.435994,16500000
2006-06-16,4.550000,4.600000,4.500000,4.502000,3.366450,12280000
2006-06-19,4.545000,4.545000,4.410000,4.434000,3.315603,11509000
2006-06-20,4.474000,4.500000,4.347000,4.402000,3.291673,23792000
2006-06-21,4.402000,4.588000,4.400000,4.530000,3.387388,18063000
2006-06-22,4.640000,4.695000,4.588000,4.660000,3.484599,13038000
2006-06-23,4.699000,4.793000,4.687000,4.695000,3.510771,11612000
2006-06-26,4.695000,4.750000,4.643000,4.750000,3.551898,8565000
2006-06-27,4.750000,4.803000,4.725000,4.731000,3.537689,9826000
2006-06-28,4.685000,4.740000,4.650000,4.696000,3.511518,8756000
2006-06-29,4.695000,4.809000,4.695000,4.800000,3.589286,14470000
2006-06-30,4.765000,4.800000,4.660000,4.800000,3.589286,25964000
2006-07-03,4.790000,4.800000,4.681000,4.730000,3.536943,7029000
2006-07-05,4.740000,4.784000,4.671000,4.760000,3.559376,13266000
2006-07-06,4.725000,4.735000,4.679000,4.680000,3.499552,8097000
2006-07-07,4.675000,4.685000,4.575000,4.612000,3.448705,8380000
2006-07-10,4.620000,4.657000,4.612000,4.649000,3.476373,4978000
2006-07-11,4.649000,4.649000,4.530000,4.635000,3.465905,8079000
2006-07-12,4.640000,4.640000,4.554000,4.555000,3.406083,7672000
2006-07-13,4.518000,4.518000,4.430000,4.472000,3.344019,16625000
2006-07-14,4.462000,4.468000,4.390000,4.395000,3.286440,9663000
2006-07-17,4.391000,4.417000,4.375000,4.399000,3.289432,6458000
2006-07-18,4.399000,4.410000,4.367000,4.390000,3.282701,12483000
2006-07-19,4.391000,4.545000,4.380000,4.528000,3.385892,15840000
2006-07-20,4.540000,4.578000,4.510000,4.555000,3.406083,8829000
2006-07-21,4.555000,4.555000,4.477000,4.528000,3.385892,8510000
2006-07-24,4.545000,4.553000,4.499000,4.500000,3.364957,5017000
2006-07-25,4.520000,4.640000,4.516000,4.608000,3.445714,6900000
2006-07-26,4.614000,4.785000,4.580000,4.668000,3.490581,10338000
2006-07-27,4.690000,4.717000,4.652000,4.652000,3.478616,6009000
2006-07-28,4.651000,4.680000,4.626000,4.630000,3.462165,4339000
2006-07-31,4.630000,4.641000,4.586000,4.587000,3.430011,4616000
2006-08-01,4.592000,4.592000,4.470000,4.500000,3.364957,7390000
2006-08-02,4.799000,5.005000,4.731000,5.002000,3.740335,53372000
2006-08-03,4.913000,5.024000,4.865000,4.999000,3.738092,21689000
2006-08-04,5.030000,5.150000,4.999000,5.005000,3.742578,14216000
2006-08-07,5.050000,5.130000,5.025000,5.110000,3.821093,6918000
2006-08-08,5.110000,5.267000,5.105000,5.257000,3.931016,14073000
2006-08-09,5.300000,5.450000,5.200000,5.285000,3.951954,15043000
2006-08-10,5.220000,5.391000,5.210000,5.356000,4.005044,8725000
2006-08-11,5.350000,5.445000,5.325000,5.368000,4.014019,9078000
2006-08-14,5.375000,5.454000,5.352000,5.423000,4.055144,6314000
2006-08-15,5.470000,5.493000,5.426000,5.449000,4.074587,8553000
2006-08-16,5.465000,5.543000,5.416000,5.427000,4.058137,15344000
