Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,2.479167,2.395833,2.458333,0.068347,313200
1980-12-15,0.000000,2.541667,2.468750,2.500000,0.069506,134400
1980-12-16,0.000000,2.583333,2.500000,2.562500,0.071243,1311600
1980-12-17,0.000000,2.593750,2.531250,2.583333,0.071822,482400
1980-12-18,0.000000,2.656250,2.562500,2.635417,0.073271,294000
1980-12-19,0.000000,2.697917,2.656250,2.677083,0.074429,624000
1980-12-22,0.000000,2.770833,2.677083,2.750000,0.076456,993600
1980-12-23,0.000000,2.791667,2.750000,2.791667,0.077615,1291200
1980-12-24,0.000000,2.843750,2.791667,2.822917,0.078483,214800
1980-12-26,0.000000,2.854167,2.833333,2.854167,0.079352,20400
1980-12-29,0.000000,2.916667,2.833333,2.843750,0.079063,205200
1980-12-30,0.000000,2.864583,2.833333,2.854167,0.079352,169200
1980-12-31,0.000000,2.864583,2.833333,2.864583,0.079642,308400
1981-01-02,0.000000,2.854167,2.833333,2.854167,0.079352,150000
1981-01-05,0.000000,2.833333,2.791667,2.822917,0.078483,84000
1981-01-06,0.000000,2.812500,2.750000,2.812500,0.078194,276000
1981-01-07,0.000000,2.833333,2.760417,2.833333,0.078773,433200
1981-01-08,0.000000,2.822917,2.770833,2.791667,0.077615,403200
1981-01-09,0.000000,2.822917,2.791667,2.791667,0.077615,135600
1981-01-12,0.000000,2.833333,2.791667,2.791667,0.077615,390000
1981-01-13,0.000000,2.812500,2.791667,2.791667,0.077615,132000
1981-01-14,0.000000,2.833333,2.770833,2.833333,0.078773,447600
1981-01-15,0.000000,2.833333,2.791667,2.791667,0.077615,306000
1981-01-16,0.000000,2.833333,2.791667,2.812500,0.078194,216000
1981-01-19,0.000000,2.833333,2.729167,2.750000,0.076456,160800
1981-01-20,0.000000,2.750000,2.687500,2.697917,0.075008,182400
1981-01-21,0.000000,2.697917,2.552083,2.604167,0.072402,436800
1981-01-22,0.000000,2.666667,2.583333,2.583333,0.071822,129600
1981-01-23,0.000000,2.625000,2.572917,2.604167,0.072402,144000
1981-01-26,0.000000,2.666667,2.604167,2.614583,0.072691,112800
1981-01-27,0.000000,2.625000,2.500000,2.583333,0.071822,110400
1981-01-28,0.000000,2.625000,2.593750,2.614583,0.072691,207600
1981-01-29,0.000000,2.614583,2.583333,2.583333,0.071822,111600
1981-01-30,0.000000,2.625000,2.520833,2.541667,0.070664,273600
1981-02-02,0.000000,2.583333,2.468750,2.583333,0.071822,128400
1981-02-03,0.000000,2.531250,2.479167,2.489583,0.069216,447600
1981-02-04,0.000000,2.656250,2.520833,2.656250,0.073850,396000
1981-02-05,0.000000,2.729167,2.625000,2.729167,0.075877,589200
1981-02-06,0.000000,2.697917,2.645833,2.666667,0.074139,470400
1981-02-09,0.000000,2.645833,2.572917,2.583333,0.071822,207600
1981-02-10,0.000000,2.645833,2.520833,2.645833,0.073560,590400
1981-02-11,0.000000,2.708333,2.604167,2.645833,0.073560,324000
1981-02-12,0.000000,2.645833,2.583333,2.593750,0.072112,364800
1981-02-13,0.000000,2.625000,2.583333,2.625000,0.072981,104400
1981-02-17,0.000000,2.635417,2.583333,2.614583,0.072691,411600
1981-02-18,0.000000,2.656250,2.604167,2.604167,0.072402,883200
1981-02-19,0.000000,2.635417,2.583333,2.604167,0.072402,202800
1981-02-20,0.000000,2.656250,2.604167,2.656250,0.073850,229200
1981-02-23,0.000000,2.656250,2.625000,2.656250,0.073850,99600
1981-02-24,0.000000,2.697917,2.645833,2.666667,0.074139,396000
1981-02-25,0.000000,2.729167,2.677083,2.697917,0.075008,268800
1981-02-26,0.000000,2.729167,2.687500,2.697917,0.075008,475200
1981-02-27,0.000000,2.791667,2.708333,2.770833,0.077035,507600
1981-03-02,0.000000,2.791667,2.750000,2.791667,0.077615,147600
1981-03-03,0.000000,2.864583,2.770833,2.864583,0.079642,2976000
1981-03-04,0.000000,2.854167,2.791667,2.854167,0.079352,225600
1981-03-05,0.000000,2.875000,2.854167,2.875000,0.079931,447600
1981-03-06,0.000000,2.875000,2.833333,2.833333,0.078773,175200
1981-03-09,0.000000,2.864583,2.833333,2.843750,0.079063,240000
1981-03-10,0.000000,2.875000,2.833333,2.843750,0.079063,650400
1981-03-11,0.000000,2.864583,2.843750,2.864583,0.079642,553200
