Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,1.671875,1.677083,1.666667,1.666667,0.003491,4178400
1980-12-15,1.666667,1.692708,1.661458,1.661458,0.003481,2450400
1980-12-16,1.661458,1.671875,1.635417,1.671875,0.003502,4742400
1980-12-17,1.671875,1.677083,1.656250,1.671875,0.003502,4802400
1980-12-18,1.671875,1.697917,1.656250,1.666667,0.003491,5721600
1980-12-19,1.666667,1.682292,1.656250,1.666667,0.003491,4514400
1980-12-22,1.713542,1.807292,1.713542,1.791667,0.003753,5244000
1980-12-23,1.812500,1.843750,1.812500,1.812500,0.003797,4975200
1980-12-24,1.812500,1.828125,1.786458,1.802083,0.003775,1022400
1980-12-26,1.802083,1.812500,1.770833,1.770833,0.003710,604800
1980-12-29,1.770833,1.786458,1.770833,1.776042,0.003721,1060800
1980-12-30,1.776042,1.807292,1.776042,1.802083,0.003775,1987200
1980-12-31,1.802083,1.812500,1.786458,1.802083,0.003775,936000
1981-01-02,1.807292,1.843750,1.807292,1.843750,0.003862,2076000
1981-01-05,1.854167,1.921875,1.854167,1.921875,0.004026,4000800
1981-01-06,1.921875,1.968750,1.921875,1.968750,0.004124,8467200
1981-01-07,1.958333,1.958333,1.901042,1.937500,0.004059,11868000
1981-01-08,1.937500,1.979167,1.916667,1.953125,0.004092,10555200
1981-01-09,1.953125,1.953125,1.921875,1.932292,0.004048,3249600
1981-01-12,1.932292,1.958333,1.932292,1.942708,0.004070,2198400
1981-01-13,1.942708,1.947917,1.916667,1.942708,0.004070,1860000
1981-01-14,1.942708,1.968750,1.937500,1.947917,0.004081,3098400
1981-01-15,1.953125,1.989583,1.953125,1.989583,0.004168,2659200
1981-01-16,1.989583,1.994792,1.963542,1.968750,0.004124,2848800
1981-01-19,1.968750,1.979167,1.947917,1.968750,0.004124,4718400
1981-01-20,1.968750,1.979167,1.942708,1.947917,0.004081,1675200
1981-01-21,1.947917,1.947917,1.880208,1.906250,0.003993,2815200
1981-01-22,1.895833,1.895833,1.822917,1.833333,0.003841,4120800
1981-01-23,1.833333,1.838542,1.796875,1.817708,0.003808,3283200
1981-01-26,1.817708,1.817708,1.776042,1.807292,0.003786,1802400
1981-01-27,1.807292,1.833333,1.807292,1.822917,0.003819,2834400
1981-01-28,1.822917,1.838542,1.791667,1.796875,0.003764,1502400
1981-01-29,1.796875,1.812500,1.760417,1.812500,0.003797,2875200
1981-01-30,1.817708,1.838542,1.817708,1.822917,0.003819,2323200
1981-02-02,1.822917,1.822917,1.776042,1.791667,0.003753,2596800
1981-02-03,1.791667,1.822917,1.776042,1.822917,0.003819,3441600
1981-02-04,1.822917,1.848958,1.812500,1.848958,0.003873,2884800
1981-02-05,1.848958,1.859375,1.828125,1.838542,0.003852,2712000
1981-02-06,1.838542,1.848958,1.812500,1.828125,0.003830,2625600
1981-02-09,1.828125,1.843750,1.817708,1.833333,0.003841,1483200
1981-02-10,1.828125,1.828125,1.807292,1.822917,0.003819,1780800
1981-02-11,1.822917,1.822917,1.796875,1.802083,0.003775,1176000
1981-02-12,1.802083,1.817708,1.781250,1.791667,0.003753,936000
1981-02-13,1.781250,1.781250,1.750000,1.760417,0.003688,2935200
1981-02-17,1.760417,1.776042,1.750000,1.765625,0.003699,1838400
1981-02-18,1.765625,1.781250,1.760417,1.770833,0.003710,1932000
1981-02-19,1.770833,1.776042,1.750000,1.760417,0.003688,1140000
1981-02-20,1.760417,1.781250,1.755208,1.770833,0.003710,1394400
1981-02-23,1.770833,1.822917,1.770833,1.817708,0.003808,2251200
1981-02-24,1.817708,1.848958,1.817708,1.822917,0.003819,2320800
1981-02-25,1.828125,1.895833,1.828125,1.895833,0.003972,2892000
1981-02-26,1.901042,1.958333,1.901042,1.958333,0.004102,7015200
1981-02-27,1.958333,2.010417,1.942708,2.000000,0.004190,6391200
1981-03-02,2.000000,2.052083,1.973958,2.036458,0.004266,9856800
1981-03-03,2.036458,2.041667,1.984375,1.984375,0.004200,4699200
1981-03-04,1.984375,2.000000,1.979167,1.989583,0.004211,2181600
1981-03-05,1.989583,2.000000,1.958333,1.963542,0.004156,3057600
1981-03-06,1.958333,1.958333,1.927083,1.927083,0.004079,1293600
1981-03-09,1.937500,1.968750,1.937500,1.963542,0.004156,1051200
1981-03-10,1.963542,1.973958,1.958333,1.958333,0.004145,1840800
1981-03-11,1.958333,1.979167,1.947917,1.979167,0.004189,3547200
1981-03-12,1.979167,2.010417,1.963542,2.010417,0.004255,2680800
1981-03-13,2.010417,2.031250,1.989583,2.010417,0.004255,5992800
1981-03-16,2.020833,2.083333,2.020833,2.083333,0.004409,2685600
1981-03-17,2.083333,2.098958,2.072917,2.078125,0.004398,4783200
1981-03-18,2.078125,2.166667,2.072917,2.125000,0.004498,8049600
1981-03-19,2.125000,2.161458,2.104167,2.109375,0.004465,3340800
1981-03-20,2.109375,2.140625,2.072917,2.125000,0.004498,3703200
1981-03-23,2.125000,2.135417,2.119792,2.125000,0.004498,4077600
1981-03-24,2.125000,2.151042,2.125000,2.135417,0.004520,2512800
1981-03-25,2.135417,2.177083,2.130208,2.177083,0.004608,3468000
1981-03-26,2.177083,2.218750,2.177083,2.177083,0.004608,7533600
1981-03-27,2.177083,2.187500,2.135417,2.135417,0.004520,1557600
1981-03-30,2.135417,2.145833,2.125000,2.130208,0.004509,1910400
1981-03-31,2.130208,2.156250,2.119792,2.130208,0.004509,2476800
1981-04-01,2.119792,2.119792,2.083333,2.098958,0.004443,1600800
1981-04-02,2.098958,2.135417,2.093750,2.135417,0.004520,2664000
1981-04-03,2.135417,2.161458,2.098958,2.114583,0.004476,3033600
1981-04-06,2.104167,2.104167,2.067708,2.072917,0.004387,1960800
1981-04-07,2.072917,2.083333,2.057292,2.062500,0.004365,1749600
1981-04-08,2.067708,2.083333,2.067708,2.083333,0.004409,2404800
1981-04-09,2.083333,2.088542,2.062500,2.072917,0.004387,2719200
1981-04-10,2.072917,2.125000,2.067708,2.125000,0.004498,2697600
1981-04-13,2.125000,2.166667,2.109375,2.145833,0.004542,1929600
1981-04-14,2.145833,2.145833,2.130208,2.140625,0.004531,1941600
1981-04-15,2.140625,2.161458,2.135417,2.161458,0.004575,2589600
1981-04-16,2.161458,2.182292,2.161458,2.166667,0.004586,2354400
1981-04-20,2.166667,2.187500,2.156250,2.187500,0.004630,2947200
1981-04-21,2.187500,2.192708,2.166667,2.166667,0.004586,1665600
1981-04-22,2.166667,2.229167,2.156250,2.203125,0.004663,3566400
1981-04-23,2.208333,2.250000,2.208333,2.213542,0.004685,2680800
1981-04-24,2.213542,2.234375,2.197917,2.223958,0.004707,2205600
1981-04-27,2.229167,2.244792,2.229167,2.239583,0.004740,2066400
1981-04-28,2.239583,2.244792,2.177083,2.177083,0.004608,1874400
1981-04-29,2.177083,2.182292,2.114583,2.145833,0.004542,3484800
1981-04-30,2.145833,2.161458,2.114583,2.114583,0.004476,2757600
1981-05-01,2.114583,2.140625,2.093750,2.114583,0.004476,2385600
1981-05-04,2.088542,2.088542,2.062500,2.088542,0.004420,3885600
1981-05-05,2.088542,2.088542,2.067708,2.088542,0.004420,1665600
1981-05-06,2.088542,2.109375,2.062500,2.062500,0.004365,1953600
1981-05-07,2.062500,2.078125,2.026042,2.057292,0.004354,3484800
1981-05-08,2.057292,2.062500,2.026042,2.062500,0.004365,2443200
