Date,Open,High,Low,Close,Adj Close,Volume
1994-10-18,8.000000,8.062500,7.875000,8.000000,0.626162,405200
1994-10-19,8.062500,8.750000,8.062500,8.687500,0.679973,242200
1994-10-20,8.812500,9.062500,8.750000,8.750000,0.684865,137200
1994-10-21,8.750000,8.812500,8.562500,8.625000,0.675081,66600
1994-10-24,8.625000,8.812500,8.437500,8.437500,0.660405,73400
1994-10-25,8.375000,8.625000,8.250000,8.562500,0.670189,63200
1994-10-26,8.437500,8.562500,8.437500,8.437500,0.672181,46200
1994-10-27,8.437500,8.562500,8.437500,8.437500,0.672181,33800
1994-10-28,8.437500,8.500000,8.312500,8.312500,0.662222,40000
1994-10-31,8.375000,8.437500,8.312500,8.312500,0.662222,32800
1994-11-01,8.312500,8.375000,8.250000,8.312500,0.662222,33000
1994-11-02,8.312500,8.375000,8.062500,8.250000,0.657243,73200
1994-11-03,8.312500,8.375000,8.187500,8.187500,0.652265,54800
1994-11-04,8.187500,8.250000,8.000000,8.000000,0.637327,65600
1994-11-07,8.000000,8.125000,8.000000,8.000000,0.637327,71200
1994-11-08,8.000000,8.125000,8.000000,8.125000,0.647285,103000
1994-11-09,8.062500,8.187500,8.062500,8.062500,0.642306,60000
1994-11-10,8.000000,8.187500,7.812500,7.875000,0.627368,74200
1994-11-11,7.937500,7.937500,7.625000,7.812500,0.622390,78400
1994-11-14,7.750000,7.937500,7.625000,7.875000,0.627368,63800
1994-11-15,7.687500,7.875000,7.625000,7.687500,0.612431,68200
1994-11-16,7.687500,7.812500,7.625000,7.750000,0.617410,83200
1994-11-17,7.625000,7.812500,7.625000,7.812500,0.622390,96400
1994-11-18,7.750000,7.750000,7.625000,7.625000,0.607452,110400
1994-11-21,7.750000,7.875000,7.625000,7.750000,0.617410,132600
1994-11-22,7.687500,7.812500,7.687500,7.750000,0.617410,90200
1994-11-23,7.687500,7.812500,7.687500,7.812500,0.622390,47000
1994-11-25,7.625000,7.812500,7.625000,7.812500,0.634573,32800
1994-11-28,7.812500,7.937500,7.750000,7.937500,0.644727,66400
1994-11-29,7.937500,8.000000,7.875000,7.875000,0.639650,46600
1994-11-30,7.937500,8.062500,7.875000,8.000000,0.649803,70400
1994-12-01,8.000000,8.062500,7.937500,8.062500,0.654879,66600
1994-12-02,8.000000,8.062500,7.937500,7.937500,0.644727,30600
1994-12-05,7.875000,8.000000,7.875000,7.937500,0.644727,44200
1994-12-06,7.875000,7.937500,7.812500,7.937500,0.644727,42000
1994-12-07,7.812500,7.937500,7.812500,7.937500,0.644727,33000
1994-12-08,7.875000,8.000000,7.875000,7.875000,0.639650,37400
1994-12-09,7.812500,7.937500,7.812500,7.875000,0.639650,70400
1994-12-12,7.937500,8.000000,7.875000,7.875000,0.639650,31000
1994-12-13,7.937500,7.937500,7.875000,7.875000,0.639650,67200
1994-12-14,7.937500,8.000000,7.812500,8.000000,0.649803,109400
1994-12-15,8.000000,8.125000,7.937500,8.000000,0.649803,42800
1994-12-16,8.125000,8.437500,8.062500,8.250000,0.670109,80800
1994-12-19,8.312500,8.500000,8.250000,8.375000,0.680263,76600
1994-12-20,8.250000,8.375000,8.125000,8.375000,0.680263,55800
1994-12-21,8.312500,8.437500,8.312500,8.375000,0.680263,53400
1994-12-22,8.375000,8.437500,8.312500,8.375000,0.680263,57600
1994-12-23,8.375000,8.437500,8.312500,8.312500,0.675186,44000
1994-12-27,8.250000,8.437500,8.125000,8.187500,0.677255,45600
1994-12-28,8.250000,8.312500,8.187500,8.312500,0.687593,40800
1994-12-29,8.250000,8.250000,8.187500,8.250000,0.682424,63200
1994-12-30,8.250000,8.562500,8.187500,8.562500,0.708273,103000
1995-01-03,8.437500,8.500000,8.375000,8.437500,0.697934,45800
1995-01-04,8.375000,8.437500,8.250000,8.250000,0.682424,21200
1995-01-05,8.250000,8.375000,8.187500,8.312500,0.687593,15600
1995-01-06,8.250000,8.312500,8.187500,8.312500,0.687593,16000
1995-01-09,8.312500,8.562500,8.312500,8.500000,0.703103,48000
1995-01-10,8.625000,8.625000,8.437500,8.500000,0.703103,20000
1995-01-11,8.437500,8.625000,8.437500,8.500000,0.703103,16200
1995-01-12,8.500000,8.625000,8.500000,8.625000,0.713443,26200
1995-01-13,8.625000,8.750000,8.625000,8.687500,0.718613,23000
1995-01-16,8.750000,8.750000,8.625000,8.687500,0.718613,20400
1995-01-17,8.687500,8.750000,8.625000,8.687500,0.718613,16800
1995-01-18,8.750000,8.812500,8.750000,8.750000,0.723783,30600
