Date,Open,High,Low,Close,Adj Close,Volume
1991-10-24,1.185185,1.185185,1.130316,1.141289,1.122883,21519600
1991-10-25,1.141289,1.174211,1.141289,1.174211,1.155274,2114200
1991-10-28,1.163237,1.262003,1.163237,1.262003,1.241649,2660800
1991-10-29,1.251029,1.272977,1.251029,1.262003,1.241649,2511000
1991-10-30,1.262003,1.316872,1.262003,1.294924,1.274040,2615100
1991-10-31,1.327846,1.327846,1.272977,1.272977,1.252446,1100800
1991-11-01,1.272977,1.294924,1.251029,1.262003,1.241649,703500
1991-11-04,1.262003,1.283951,1.240055,1.240055,1.220055,608800
1991-11-05,1.272977,1.272977,1.240055,1.262003,1.241649,387000
1991-11-06,1.251029,1.262003,1.240055,1.262003,1.241649,754600
1991-11-07,1.262003,1.262003,1.240055,1.262003,1.241649,264100
1991-11-08,1.240055,1.262003,1.240055,1.240055,1.220055,320800
1991-11-11,1.240055,1.272977,1.240055,1.251029,1.230852,187200
1991-11-12,1.283951,1.283951,1.251029,1.272977,1.252446,616900
1991-11-13,1.251029,1.272977,1.251029,1.262003,1.241649,52800
1991-11-14,1.283951,1.283951,1.251029,1.283951,1.263243,209800
1991-11-15,1.251029,1.294924,1.251029,1.251029,1.230852,220600
1991-11-18,1.251029,1.262003,1.218107,1.218107,1.198461,341500
1991-11-19,1.240055,1.240055,1.031550,1.086420,1.068898,893200
1991-11-20,1.086420,1.174211,1.086420,1.152263,1.133680,455500
1991-11-21,1.185185,1.229081,1.152263,1.229081,1.209258,129600
1991-11-22,1.229081,1.240055,1.207133,1.207133,1.187665,157900
1991-11-25,1.207133,1.229081,1.185185,1.185185,1.166071,280800
1991-11-26,1.185185,1.185185,1.174211,1.185185,1.166071,57600
1991-11-27,1.174211,1.185185,1.152263,1.152263,1.133680,189600
1991-11-29,1.141289,1.185185,1.141289,1.141289,1.122883,14100
1991-12-02,1.185185,1.196159,1.152263,1.196159,1.176867,243100
1991-12-03,1.152263,1.152263,1.152263,1.152263,1.133680,1900
1991-12-04,1.185185,1.229081,1.152263,1.229081,1.209258,320800
1991-12-05,1.229081,1.229081,1.207133,1.207133,1.187665,24400
1991-12-06,1.185185,1.229081,1.185185,1.218107,1.198461,68800
1991-12-09,1.185185,1.229081,1.185185,1.196159,1.176867,32400
