Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,5.500000,5.541667,5.416667,5.500000,0.107463,123000
1980-12-15,5.500000,5.541667,5.416667,5.416667,0.105834,529200
1980-12-16,5.416667,5.500000,5.333333,5.375000,0.105020,532800
1980-12-17,5.375000,5.416667,5.333333,5.375000,0.105020,558800
1980-12-18,5.416667,5.708333,5.416667,5.666667,0.110719,364200
1980-12-19,5.666667,5.958333,5.666667,5.750000,0.112347,372600
1980-12-22,5.750000,5.916667,5.750000,5.916667,0.115604,299000
1980-12-23,5.916667,6.000000,5.791667,5.916667,0.115604,327800
1980-12-24,5.916667,5.958333,5.791667,5.875000,0.114790,61800
1980-12-26,5.875000,5.875000,5.750000,5.750000,0.112347,50400
1980-12-29,5.750000,5.791667,5.666667,5.750000,0.112347,102600
1980-12-30,5.708333,5.708333,5.583333,5.666667,0.110719,162600
1980-12-31,5.666667,5.708333,5.625000,5.666667,0.110719,156800
1981-01-02,5.666667,5.750000,5.666667,5.708333,0.111533,173400
1981-01-05,5.833333,6.000000,5.833333,5.916667,0.115604,217400
1981-01-06,5.958333,6.291667,5.958333,6.125000,0.119674,116000
1981-01-07,6.125000,6.166667,6.041667,6.125000,0.119674,60800
1981-01-08,6.125000,6.166667,6.041667,6.041667,0.118046,46400
1981-01-09,6.041667,6.125000,5.916667,5.958333,0.116418,50000
1981-01-12,6.041667,6.291667,6.041667,6.166667,0.120488,196400
1981-01-13,6.166667,6.166667,6.000000,6.041667,0.118046,83000
1981-01-14,6.041667,6.208333,6.041667,6.041667,0.118046,103200
1981-01-15,6.041667,6.125000,6.041667,6.041667,0.118046,55200
1981-01-16,6.041667,6.125000,6.041667,6.083333,0.118860,39200
1981-01-19,6.125000,6.291667,6.125000,6.208333,0.121302,395600
1981-01-20,6.208333,6.416667,6.208333,6.208333,0.121302,408200
1981-01-21,6.208333,6.333333,6.083333,6.333333,0.123745,121400
1981-01-22,6.333333,6.416667,6.250000,6.291667,0.122931,128000
1981-01-23,6.291667,6.291667,6.166667,6.250000,0.122117,40800
1981-01-26,6.250000,6.291667,6.125000,6.125000,0.119674,65000
1981-01-27,6.125000,6.250000,6.125000,6.208333,0.121302,58200
1981-01-28,6.208333,6.250000,6.166667,6.250000,0.122117,62400
1981-01-29,6.250000,6.291667,6.208333,6.250000,0.122117,144200
1981-01-30,6.250000,6.375000,6.250000,6.291667,0.122931,109200
1981-02-02,6.291667,6.375000,6.208333,6.250000,0.122117,437000
1981-02-03,6.250000,6.250000,6.125000,6.125000,0.119674,126000
1981-02-04,6.125000,6.208333,6.083333,6.125000,0.119674,169800
1981-02-05,6.125000,6.208333,5.958333,6.125000,0.119674,201800
1981-02-06,6.125000,6.250000,6.125000,6.250000,0.122117,66000
1981-02-09,6.250000,6.291667,6.125000,6.166667,0.120488,129200
1981-02-10,6.166667,6.166667,6.041667,6.166667,0.120488,49400
1981-02-11,6.166667,6.166667,6.083333,6.125000,0.119674,95000
1981-02-12,6.125000,6.125000,6.041667,6.083333,0.118860,27600
1981-02-13,6.083333,6.083333,6.000000,6.041667,0.118046,44400
1981-02-17,6.041667,6.125000,6.000000,6.083333,0.118860,65600
1981-02-18,6.083333,6.083333,5.958333,6.083333,0.118860,114800
1981-02-19,6.041667,6.041667,5.916667,5.958333,0.116418,94800
1981-02-20,5.958333,6.083333,5.916667,6.041667,0.118046,72000
1981-02-23,6.041667,6.166667,6.000000,6.166667,0.120488,68400
1981-02-24,6.166667,6.250000,6.083333,6.208333,0.121302,74400
1981-02-25,6.208333,6.208333,6.125000,6.125000,0.119674,36000
1981-02-26,6.125000,6.166667,6.041667,6.125000,0.119674,121800
