Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,1.375000,1.375000,1.340278,1.354167,0.485037,1744200
1980-12-15,1.354167,1.368056,1.340278,1.354167,0.485037,1195200
1980-12-16,1.354167,1.354167,1.340278,1.347222,0.482550,1945800
1980-12-17,1.347222,1.368056,1.333333,1.354167,0.485037,2354400
1980-12-18,1.354167,1.375000,1.340278,1.375000,0.492499,2752200
1980-12-19,1.375000,1.381944,1.361111,1.375000,0.492499,2689200
1980-12-22,1.381944,1.423611,1.381944,1.416667,0.507423,2325600
1980-12-23,1.416667,1.451389,1.409722,1.444444,0.517372,2934000
1980-12-24,1.444444,1.444444,1.437500,1.444444,0.517372,2003400
1980-12-26,1.444444,1.451389,1.437500,1.444444,0.517372,3814200
1980-12-29,1.444444,1.465278,1.444444,1.465278,0.524835,2275200
1980-12-30,1.465278,1.500000,1.458333,1.493056,0.534784,5005800
1980-12-31,1.493056,1.513889,1.493056,1.513889,0.542246,2410200
1981-01-02,1.513889,1.534722,1.506944,1.527778,0.547221,1996200
1981-01-05,1.541667,1.576389,1.541667,1.569444,0.562145,5099400
1981-01-06,1.576389,1.625000,1.576389,1.597222,0.572095,8510400
1981-01-07,1.569444,1.569444,1.500000,1.562500,0.559658,4082400
1981-01-08,1.562500,1.569444,1.527778,1.569444,0.562145,5810400
1981-01-09,1.569444,1.611111,1.562500,1.611111,0.577070,5277600
1981-01-12,1.611111,1.645833,1.597222,1.611111,0.577070,2779200
1981-01-13,1.604167,1.604167,1.590278,1.604167,0.574582,1220400
1981-01-14,1.604167,1.618056,1.597222,1.604167,0.574582,1589400
1981-01-15,1.604167,1.625000,1.604167,1.611111,0.577070,2379600
1981-01-16,1.611111,1.625000,1.604167,1.618056,0.579557,1567800
1981-01-19,1.611111,1.611111,1.590278,1.597222,0.572095,1549800
1981-01-20,1.597222,1.604167,1.576389,1.576389,0.564632,885600
1981-01-21,1.562500,1.562500,1.534722,1.562500,0.559658,1443600
