Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,2.031250,2.031250,2.015625,2.019531,0.030931,2739200
1980-12-15,2.019531,2.031250,2.011719,2.019531,0.030931,1788800
1980-12-16,2.015625,2.015625,1.992188,2.000000,0.030632,1580800
1980-12-17,2.000000,2.007813,1.992188,1.996094,0.030572,1104000
1980-12-18,1.996094,2.015625,1.988281,2.000000,0.030632,4336000
1980-12-19,1.992188,1.992188,1.968750,1.984375,0.030393,4608000
1980-12-22,1.992188,2.058594,1.992188,2.046875,0.031350,4457600
1980-12-23,2.062500,2.085938,2.062500,2.078125,0.031828,4323200
1980-12-24,2.078125,2.109375,2.078125,2.101563,0.032187,4697600
1980-12-26,2.101563,2.121094,2.093750,2.121094,0.032487,918400
1980-12-29,2.121094,2.144531,2.121094,2.136719,0.032726,2256000
1980-12-30,2.136719,2.144531,2.125000,2.144531,0.032846,2342400
1980-12-31,2.144531,2.167969,2.140625,2.152344,0.032965,2966400
1981-01-02,2.152344,2.152344,2.128906,2.128906,0.032606,512000
1981-01-05,2.128906,2.156250,2.128906,2.156250,0.033025,1753600
1981-01-06,2.171875,2.234375,2.171875,2.218750,0.033982,2828800
1981-01-07,2.218750,2.265625,2.156250,2.253906,0.034521,3222400
1981-01-08,2.253906,2.257813,2.207031,2.207031,0.033803,3555200
1981-01-09,2.207031,2.234375,2.207031,2.218750,0.033982,2604800
1981-01-12,2.218750,2.250000,2.210938,2.210938,0.033863,2236800
1981-01-13,2.210938,2.218750,2.187500,2.210938,0.033863,1123200
1981-01-14,2.210938,2.226563,2.203125,2.207031,0.033803,915200
1981-01-15,2.207031,2.210938,2.191406,2.203125,0.033743,1264000
1981-01-16,2.203125,2.210938,2.191406,2.195313,0.033623,1110400
1981-01-19,2.187500,2.187500,2.140625,2.148438,0.033356,1286400
1981-01-20,2.148438,2.160156,2.136719,2.140625,0.033235,1795200
1981-01-21,2.140625,2.140625,2.117188,2.125000,0.032993,1539200
1981-01-22,2.125000,2.125000,2.109375,2.117188,0.032871,880000
1981-01-23,2.117188,2.132813,2.101563,2.132813,0.033114,1020800
1981-01-26,2.132813,2.140625,2.113281,2.121094,0.032932,716800
1981-01-27,2.121094,2.125000,2.093750,2.109375,0.032750,4483200
1981-01-28,2.109375,2.109375,2.093750,2.093750,0.032507,2803200
1981-01-29,2.093750,2.105469,2.070313,2.074219,0.032204,2774400
1981-01-30,2.078125,2.105469,2.078125,2.093750,0.032507,1075200
1981-02-02,2.093750,2.101563,2.078125,2.093750,0.032507,585600
1981-02-03,2.093750,2.101563,2.070313,2.093750,0.032507,3184000
1981-02-04,2.093750,2.105469,2.070313,2.078125,0.032265,1420800
1981-02-05,2.078125,2.093750,2.035156,2.035156,0.031598,4422400
1981-02-06,2.035156,2.070313,2.035156,2.062500,0.032022,3273600
1981-02-09,2.062500,2.078125,2.062500,2.074219,0.032204,1945600
1981-02-10,2.074219,2.085938,2.066406,2.066406,0.032083,1388800
1981-02-11,2.066406,2.082031,2.066406,2.074219,0.032204,2352000
1981-02-12,2.082031,2.093750,2.082031,2.093750,0.032507,1760000
1981-02-13,2.093750,2.105469,2.078125,2.093750,0.032507,2889600
1981-02-17,2.093750,2.132813,2.093750,2.128906,0.033053,918400
1981-02-18,2.128906,2.167969,2.125000,2.167969,0.033660,2406400
1981-02-19,2.167969,2.179688,2.148438,2.148438,0.033356,2668800
1981-02-20,2.148438,2.171875,2.148438,2.148438,0.033356,1945600
1981-02-23,2.148438,2.156250,2.136719,2.152344,0.033417,1497600
1981-02-24,2.152344,2.156250,2.140625,2.140625,0.033235,1334400
1981-02-25,2.121094,2.121094,2.085938,2.101563,0.032629,5475200
1981-02-26,2.101563,2.121094,2.085938,2.105469,0.032689,4870400
1981-02-27,2.121094,2.234375,2.121094,2.230469,0.034630,2931200
1981-03-02,2.230469,2.238281,2.187500,2.234375,0.034691,1811200
1981-03-03,2.234375,2.242188,2.187500,2.203125,0.034206,2361600
1981-03-04,2.203125,2.203125,2.171875,2.183594,0.033902,928000
1981-03-05,2.183594,2.210938,2.175781,2.191406,0.034024,2934400
1981-03-06,2.191406,2.203125,2.183594,2.191406,0.034024,1075200
1981-03-09,2.195313,2.230469,2.195313,2.226563,0.034569,1680000
1981-03-10,2.234375,2.289063,2.234375,2.257813,0.035055,3174400
1981-03-11,2.257813,2.257813,2.218750,2.230469,0.034630,1494400
1981-03-12,2.261719,2.304688,2.222656,2.296875,0.035661,2809600
1981-03-13,2.296875,2.320313,2.296875,2.312500,0.035904,1267200
1981-03-16,2.312500,2.316406,2.292969,2.316406,0.035964,1184000
1981-03-17,2.316406,2.324219,2.300781,2.308594,0.035843,2454400
1981-03-18,2.308594,2.308594,2.289063,2.289063,0.035540,1056000
1981-03-19,2.273438,2.273438,2.238281,2.238281,0.034751,918400
1981-03-20,2.238281,2.261719,2.203125,2.226563,0.034569,2352000
1981-03-23,2.226563,2.226563,2.187500,2.226563,0.034569,3110400
1981-03-24,2.226563,2.242188,2.207031,2.210938,0.034327,2470400
1981-03-25,2.210938,2.218750,2.207031,2.218750,0.034448,1782400
1981-03-26,2.218750,2.250000,2.218750,2.242188,0.034812,2377600
1981-03-27,2.242188,2.242188,2.207031,2.207031,0.034266,1232000
1981-03-30,2.207031,2.218750,2.187500,2.187500,0.033963,432000
1981-03-31,2.195313,2.218750,2.195313,2.203125,0.034206,1120000
1981-04-01,2.203125,2.226563,2.187500,2.195313,0.034084,1750400
1981-04-02,2.195313,2.203125,2.164063,2.183594,0.033902,1840000
1981-04-03,2.183594,2.218750,2.183594,2.183594,0.033902,755200
