Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,3.500000,3.437500,3.437500,0.693109,31200
1980-12-15,0.000000,3.468750,3.437500,3.437500,0.693109,31200
1980-12-16,0.000000,3.468750,3.437500,3.437500,0.693109,40800
1980-12-17,0.000000,3.593750,3.531250,3.531250,0.712012,57600
1980-12-18,0.000000,3.656250,3.593750,3.593750,0.724614,108000
1980-12-19,0.000000,3.718750,3.656250,3.656250,0.737216,17600
1980-12-22,0.000000,3.718750,3.656250,3.656250,0.737216,12000
1980-12-23,0.000000,3.750000,3.687500,3.687500,0.743517,36000
1980-12-24,0.000000,3.750000,3.687500,3.687500,0.743517,6400
1980-12-26,0.000000,3.750000,3.687500,3.687500,0.743517,1600
1980-12-29,0.000000,3.750000,3.687500,3.687500,0.743517,12800
1980-12-30,0.000000,3.781250,3.718750,3.718750,0.749818,41600
1980-12-31,0.000000,3.906250,3.875000,3.875000,0.781324,84000
1981-01-02,0.000000,4.000000,3.937500,3.937500,0.793925,35200
1981-01-05,0.000000,4.062500,4.000000,4.000000,0.806527,35200
1981-01-06,0.000000,4.125000,4.062500,4.062500,0.819129,28800
1981-01-07,0.000000,4.093750,4.062500,4.062500,0.819129,46400
1981-01-08,0.000000,4.093750,4.062500,4.062500,0.819129,16000
1981-01-09,0.000000,4.125000,4.093750,4.093750,0.825430,56000
1981-01-12,0.000000,4.125000,4.093750,4.093750,0.825430,5600
1981-01-13,0.000000,4.125000,4.093750,4.093750,0.825430,68000
1981-01-14,0.000000,4.031250,3.968750,3.968750,0.800226,44800
1981-01-15,0.000000,4.031250,3.968750,3.968750,0.800226,11200
1981-01-16,0.000000,4.000000,3.968750,3.968750,0.800226,20000
1981-01-19,0.000000,3.937500,3.875000,3.875000,0.781324,60800
1981-01-20,0.000000,3.843750,3.781250,3.781250,0.762420,31200
1981-01-21,0.000000,3.843750,3.781250,3.781250,0.762420,25600
1981-01-22,0.000000,3.812500,3.750000,3.750000,0.756119,46400
1981-01-23,0.000000,3.781250,3.750000,3.750000,0.756119,33600
1981-01-26,0.000000,3.750000,3.718750,3.718750,0.749818,48000
1981-01-27,0.000000,3.750000,3.687500,3.687500,0.743517,31200
1981-01-28,0.000000,3.718750,3.687500,3.687500,0.743517,73600
1981-01-29,0.000000,3.750000,3.718750,3.718750,0.749818,21600
1981-01-30,0.000000,3.750000,3.718750,3.718750,0.749818,17600
1981-02-02,0.000000,3.718750,3.656250,3.656250,0.737216,170400
1981-02-03,0.000000,3.781250,3.718750,3.718750,0.749818,48800
1981-02-04,0.000000,3.937500,3.906250,3.906250,0.787625,204800
1981-02-05,0.000000,3.906250,3.843750,3.843750,0.775023,49600
1981-02-06,0.000000,3.968750,3.937500,3.937500,0.793925,101600
1981-02-09,0.000000,3.968750,3.937500,3.937500,0.793925,17600
1981-02-10,0.000000,3.968750,3.937500,3.937500,0.793925,59200
1981-02-11,0.000000,3.968750,3.906250,3.906250,0.787625,20800
1981-02-12,0.000000,4.000000,3.937500,3.937500,0.793925,20800
1981-02-13,0.000000,3.968750,3.937500,3.937500,0.793925,6400
1981-02-17,0.000000,3.968750,3.937500,3.937500,0.793925,24000
1981-02-18,0.000000,4.000000,3.968750,3.968750,0.800226,18400
1981-02-19,0.000000,4.062500,4.000000,4.000000,0.806527,57600
1981-02-20,0.000000,4.093750,4.000000,4.000000,0.806527,13600
1981-02-23,0.000000,4.031250,4.000000,4.000000,0.806527,33600
1981-02-24,0.000000,4.062500,4.000000,4.000000,0.806527,32000
1981-02-25,0.000000,4.062500,4.000000,4.000000,0.806527,21600
1981-02-26,0.000000,4.125000,4.062500,4.062500,0.819129,101600
1981-02-27,0.000000,4.125000,4.093750,4.093750,0.825430,16000
1981-03-02,0.000000,4.125000,4.093750,4.093750,0.825430,6400
1981-03-03,0.000000,4.156250,4.093750,4.093750,0.825430,16800
1981-03-04,0.000000,4.156250,4.093750,4.093750,0.825430,4000
1981-03-05,0.000000,4.187500,4.156250,4.156250,0.838032,28000
1981-03-06,0.000000,4.218750,4.156250,4.156250,0.838032,16800
1981-03-09,0.000000,4.218750,4.187500,4.187500,0.844333,17600
1981-03-10,0.000000,4.250000,4.187500,4.187500,0.844333,41600
1981-03-11,0.000000,4.312500,4.250000,4.250000,0.856935,55200
1981-03-12,0.000000,4.312500,4.281250,4.281250,0.863236,24800
1981-03-13,0.000000,4.312500,4.281250,4.281250,0.863236,100000
1981-03-16,0.000000,4.312500,4.281250,4.281250,0.863236,12000
1981-03-17,0.000000,4.343750,4.281250,4.281250,0.863236,92000
1981-03-18,0.000000,4.312500,4.281250,4.281250,0.863236,64000
1981-03-19,0.000000,4.312500,4.281250,4.281250,0.863236,149600
1981-03-20,0.000000,4.281250,4.250000,4.250000,0.856935,49600
1981-03-23,0.000000,4.281250,4.250000,4.250000,0.856935,20800
1981-03-24,0.000000,4.281250,4.250000,4.250000,0.856935,45600
1981-03-25,0.000000,4.281250,4.218750,4.218750,0.850634,31200
1981-03-26,0.000000,4.281250,4.250000,4.250000,0.856935,84000
1981-03-27,0.000000,4.281250,4.250000,4.250000,0.856935,231200
1981-03-30,0.000000,4.281250,4.250000,4.250000,0.856935,6400
1981-03-31,0.000000,4.281250,4.250000,4.250000,0.856935,8800
1981-04-01,0.000000,4.312500,4.250000,4.250000,0.856935,42400
1981-04-02,0.000000,4.312500,4.281250,4.281250,0.863236,34400
1981-04-03,0.000000,4.375000,4.343750,4.343750,0.875838,80800
1981-04-06,0.000000,4.406250,4.343750,4.343750,0.875838,4800
1981-04-07,0.000000,4.406250,4.343750,4.343750,0.875838,2400
1981-04-08,0.000000,4.437500,4.406250,4.406250,0.888440,24800
1981-04-09,0.000000,4.468750,4.406250,4.406250,0.888440,30400
1981-04-10,0.000000,4.468750,4.437500,4.437500,0.894741,135200
1981-04-13,0.000000,4.437500,4.406250,4.406250,0.888440,3457600
1981-04-14,0.000000,4.468750,4.437500,4.437500,0.894741,65600
1981-04-15,0.000000,4.468750,4.406250,4.406250,0.888440,20000
1981-04-16,0.000000,4.531250,4.500000,4.500000,0.907343,97600
1981-04-20,0.000000,4.531250,4.500000,4.500000,0.907343,69600
1981-04-21,0.000000,4.562500,4.531250,4.531250,0.913644,665600
1981-04-22,0.000000,4.687500,4.656250,4.656250,0.938848,142400
1981-04-23,0.000000,4.781250,4.718750,4.718750,0.951450,64800
1981-04-24,0.000000,4.875000,4.843750,4.843750,0.976654,96000
1981-04-27,0.000000,4.875000,4.843750,4.843750,0.976654,157600
1981-04-28,0.000000,4.843750,4.812500,4.812500,0.970353,116000
1981-04-29,0.000000,4.843750,4.781250,4.781250,0.964052,120800
1981-04-30,0.000000,4.843750,4.781250,4.781250,0.964052,109600
1981-05-01,0.000000,4.875000,4.843750,4.843750,0.976654,138400
1981-05-04,0.000000,4.843750,4.781250,4.781250,0.964052,98400
1981-05-05,0.000000,4.718750,4.687500,4.687500,0.945149,110400
1981-05-06,0.000000,4.750000,4.687500,4.687500,0.945149,84800
1981-05-07,0.000000,4.750000,4.687500,4.687500,0.945149,67200
1981-05-08,0.000000,4.750000,4.718750,4.718750,0.951450,50400
1981-05-11,0.000000,4.750000,4.718750,4.718750,0.951450,83200
1981-05-12,0.000000,4.750000,4.687500,4.687500,0.945149,268000
1981-05-13,0.000000,4.750000,4.687500,4.687500,0.945149,102400
1981-05-14,0.000000,4.750000,4.718750,4.718750,0.951450,164000
1981-05-15,0.000000,4.781250,4.750000,4.750000,0.957751,97600
1981-05-18,0.000000,4.781250,4.718750,4.718750,0.951450,52000
1981-05-19,0.000000,4.750000,4.687500,4.687500,0.945149,14400
1981-05-20,0.000000,4.718750,4.656250,4.656250,0.938848,56000
1981-05-21,0.000000,4.687500,4.656250,4.656250,0.938848,105600
1981-05-22,0.000000,4.687500,4.656250,4.656250,0.938848,68000
1981-05-26,0.000000,4.687500,4.656250,4.656250,0.938848,96800
1981-05-27,0.000000,4.718750,4.656250,4.656250,0.938848,68800
1981-05-28,0.000000,4.750000,4.687500,4.687500,0.945149,74400
1981-05-29,0.000000,4.906250,4.875000,4.875000,0.982955,111200
1981-06-01,0.000000,4.968750,4.937500,4.937500,0.995557,88800
1981-06-02,0.000000,4.937500,4.906250,4.906250,0.989256,108000
1981-06-03,0.000000,4.937500,4.906250,4.906250,0.989256,79200
1981-06-04,0.000000,4.937500,4.906250,4.906250,0.989256,101600
1981-06-05,0.000000,4.937500,4.906250,4.906250,0.989256,15200
1981-06-08,0.000000,5.031250,5.000000,5.000000,1.008159,234400
1981-06-09,0.000000,5.062500,5.031250,5.031250,1.014461,124800
1981-06-10,0.000000,5.062500,5.031250,5.031250,1.014461,163200
1981-06-11,0.000000,5.062500,5.031250,5.031250,1.014461,30400
1981-06-12,0.000000,5.125000,5.062500,5.062500,1.020761,101600
1981-06-15,0.000000,5.156250,5.093750,5.093750,1.027062,82400
1981-06-16,0.000000,5.156250,5.125000,5.125000,1.033363,221600
1981-06-17,0.000000,5.156250,5.125000,5.125000,1.033363,57600
1981-06-18,0.000000,5.156250,5.093750,5.093750,1.027062,128000
1981-06-19,0.000000,5.125000,5.093750,5.093750,1.027062,28000
1981-06-22,0.000000,5.156250,5.125000,5.125000,1.033363,88800
1981-06-23,0.000000,5.156250,5.125000,5.125000,1.033363,344800
1981-06-24,0.000000,5.125000,5.093750,5.093750,1.027062,14400
1981-06-25,0.000000,5.125000,5.093750,5.093750,1.027062,6400
1981-06-26,0.000000,5.125000,5.093750,5.093750,1.027062,40800
1981-06-29,0.000000,5.062500,5.031250,5.031250,1.014461,65600
1981-06-30,0.000000,5.000000,4.968750,4.968750,1.001858,67200
1981-07-01,0.000000,4.968750,4.906250,4.906250,0.989256,133600
1981-07-02,0.000000,4.906250,4.875000,4.875000,0.982955,44000
1981-07-06,0.000000,4.875000,4.843750,4.843750,0.976654,8000
1981-07-07,0.000000,4.968750,4.937500,4.937500,0.995557,136800
1981-07-08,0.000000,4.968750,4.937500,4.937500,0.995557,25600
1981-07-09,0.000000,5.093750,5.062500,5.062500,1.020761,121600
1981-07-10,0.000000,5.093750,5.062500,5.062500,1.020761,16000
1981-07-13,0.000000,5.125000,5.093750,5.093750,1.027062,94400
1981-07-14,0.000000,5.125000,5.093750,5.093750,1.027062,108800
1981-07-15,0.000000,5.125000,5.093750,5.093750,1.027062,74400
1981-07-16,0.000000,5.125000,5.093750,5.093750,1.027062,82400
