Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,2.171875,2.148438,2.156250,0.162259,57600
1980-12-15,0.000000,2.148438,2.117188,2.117188,0.159320,472000
1980-12-16,0.000000,2.101563,2.046875,2.062500,0.155205,131200
1980-12-17,0.000000,2.101563,2.070313,2.085938,0.156968,276800
1980-12-18,0.000000,2.078125,2.062500,2.070313,0.155792,168000
1980-12-19,0.000000,2.140625,2.062500,2.140625,0.161083,504000
1980-12-22,0.000000,2.164063,2.125000,2.164063,0.162847,384000
1980-12-23,0.000000,2.187500,2.140625,2.156250,0.162259,184000
1980-12-24,0.000000,2.242188,2.132813,2.242188,0.168726,1203200
1980-12-26,0.000000,2.265625,2.226563,2.250000,0.169314,97600
1980-12-29,0.000000,2.304688,2.234375,2.265625,0.170490,324800
1980-12-30,0.000000,2.328125,2.234375,2.328125,0.175193,1240000
1980-12-31,0.000000,2.546875,2.320313,2.546875,0.191654,928000
1981-01-02,0.000000,2.546875,2.500000,2.546875,0.191654,483200
1981-01-05,0.000000,2.601563,2.500000,2.515625,0.189302,1252800
1981-01-06,0.000000,2.500000,2.406250,2.421875,0.182248,296000
1981-01-07,0.000000,2.375000,2.250000,2.359375,0.177545,540800
1981-01-08,0.000000,2.367188,2.218750,2.296875,0.172841,680000
1981-01-09,0.000000,2.398438,2.289063,2.398438,0.180484,1307200
1981-01-12,0.000000,2.554688,2.437500,2.531250,0.190478,1108800
1981-01-13,0.000000,2.531250,2.500000,2.515625,0.189302,276800
1981-01-14,0.000000,2.578125,2.500000,2.523438,0.189890,1025600
1981-01-15,0.000000,2.531250,2.500000,2.515625,0.189302,310400
1981-01-16,0.000000,2.640625,2.507813,2.640625,0.198709,820800
1981-01-19,0.000000,2.656250,2.578125,2.625000,0.197533,768000
1981-01-20,0.000000,2.671875,2.640625,2.664063,0.200472,822400
1981-01-21,0.000000,2.703125,2.625000,2.687500,0.202236,2556800
1981-01-22,0.000000,2.765625,2.609375,2.640625,0.198709,1601600
1981-01-23,0.000000,2.640625,2.578125,2.625000,0.197533,1859200
1981-01-26,0.000000,2.601563,2.562500,2.562500,0.192830,329600
1981-01-27,0.000000,2.593750,2.562500,2.585938,0.194594,753600
1981-01-28,0.000000,2.648438,2.578125,2.625000,0.197533,358400
1981-01-29,0.000000,2.687500,2.625000,2.656250,0.199885,262400
