Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,2.255055,2.301077,2.255055,2.255055,0.724757,3200
1980-12-15,2.255055,2.301077,2.255055,2.255055,0.724757,3200
1980-12-16,2.255055,2.301077,2.255055,2.255055,0.724757,28100
1980-12-17,2.278066,2.301077,2.278066,2.278066,0.732152,23700
1980-12-18,2.324087,2.393120,2.324087,2.324087,0.746943,85600
1980-12-19,2.370109,2.416130,2.370109,2.370109,0.761734,18200
1980-12-22,2.370109,2.416130,2.370109,2.370109,0.761734,11800
1980-12-23,2.370109,2.416130,2.370109,2.370109,0.761734,49800
1980-12-24,2.370109,2.416130,2.370109,2.370109,0.761734,14000
1980-12-26,2.393120,2.439141,2.393120,2.393120,0.769129,38000
1980-12-29,2.393120,2.416130,2.393120,2.393120,0.769129,4100
1980-12-30,2.393120,2.416130,2.393120,2.393120,0.769129,7400
1980-12-31,2.393120,2.416130,2.370109,2.370109,0.761734,18200
1981-01-02,2.370109,2.416130,2.370109,2.370109,0.761734,5400
1981-01-05,2.370109,2.439141,2.370109,2.370109,0.761734,60700
1981-01-06,2.370109,2.416130,2.370109,2.370109,0.761734,8600
1981-01-07,2.347098,2.347098,2.301077,2.301077,0.739548,150800
1981-01-08,2.301077,2.347098,2.301077,2.301077,0.739548,79200
1981-01-09,2.301077,2.347098,2.301077,2.301077,0.739548,99700
1981-01-12,2.324087,2.370109,2.324087,2.324087,0.746943,16200
1981-01-13,2.324087,2.370109,2.324087,2.324087,0.746943,31300
1981-01-14,2.347098,2.393120,2.347098,2.347098,0.754339,81400
1981-01-15,2.347098,2.393120,2.347098,2.347098,0.754339,4100
1981-01-16,2.439141,2.485163,2.439141,2.439141,0.783920,219200
1981-01-19,2.462152,2.508173,2.462152,2.462152,0.791316,71600
1981-01-20,2.462152,2.508173,2.462152,2.462152,0.791316,18200
1981-01-21,2.462152,2.485163,2.439141,2.439141,0.783920,59700
1981-01-22,2.439141,2.462152,2.393120,2.393120,0.769129,40000
1981-01-23,2.393120,2.439141,2.393120,2.393120,0.769129,27100
1981-01-26,2.393120,2.439141,2.393120,2.393120,0.769129,22700
1981-01-27,2.393120,2.439141,2.393120,2.393120,0.769129,14000
1981-01-28,2.393120,2.393120,2.347098,2.347098,0.754339,30300
1981-01-29,2.347098,2.393120,2.347098,2.347098,0.754339,1900
1981-01-30,2.347098,2.393120,2.324087,2.324087,0.746943,19500
1981-02-02,2.324087,2.347098,2.324087,2.324087,0.746943,554000
1981-02-03,2.324087,2.370109,2.324087,2.324087,0.746943,27100
1981-02-04,2.347098,2.370109,2.347098,2.347098,0.754339,17200
1981-02-05,2.358603,2.393120,2.358603,2.358603,0.758036,86900
1981-02-06,2.358603,2.416130,2.358603,2.358603,0.758036,8600
1981-02-09,2.370109,2.416130,2.370109,2.370109,0.761734,18200
1981-02-10,2.370109,2.439141,2.370109,2.370109,0.761734,61700
1981-02-11,2.370109,2.439141,2.370109,2.370109,0.761734,73800
1981-02-12,2.370109,2.439141,2.370109,2.370109,0.761734,27100
1981-02-13,2.370109,2.416130,2.370109,2.370109,0.761734,32500
1981-02-17,2.393120,2.416130,2.393120,2.393120,0.769129,104200
1981-02-18,2.393120,2.416130,2.393120,2.393120,0.769129,5400
1981-02-19,2.393120,2.393120,2.347098,2.347098,0.754339,39000
1981-02-20,2.347098,2.393120,2.347098,2.347098,0.754339,3200
1981-02-23,2.347098,2.393120,2.347098,2.347098,0.754339,8600
1981-02-24,2.370109,2.393120,2.370109,2.370109,0.761734,3200
1981-02-25,2.370109,2.393120,2.370109,2.370109,0.761734,900
1981-02-26,2.370109,2.416130,2.370109,2.370109,0.761734,15000
1981-02-27,2.370109,2.416130,2.370109,2.370109,0.761734,27100
1981-03-02,2.370109,2.393120,2.370109,2.370109,0.761734,25900
1981-03-03,2.370109,2.393120,2.370109,2.370109,0.761734,78000
1981-03-04,2.370109,2.393120,2.347098,2.347098,0.754339,24900
1981-03-05,2.347098,2.393120,2.347098,2.347098,0.754339,7400
1981-03-06,2.347098,2.393120,2.347098,2.347098,0.754339,5400
1981-03-09,2.347098,2.381614,2.347098,2.347098,0.754339,6400
1981-03-10,2.347098,2.347098,2.347098,2.347098,0.754339,0
1981-03-11,2.347098,2.416130,2.347098,2.347098,0.754339,14000
1981-03-12,2.347098,2.393120,2.347098,2.347098,0.754339,104200
1981-03-13,2.358603,2.393120,2.358603,2.358603,0.758036,17200
1981-03-16,2.370109,2.416130,2.370109,2.370109,0.761734,66100
1981-03-17,2.393120,2.439141,2.393120,2.393120,0.769129,9600
