Date,Open,High,Low,Close,Adj Close,Volume
1983-07-01,0.000000,0.907179,0.892547,0.892547,0.204561,2399500
1983-07-05,0.000000,0.863283,0.848651,0.848651,0.194501,1357600
1983-07-06,0.000000,0.907179,0.877915,0.877915,0.201208,513100
1983-07-07,0.000000,0.863283,0.848651,0.848651,0.194501,560200
1983-07-08,0.000000,0.863283,0.834019,0.834019,0.191147,171400
1983-07-11,0.000000,0.863283,0.834019,0.834019,0.191147,125700
1983-07-12,0.000000,0.848651,0.834019,0.834019,0.191147,200700
1983-07-13,0.000000,0.848651,0.819387,0.819387,0.187794,166900
1983-07-14,0.000000,0.819387,0.804755,0.804755,0.184440,71100
1983-07-15,0.000000,0.790123,0.760860,0.760860,0.174380,259300
1983-07-18,0.000000,0.775492,0.746228,0.746228,0.171026,105300
1983-07-19,0.000000,0.775492,0.746228,0.746228,0.171026,221500
1983-07-20,0.000000,0.790123,0.760860,0.760860,0.174380,273600
1983-07-21,0.000000,0.790123,0.760860,0.760860,0.174380,197700
1983-07-22,0.000000,0.834019,0.790123,0.790123,0.181087,145900
1983-07-25,0.000000,0.848651,0.819387,0.819387,0.187794,116700
1983-07-26,0.000000,0.877915,0.848651,0.848651,0.194501,259300
1983-07-27,0.000000,0.863283,0.834019,0.834019,0.191147,249000
1983-07-28,0.834019,0.834019,0.834019,0.834019,0.191147,0
1983-07-29,0.000000,0.848651,0.819387,0.819387,0.187794,96000
1983-08-01,0.000000,0.848651,0.834019,0.834019,0.191147,141000
1983-08-02,0.000000,0.863283,0.834019,0.834019,0.191147,33700
1983-08-03,0.000000,0.848651,0.834019,0.834019,0.191147,75700
1983-08-04,0.000000,0.848651,0.819387,0.819387,0.187794,65700
1983-08-05,0.000000,0.848651,0.819387,0.819387,0.187794,14100
1983-08-08,0.000000,0.848651,0.804755,0.804755,0.184440,33700
1983-08-09,0.000000,0.834019,0.804755,0.804755,0.184440,13500
1983-08-10,0.000000,0.834019,0.804755,0.804755,0.184440,16300
1983-08-11,0.000000,0.834019,0.804755,0.804755,0.184440,45400
1983-08-12,0.000000,0.819387,0.790123,0.790123,0.181087,182200
1983-08-15,0.000000,0.804755,0.775492,0.775492,0.177733,27600
1983-08-16,0.000000,0.790123,0.760860,0.760860,0.174380,21100
1983-08-17,0.000000,0.790123,0.760860,0.760860,0.174380,20200
1983-08-18,0.000000,0.775492,0.746228,0.746228,0.171026,27600
1983-08-19,0.000000,0.775492,0.746228,0.746228,0.171026,10900
1983-08-22,0.000000,0.760860,0.731596,0.731596,0.167673,54900
1983-08-23,0.000000,0.746228,0.731596,0.731596,0.167673,89200
1983-08-24,0.000000,0.746228,0.731596,0.731596,0.167673,27100
1983-08-25,0.000000,0.746228,0.731596,0.731596,0.167673,75700
1983-08-26,0.000000,0.746228,0.731596,0.731596,0.167673,38400
1983-08-29,0.000000,0.746228,0.716964,0.716964,0.164320,43800
1983-08-30,0.000000,0.731596,0.702332,0.702332,0.160966,27600
1983-08-31,0.000000,0.731596,0.702332,0.702332,0.160966,14100
1983-09-01,0.000000,0.731596,0.702332,0.702332,0.160966,21100
1983-09-02,0.000000,0.731596,0.702332,0.702332,0.160966,23100
1983-09-06,0.000000,0.731596,0.702332,0.702332,0.160966,14100
1983-09-07,0.000000,0.716964,0.702332,0.702332,0.160966,60900
1983-09-08,0.000000,0.716964,0.702332,0.702332,0.160966,33700
1983-09-09,0.000000,0.716964,0.702332,0.702332,0.160966,7300
1983-09-12,0.000000,0.716964,0.702332,0.702332,0.160966,40600
1983-09-13,0.000000,0.702332,0.687700,0.687700,0.157613,58900
1983-09-14,0.000000,0.702332,0.687700,0.687700,0.157613,45400
1983-09-15,0.000000,0.702332,0.687700,0.687700,0.157613,50500
1983-09-16,0.000000,0.702332,0.687700,0.687700,0.157613,13500
1983-09-19,0.000000,0.702332,0.687700,0.687700,0.157613,13500
1983-09-20,0.000000,0.702332,0.687700,0.687700,0.157613,10900
1983-09-21,0.000000,0.702332,0.687700,0.687700,0.157613,77800
1983-09-22,0.000000,0.702332,0.673068,0.673068,0.154259,36600
1983-09-23,0.000000,0.702332,0.673068,0.673068,0.154259,16300
1983-09-26,0.000000,0.702332,0.673068,0.673068,0.154259,18100
1983-09-27,0.000000,0.702332,0.673068,0.673068,0.154259,10900
1983-09-28,0.000000,0.687700,0.658436,0.658436,0.150906,102100
1983-09-29,0.000000,0.687700,0.658436,0.658436,0.150906,31600
1983-09-30,0.000000,0.673068,0.643804,0.643804,0.147552,41400
1983-10-03,0.000000,0.658436,0.629172,0.629172,0.144199,48600
1983-10-04,0.000000,0.643804,0.614540,0.614540,0.140845,40600
1983-10-05,0.000000,0.643804,0.614540,0.614540,0.140845,27100
1983-10-06,0.000000,0.643804,0.614540,0.614540,0.140845,40600
1983-10-07,0.000000,0.658436,0.629172,0.629172,0.144199,106600
1983-10-10,0.000000,0.658436,0.629172,0.629172,0.144199,9400
1983-10-11,0.000000,0.673068,0.643804,0.643804,0.147552,43800
1983-10-12,0.000000,0.658436,0.643804,0.643804,0.147552,14100
1983-10-13,0.000000,0.658436,0.629172,0.629172,0.144199,21100
1983-10-14,0.000000,0.643804,0.629172,0.629172,0.144199,27100
1983-10-17,0.000000,0.643804,0.629172,0.629172,0.144199,4200
1983-10-18,0.000000,0.629172,0.599909,0.599909,0.137492,58900
1983-10-19,0.000000,0.614540,0.585277,0.585277,0.134138,40600
1983-10-20,0.000000,0.599909,0.585277,0.585277,0.134138,50500
1983-10-21,0.000000,0.599909,0.570645,0.570645,0.130785,120300
1983-10-24,0.000000,0.585277,0.556013,0.556013,0.127431,34600
1983-10-25,0.000000,0.585277,0.556013,0.556013,0.127431,27600
1983-10-26,0.000000,0.585277,0.556013,0.556013,0.127431,20200
1983-10-27,0.000000,0.585277,0.556013,0.556013,0.127431,6300
1983-10-28,0.000000,0.585277,0.556013,0.556013,0.127431,20200
1983-10-31,0.000000,0.585277,0.556013,0.556013,0.127431,18100
1983-11-01,0.000000,0.570645,0.541381,0.541381,0.124078,27600
1983-11-02,0.000000,0.570645,0.541381,0.541381,0.124078,20200
1983-11-03,0.000000,0.570645,0.541381,0.541381,0.124078,7300
1983-11-04,0.000000,0.570645,0.541381,0.541381,0.124078,54600
1983-11-07,0.000000,0.570645,0.541381,0.541381,0.124078,47400
1983-11-08,0.000000,0.556013,0.526749,0.526749,0.120725,54600
1983-11-09,0.000000,0.556013,0.526749,0.526749,0.120725,34600
1983-11-10,0.000000,0.556013,0.526749,0.526749,0.120725,100
1983-11-11,0.000000,0.570645,0.541381,0.541381,0.124078,27600
1983-11-14,0.000000,0.570645,0.541381,0.541381,0.124078,41400
1983-11-15,0.000000,0.585277,0.556013,0.556013,0.127431,58900
1983-11-16,0.000000,0.585277,0.556013,0.556013,0.127431,136900
1983-11-17,0.000000,0.585277,0.556013,0.556013,0.127431,154800
1983-11-18,0.000000,0.585277,0.570645,0.570645,0.130785,269200
1983-11-21,0.000000,0.614540,0.599909,0.599909,0.137492,197700
1983-11-22,0.000000,0.658436,0.629172,0.629172,0.144199,150000
1983-11-23,0.000000,0.673068,0.658436,0.658436,0.150906,82300
1983-11-25,0.000000,0.673068,0.643804,0.643804,0.147552,13500
1983-11-28,0.000000,0.658436,0.629172,0.629172,0.144199,88300
1983-11-29,0.000000,0.658436,0.629172,0.629172,0.144199,20200
1983-11-30,0.000000,0.658436,0.629172,0.629172,0.144199,13500
1983-12-01,0.000000,0.643804,0.614540,0.614540,0.140845,57600
1983-12-02,0.000000,0.629172,0.599909,0.599909,0.137492,130500
1983-12-05,0.000000,0.629172,0.599909,0.599909,0.137492,24400
1983-12-06,0.000000,0.629172,0.599909,0.599909,0.137492,20200
1983-12-07,0.000000,0.629172,0.599909,0.599909,0.137492,9400
1983-12-08,0.000000,0.629172,0.599909,0.599909,0.137492,27100
1983-12-09,0.000000,0.599909,0.585277,0.585277,0.134138,43800
1983-12-12,0.000000,0.599909,0.570645,0.570645,0.130785,36600
1983-12-13,0.000000,0.599909,0.570645,0.570645,0.130785,48600
1983-12-14,0.000000,0.585277,0.570645,0.570645,0.130785,68800
1983-12-15,0.000000,0.585277,0.556013,0.556013,0.127431,27600
1983-12-16,0.000000,0.585277,0.556013,0.556013,0.127431,9400
1983-12-19,0.000000,0.585277,0.570645,0.570645,0.130785,57600
1983-12-20,0.000000,0.585277,0.570645,0.570645,0.130785,127500
1983-12-21,0.000000,0.585277,0.556013,0.556013,0.127431,68100
1983-12-22,0.000000,0.570645,0.556013,0.556013,0.127431,156700
1983-12-23,0.000000,0.570645,0.556013,0.556013,0.127431,64000
1983-12-27,0.000000,0.556013,0.541381,0.541381,0.124078,74800
1983-12-28,0.000000,0.556013,0.541381,0.541381,0.124078,170200
1983-12-29,0.000000,0.556013,0.541381,0.541381,0.124078,89200
1983-12-30,0.000000,0.556013,0.541381,0.541381,0.124078,249000
1984-01-03,0.000000,0.570645,0.541381,0.541381,0.124078,109300
1984-01-04,0.000000,0.570645,0.556013,0.556013,0.127431,45400
1984-01-05,0.000000,0.585277,0.556013,0.556013,0.127431,161200
1984-01-06,0.000000,0.585277,0.556013,0.556013,0.127431,118800
1984-01-09,0.000000,0.599909,0.570645,0.570645,0.130785,125700
1984-01-10,0.000000,0.599909,0.570645,0.570645,0.130785,31600
1984-01-11,0.000000,0.614540,0.585277,0.585277,0.134138,51900
1984-01-12,0.000000,0.599909,0.570645,0.570645,0.130785,34600
1984-01-13,0.000000,0.629172,0.599909,0.599909,0.137492,122800
1984-01-16,0.000000,0.629172,0.599909,0.599909,0.137492,2800
1984-01-17,0.000000,0.629172,0.599909,0.599909,0.137492,23100
1984-01-18,0.000000,0.629172,0.599909,0.599909,0.137492,23100
1984-01-19,0.000000,0.614540,0.585277,0.585277,0.134138,57600
1984-01-20,0.000000,0.614540,0.585277,0.585277,0.134138,23100
1984-01-23,0.000000,0.599909,0.570645,0.570645,0.130785,10900
1984-01-24,0.000000,0.585277,0.570645,0.570645,0.130785,16300
1984-01-25,0.000000,0.585277,0.556013,0.556013,0.127431,41400
1984-01-26,0.000000,0.585277,0.570645,0.570645,0.130785,38400
1984-01-27,0.000000,0.585277,0.570645,0.570645,0.130785,10900
1984-01-30,0.000000,0.599909,0.570645,0.570645,0.130785,7300
1984-01-31,0.000000,0.585277,0.556013,0.556013,0.127431,2800
1984-02-01,0.000000,0.599909,0.570645,0.570645,0.130785,58900
1984-02-02,0.000000,0.599909,0.570645,0.570645,0.130785,10900
1984-02-03,0.000000,0.585277,0.556013,0.556013,0.127431,10900
1984-02-06,0.000000,0.585277,0.541381,0.541381,0.124078,60900
1984-02-07,0.000000,0.570645,0.541381,0.541381,0.124078,7300
1984-02-08,0.000000,0.556013,0.526749,0.526749,0.120725,36600
1984-02-09,0.000000,0.541381,0.519433,0.519433,0.119048,62100
1984-02-10,0.000000,0.541381,0.519433,0.519433,0.119048,60900
1984-02-13,0.000000,0.541381,0.519433,0.519433,0.119048,2800
1984-02-14,0.000000,0.541381,0.519433,0.519433,0.119048,24400
1984-02-15,0.000000,0.541381,0.512117,0.512117,0.117371,9400
1984-02-16,0.000000,0.512117,0.497485,0.497485,0.114018,43800
1984-02-17,0.000000,0.512117,0.482853,0.482853,0.110664,40600
1984-02-21,0.000000,0.512117,0.468221,0.468221,0.107311,50500
1984-02-22,0.000000,0.497485,0.475537,0.475537,0.108987,27600
1984-02-23,0.000000,0.497485,0.468221,0.468221,0.107311,31600
1984-02-24,0.000000,0.497485,0.468221,0.468221,0.107311,6300
1984-02-27,0.000000,0.526749,0.497485,0.497485,0.114018,129600
1984-02-28,0.000000,0.541381,0.497485,0.497485,0.114018,13500
1984-02-29,0.000000,0.526749,0.497485,0.497485,0.114018,20200
1984-03-01,0.000000,0.526749,0.497485,0.497485,0.114018,7300
1984-03-02,0.000000,0.526749,0.497485,0.497485,0.114018,18100
1984-03-05,0.000000,0.526749,0.497485,0.497485,0.114018,2800
