Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,2.197726,2.237059,2.197726,2.237059,0.807972,1352500
1980-12-15,2.237059,2.276392,2.227226,2.227226,0.804421,1090600
1980-12-16,2.227226,2.291142,2.202643,2.241976,0.809748,1655100
1980-12-17,2.241976,2.281309,2.237059,2.281309,0.823954,1200000
1980-12-18,2.300976,2.364892,2.300976,2.320642,0.838160,2229600
1980-12-19,2.320642,2.340308,2.300976,2.305892,0.832833,3198300
1980-12-22,2.310809,2.345225,2.310809,2.320642,0.838160,1690600
1980-12-23,2.320642,2.345225,2.291142,2.291142,0.827505,2222000
1980-12-24,2.291142,2.300976,2.276392,2.296059,0.829281,531300
1980-12-26,2.296059,2.330475,2.286226,2.315725,0.836384,355900
1980-12-29,2.320642,2.350142,2.320642,2.330475,0.841711,2115200
1980-12-30,2.335392,2.374725,2.335392,2.374725,0.857693,2089800
1980-12-31,2.374725,2.399308,2.364892,2.399308,0.866572,2339000
1981-01-02,2.399308,2.414057,2.384558,2.414057,0.871900,1545700
1981-01-05,2.428807,2.497640,2.428807,2.477973,0.894984,5471200
1981-01-06,2.512390,2.586139,2.512390,2.556639,0.923397,7459400
1981-01-07,2.453391,2.453391,2.409141,2.453391,0.886106,9943300
1981-01-08,2.453391,2.453391,2.379641,2.399308,0.866572,4980500
1981-01-09,2.399308,2.414057,2.340308,2.359975,0.852366,6503400
1981-01-12,2.359975,2.394391,2.310809,2.355058,0.850591,7479700
1981-01-13,2.310809,2.310809,2.261642,2.286226,0.825730,2519500
1981-01-14,2.286226,2.300976,2.241976,2.241976,0.809748,1876200
1981-01-15,2.246893,2.296059,2.246893,2.291142,0.827505,2743200
1981-01-16,2.291142,2.300976,2.256726,2.296059,0.829281,1858400
1981-01-19,2.296059,2.320642,2.281309,2.300976,0.831057,1863500
1981-01-20,2.300976,2.320642,2.261642,2.261642,0.816851,3055900
1981-01-21,2.261642,2.281309,2.246893,2.261642,0.816851,1863500
1981-01-22,2.256726,2.256726,2.173143,2.192810,0.791990,4400800
1981-01-23,2.187893,2.187893,2.138727,2.168227,0.783111,1693200
1981-01-26,2.168227,2.178060,2.123977,2.168227,0.783111,1927100
1981-01-27,2.168227,2.192810,2.163310,2.192810,0.791990,1055000
1981-01-28,2.192810,2.192810,2.153477,2.153477,0.777784,1375400
1981-01-29,2.153477,2.173143,2.133811,2.163310,0.781336,1942300
1981-01-30,2.173143,2.202643,2.173143,2.173143,0.784887,1205000
1981-02-02,2.173143,2.173143,2.119061,2.123977,0.767130,1105900
1981-02-03,2.123977,2.173143,2.119061,2.173143,0.784887,2125400
1981-02-04,2.182977,2.217393,2.182977,2.212476,0.799093,4205100
1981-02-05,2.212476,2.241976,2.182977,2.241976,0.809748,2855100
1981-02-06,2.246893,2.276392,2.246893,2.251809,0.813299,1578800
1981-02-09,2.251809,2.261642,2.222310,2.237059,0.807972,719400
1981-02-10,2.237059,2.237059,2.217393,2.227226,0.804421,1347400
1981-02-11,2.227226,2.227226,2.187893,2.187893,0.790214,1034700
1981-02-12,2.173143,2.173143,2.104311,2.119061,0.765354,3167800
1981-02-13,2.104311,2.104311,2.055145,2.069895,0.756016,1261000
1981-02-17,2.074811,2.099394,2.074811,2.084644,0.761403,2415200
1981-02-18,2.064978,2.064978,2.050228,2.064978,0.754220,2054200
1981-02-19,2.064978,2.084644,2.055145,2.064978,0.754220,1911800
1981-02-20,2.064978,2.104311,2.060061,2.094478,0.764995,1227900
1981-02-23,2.094478,2.094478,2.055145,2.055145,0.750628,1050000
1981-02-24,2.055145,2.060061,2.040395,2.040395,0.745241,826200
1981-02-25,2.040395,2.045311,2.001062,2.040395,0.745241,1227900
1981-02-26,2.055145,2.143644,2.055145,2.143644,0.782953,1494900
1981-02-27,2.153477,2.212476,2.153477,2.197726,0.802706,1700800
1981-03-02,2.202643,2.241976,2.202643,2.202643,0.804502,2745700
1981-03-03,2.192810,2.192810,2.133811,2.133811,0.779361,1052500
1981-03-04,2.133811,2.138727,2.109227,2.109227,0.770382,2537300
1981-03-05,2.109227,2.114144,2.104311,2.114144,0.772178,13619600
1981-03-06,2.114144,2.133811,2.109227,2.114144,0.772178,3544100
1981-03-09,2.109227,2.163310,2.109227,2.153477,0.786544,6422100
1981-03-10,2.153477,2.168227,2.143644,2.148561,0.784748,8272900
1981-03-11,2.153477,2.202643,2.153477,2.187893,0.799114,2519500
1981-03-12,2.192810,2.232143,2.192810,2.222310,0.811685,4266100
1981-03-13,2.222310,2.246893,2.173143,2.182977,0.797318,4116100
1981-03-16,2.182977,2.212476,2.143644,2.212476,0.808093,2244900
1981-03-17,2.212476,2.217393,2.128894,2.138727,0.781156,2628800
1981-03-18,2.143644,2.178060,2.143644,2.168227,0.791931,4477100
1981-03-19,2.168227,2.192810,2.158394,2.168227,0.791931,2961800
1981-03-20,2.168227,2.222310,2.163310,2.197726,0.802706,2356800
1981-03-23,2.197726,2.237059,2.192810,2.232143,0.815276,3452500
1981-03-24,2.232143,2.241976,2.178060,2.178060,0.795522,2913500
1981-03-25,2.178060,2.232143,2.173143,2.232143,0.815276,2201700
1981-03-26,2.232143,2.237059,2.192810,2.202643,0.804502,1225400
1981-03-27,2.202643,2.212476,2.182977,2.192810,0.800909,2033900
1981-03-30,2.192810,2.222310,2.192810,2.202643,0.804502,4492400
1981-03-31,2.202643,2.217393,2.197726,2.212476,0.808093,4433900
1981-04-01,2.217393,2.241976,2.217393,2.232143,0.815276,2468600
1981-04-02,2.232143,2.246893,2.227226,2.241976,0.818867,2636400
1981-04-03,2.241976,2.261642,2.237059,2.237059,0.817071,2072000
1981-04-06,2.237059,2.241976,2.222310,2.232143,0.815276,1372800
1981-04-07,2.232143,2.251809,2.217393,2.232143,0.815276,3371200
1981-04-08,2.232143,2.241976,2.227226,2.237059,0.817071,1337300
1981-04-09,2.237059,2.237059,2.202643,2.217393,0.809888,3711900
1981-04-10,2.212476,2.212476,2.187893,2.202643,0.804502,1596600
1981-04-13,2.202643,2.212476,2.178060,2.187893,0.799114,2158400
1981-04-14,2.187893,2.217393,2.168227,2.197726,0.802706,2664400
