Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,1.089844,1.074219,1.078125,0.373109,512000
1980-12-15,0.000000,1.078125,1.066406,1.074219,0.371757,179200
1980-12-16,0.000000,1.070313,1.066406,1.066406,0.369053,38400
1980-12-17,0.000000,1.070313,1.062500,1.070313,0.370405,147200
1980-12-18,0.000000,1.093750,1.070313,1.089844,0.377164,736000
1980-12-19,0.000000,1.093750,1.078125,1.093750,0.378516,140800
1980-12-22,0.000000,1.109375,1.097656,1.105469,0.382572,70400
1980-12-23,0.000000,1.117188,1.105469,1.117188,0.386627,54400
1980-12-24,0.000000,1.121094,1.113281,1.113281,0.385275,105600
1980-12-26,0.000000,1.113281,1.109375,1.109375,0.383924,115200
1980-12-29,0.000000,1.117188,1.105469,1.113281,0.385275,48000
1980-12-30,0.000000,1.117188,1.105469,1.105469,0.382572,38400
1980-12-31,0.000000,1.117188,1.101563,1.109375,0.383924,76800
1981-01-02,0.000000,1.113281,1.097656,1.113281,0.385275,64000
1981-01-05,0.000000,1.156250,1.125000,1.152344,0.398794,265600
1981-01-06,0.000000,1.167969,1.152344,1.152344,0.398794,342400
1981-01-07,0.000000,1.144531,1.109375,1.125000,0.389331,547200
1981-01-08,0.000000,1.125000,1.101563,1.101563,0.381220,396800
1981-01-09,0.000000,1.105469,1.089844,1.089844,0.377164,249600
1981-01-12,0.000000,1.125000,1.101563,1.125000,0.389331,121600
1981-01-13,0.000000,1.132813,1.128906,1.132813,0.392035,80000
1981-01-14,0.000000,1.144531,1.136719,1.144531,0.396090,233600
1981-01-15,0.000000,1.183594,1.148438,1.175781,0.406905,716800
1981-01-16,0.000000,1.242188,1.183594,1.242188,0.429886,224000
1981-01-19,0.000000,1.246094,1.226563,1.234375,0.427182,166400
1981-01-20,0.000000,1.234375,1.207031,1.207031,0.417720,284800
1981-01-21,0.000000,1.218750,1.195313,1.218750,0.421775,211200
1981-01-22,0.000000,1.226563,1.187500,1.187500,0.410960,278400
1981-01-23,0.000000,1.195313,1.187500,1.187500,0.410960,86400
1981-01-26,0.000000,1.195313,1.179688,1.183594,0.409609,473600
1981-01-27,0.000000,1.187500,1.167969,1.183594,0.409609,192000
1981-01-28,0.000000,1.199219,1.171875,1.195313,0.413664,249600
1981-01-29,0.000000,1.226563,1.195313,1.218750,0.421775,147200
1981-01-30,0.000000,1.234375,1.218750,1.234375,0.427182,67200
1981-02-02,0.000000,1.230469,1.199219,1.207031,0.417720,800000
1981-02-03,0.000000,1.222656,1.199219,1.222656,0.423127,108800
1981-02-04,0.000000,1.273438,1.230469,1.261719,0.436646,585600
1981-02-05,0.000000,1.304688,1.273438,1.300781,0.450164,537600
1981-02-06,0.000000,1.320313,1.304688,1.312500,0.454220,521600
1981-02-09,0.000000,1.367188,1.324219,1.347656,0.466386,582400
1981-02-10,0.000000,1.335938,1.312500,1.312500,0.454220,828800
1981-02-11,0.000000,1.300781,1.281250,1.285156,0.444756,297600
1981-02-12,0.000000,1.281250,1.269531,1.273438,0.440701,198400
1981-02-13,0.000000,1.281250,1.261719,1.261719,0.436646,102400
1981-02-17,0.000000,1.269531,1.253906,1.269531,0.439349,214400
1981-02-18,0.000000,1.304688,1.265625,1.304688,0.451516,182400
1981-02-19,0.000000,1.339844,1.304688,1.320313,0.456923,966400
1981-02-20,0.000000,1.328125,1.296875,1.304688,0.451516,620800
1981-02-23,0.000000,1.328125,1.312500,1.328125,0.459627,323200
