Date,Open,High,Low,Close,Adj Close,Volume
1992-06-01,1.812500,2.062500,1.812500,2.062500,1.668838,3012000
1992-06-02,2.062500,2.125000,2.000000,2.093750,1.694124,1220800
1992-06-03,2.125000,2.437500,2.062500,2.437500,1.972263,1423200
1992-06-04,2.562500,2.562500,2.375000,2.437500,1.972263,883200
1992-06-05,2.437500,2.437500,2.125000,2.312500,1.871122,413600
1992-06-08,2.312500,2.312500,2.187500,2.312500,1.871122,307200
1992-06-09,2.312500,2.312500,1.937500,2.000000,1.618267,175200
1992-06-10,2.000000,2.187500,2.000000,2.187500,1.769979,70400
1992-06-11,2.187500,2.187500,2.062500,2.187500,1.769979,120800
1992-06-12,2.250000,2.312500,2.187500,2.312500,1.871122,151600
1992-06-15,2.312500,2.375000,2.250000,2.375000,1.921692,238800
1992-06-16,2.375000,2.375000,2.218750,2.312500,1.871122,165200
1992-06-17,2.125000,2.250000,1.937500,2.000000,1.618267,322800
1992-06-18,2.062500,2.125000,1.937500,1.968750,1.592982,112000
1992-06-19,2.062500,2.125000,2.062500,2.125000,1.719409,26800
1992-06-22,2.125000,2.125000,1.937500,2.000000,1.618267,94800
1992-06-23,2.125000,2.125000,2.062500,2.125000,1.719409,63200
1992-06-24,2.125000,2.125000,2.000000,2.000000,1.618267,549600
1992-06-25,2.187500,2.187500,2.062500,2.125000,1.719409,110800
1992-06-26,2.187500,2.187500,2.062500,2.187500,1.769979,20000
1992-06-29,2.187500,2.312500,2.125000,2.312500,1.871122,59600
1992-06-30,2.312500,2.312500,2.218750,2.312500,1.871122,26800
1992-07-01,2.312500,2.437500,2.250000,2.312500,1.871122,644800
1992-07-02,2.437500,2.437500,1.968750,2.062500,1.668838,1184400
1992-07-06,2.125000,2.125000,2.000000,2.125000,1.719409,66400
1992-07-07,2.125000,2.125000,1.937500,1.937500,1.567696,70000
1992-07-08,2.000000,2.000000,1.875000,2.000000,1.618267,523200
1992-07-09,2.062500,2.062500,2.000000,2.062500,1.668838,15600
1992-07-10,2.062500,2.187500,2.062500,2.187500,1.769979,27200
1992-07-13,2.187500,2.187500,2.125000,2.187500,1.769979,42000
1992-07-14,2.125000,2.187500,2.062500,2.187500,1.769979,122000
1992-07-15,2.187500,2.375000,2.125000,2.187500,1.769979,91200
1992-07-16,2.375000,2.375000,2.187500,2.187500,1.769979,23600
1992-07-17,2.187500,2.375000,2.187500,2.312500,1.871122,44000
1992-07-20,2.250000,2.312500,2.187500,2.312500,1.871122,47200
1992-07-21,2.375000,2.500000,2.250000,2.437500,1.972263,382800
1992-07-22,2.437500,2.437500,2.250000,2.250000,1.820550,113200
1992-07-23,2.187500,2.312500,2.187500,2.218750,1.795265,56400
1992-07-24,2.250000,2.250000,2.125000,2.250000,1.820550,82000
1992-07-27,2.250000,2.312500,2.187500,2.187500,1.769979,38800
1992-07-28,2.250000,2.437500,2.250000,2.437500,1.972263,144000
1992-07-29,2.437500,2.562500,2.312500,2.500000,2.022833,251200
1992-07-30,2.562500,2.625000,2.375000,2.562500,2.073404,152000
1992-07-31,2.625000,2.625000,2.500000,2.562500,2.073404,216800
1992-08-03,2.562500,2.625000,2.500000,2.625000,2.123976,206400
1992-08-04,2.500000,2.625000,2.500000,2.500000,2.022833,29600
1992-08-05,2.500000,2.750000,2.500000,2.687500,2.174546,188000
1992-08-06,2.687500,2.687500,2.625000,2.625000,2.123976,86000
1992-08-07,2.687500,2.750000,2.562500,2.656250,2.149261,72400
1992-08-10,2.687500,2.687500,2.687500,2.687500,2.174546,10400
1992-08-11,2.687500,2.750000,2.562500,2.625000,2.123976,67600
1992-08-12,2.687500,2.687500,2.562500,2.562500,2.073404,65200
1992-08-13,2.562500,2.625000,2.562500,2.625000,2.123976,36400
1992-08-14,2.625000,2.625000,2.562500,2.562500,2.073404,6400
1992-08-17,2.625000,2.687500,2.562500,2.687500,2.174546,48400
1992-08-18,2.687500,2.750000,2.625000,2.750000,2.225117,44800
1992-08-19,2.750000,2.750000,2.625000,2.750000,2.225117,198800
1992-08-20,2.812500,2.812500,2.687500,2.687500,2.174546,78800
1992-08-21,2.750000,2.750000,2.500000,2.625000,2.123976,215600
1992-08-24,2.562500,2.562500,2.500000,2.562500,2.073404,26400
1992-08-25,2.562500,2.625000,2.531250,2.625000,2.123976,46800
1992-08-26,2.625000,2.625000,2.375000,2.500000,2.022833,207200
1992-08-27,2.562500,2.687500,2.500000,2.625000,2.123976,242800
1992-08-28,2.687500,2.812500,2.562500,2.812500,2.275688,282800
1992-08-31,2.812500,2.875000,2.750000,2.812500,2.275688,62800
1992-09-01,2.812500,2.875000,2.750000,2.875000,2.326260,192800
