Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,0.306641,0.300781,0.300781,0.030519,51200
1980-12-15,0.000000,0.304688,0.300781,0.300781,0.030519,256000
1980-12-16,0.000000,0.304688,0.300781,0.300781,0.030519,25600
1980-12-17,0.000000,0.306641,0.304688,0.304688,0.030915,704000
1980-12-18,0.000000,0.326172,0.322266,0.322266,0.032699,896000
1980-12-19,0.000000,0.324219,0.322266,0.322266,0.032699,76800
1980-12-22,0.000000,0.328125,0.322266,0.322266,0.032699,332800
1980-12-23,0.000000,0.326172,0.322266,0.322266,0.032699,422400
1980-12-24,0.000000,0.324219,0.322266,0.322266,0.032699,768000
1980-12-26,0.000000,0.326172,0.324219,0.324219,0.032897,422400
1980-12-29,0.000000,0.326172,0.324219,0.324219,0.032897,1292800
1980-12-30,0.000000,0.326172,0.322266,0.322266,0.032699,294400
1980-12-31,0.000000,0.324219,0.322266,0.322266,0.032699,384000
1981-01-02,0.000000,0.324219,0.322266,0.322266,0.032699,102400
1981-01-05,0.000000,0.324219,0.322266,0.322266,0.032699,588800
1981-01-06,0.000000,0.335938,0.332031,0.332031,0.033690,806400
1981-01-07,0.000000,0.333984,0.330078,0.330078,0.033491,294400
1981-01-08,0.000000,0.335938,0.332031,0.332031,0.033690,115200
1981-01-09,0.000000,0.335938,0.332031,0.332031,0.033690,179200
1981-01-12,0.000000,0.337891,0.333984,0.333984,0.033888,268800
1981-01-13,0.000000,0.332031,0.328125,0.328125,0.033293,768000
1981-01-14,0.000000,0.333984,0.330078,0.330078,0.033491,64000
1981-01-15,0.000000,0.335938,0.333984,0.333984,0.033888,652800
1981-01-16,0.000000,0.337891,0.333984,0.333984,0.033888,755200
1981-01-19,0.000000,0.337891,0.333984,0.333984,0.033888,998400
1981-01-20,0.000000,0.335938,0.332031,0.332031,0.033690,806400
1981-01-21,0.000000,0.333984,0.330078,0.330078,0.033491,38400
1981-01-22,0.000000,0.333984,0.330078,0.330078,0.033491,128000
1981-01-23,0.000000,0.335938,0.330078,0.330078,0.033491,268800
1981-01-26,0.000000,0.332031,0.326172,0.326172,0.033095,1254400
1981-01-27,0.000000,0.322266,0.320313,0.320313,0.032501,499200
1981-01-28,0.000000,0.324219,0.320313,0.320313,0.032501,25600
1981-01-29,0.000000,0.324219,0.320313,0.320313,0.032501,268800
1981-01-30,0.000000,0.322266,0.320313,0.320313,0.032501,281600
1981-02-02,0.000000,0.324219,0.320313,0.320313,0.032501,985600
1981-02-03,0.000000,0.322266,0.320313,0.320313,0.032501,486400
1981-02-04,0.000000,0.322266,0.320313,0.320313,0.032501,12800
1981-02-05,0.320313,0.320313,0.320313,0.320313,0.032501,0
1981-02-06,0.000000,0.322266,0.320313,0.320313,0.032501,448000
1981-02-09,0.000000,0.322266,0.320313,0.320313,0.032501,832000
1981-02-10,0.000000,0.318359,0.316406,0.316406,0.032104,499200
1981-02-11,0.000000,0.322266,0.318359,0.318359,0.032302,396800
1981-02-12,0.000000,0.326172,0.322266,0.322266,0.032699,998400
1981-02-13,0.000000,0.324219,0.322266,0.322266,0.032699,499200
1981-02-17,0.000000,0.324219,0.322266,0.322266,0.032699,76800
1981-02-18,0.000000,0.324219,0.322266,0.322266,0.032699,1497600
1981-02-19,0.000000,0.324219,0.322266,0.322266,0.032699,435200
1981-02-20,0.000000,0.322266,0.318359,0.318359,0.032302,396800
1981-02-23,0.000000,0.322266,0.320313,0.320313,0.032501,76800
1981-02-24,0.000000,0.320313,0.318359,0.318359,0.032302,320000
1981-02-25,0.000000,0.320313,0.318359,0.318359,0.032302,153600
1981-02-26,0.000000,0.322266,0.318359,0.318359,0.032302,448000
1981-02-27,0.000000,0.320313,0.318359,0.318359,0.032302,217600
1981-03-02,0.000000,0.322266,0.318359,0.318359,0.032302,102400
1981-03-03,0.000000,0.322266,0.318359,0.318359,0.032302,204800
1981-03-04,0.000000,0.322266,0.318359,0.318359,0.032302,780800
1981-03-05,0.000000,0.322266,0.318359,0.318359,0.032302,179200
1981-03-06,0.000000,0.322266,0.318359,0.318359,0.032302,25600
1981-03-09,0.000000,0.322266,0.318359,0.318359,0.032302,51200
1981-03-10,0.000000,0.316406,0.312500,0.312500,0.031708,396800
1981-03-11,0.000000,0.317383,0.314453,0.314453,0.031906,550400
1981-03-12,0.000000,0.318359,0.314453,0.314453,0.031906,128000
1981-03-13,0.000000,0.324219,0.320313,0.320313,0.032501,1932800
1981-03-16,0.320313,0.320313,0.320313,0.320313,0.032501,0
1981-03-17,0.000000,0.324219,0.320313,0.320313,0.032501,12800
1981-03-18,0.000000,0.320313,0.318359,0.318359,0.032302,908800
1981-03-19,0.000000,0.324219,0.320313,0.320313,0.032501,780800
1981-03-20,0.000000,0.324219,0.320313,0.320313,0.032501,332800
1981-03-23,0.000000,0.326172,0.324219,0.324219,0.032897,768000
1981-03-24,0.000000,0.326172,0.322266,0.322266,0.032699,640000
1981-03-25,0.000000,0.328125,0.324219,0.324219,0.032897,307200
1981-03-26,0.000000,0.328125,0.324219,0.324219,0.032897,652800
1981-03-27,0.000000,0.326172,0.324219,0.324219,0.032897,192000
1981-03-30,0.000000,0.326172,0.324219,0.324219,0.032897,38400
1981-03-31,0.000000,0.324219,0.322266,0.322266,0.032699,358400
1981-04-01,0.000000,0.326172,0.322266,0.322266,0.032699,537600
1981-04-02,0.000000,0.328125,0.324219,0.324219,0.032897,5196800
1981-04-03,0.000000,0.339844,0.335938,0.335938,0.034086,8140800
1981-04-06,0.000000,0.343750,0.339844,0.339844,0.034482,2931200
1981-04-07,0.000000,0.361328,0.359375,0.359375,0.036464,1702400
1981-04-08,0.000000,0.361328,0.357422,0.357422,0.036266,2611200
1981-04-09,0.000000,0.361328,0.357422,0.357422,0.036266,243200
1981-04-10,0.000000,0.365234,0.363281,0.363281,0.036860,857600
1981-04-13,0.000000,0.363281,0.359375,0.359375,0.036464,3763200
1981-04-14,0.000000,0.363281,0.359375,0.359375,0.036464,153600
1981-04-15,0.000000,0.363281,0.359375,0.359375,0.036464,25600
1981-04-16,0.000000,0.365234,0.363281,0.363281,0.036860,294400
1981-04-20,0.000000,0.365234,0.363281,0.363281,0.036860,115200
1981-04-21,0.000000,0.365234,0.363281,0.363281,0.036860,102400
1981-04-22,0.000000,0.365234,0.361328,0.361328,0.036662,1100800
1981-04-23,0.000000,0.365234,0.361328,0.361328,0.036662,422400
1981-04-24,0.000000,0.365234,0.363281,0.363281,0.036860,524800
1981-04-27,0.000000,0.369141,0.363281,0.363281,0.036860,281600
1981-04-28,0.000000,0.367188,0.365234,0.365234,0.037059,819200
1981-04-29,0.000000,0.367188,0.363281,0.363281,0.036860,11801600
1981-04-30,0.000000,0.367188,0.361328,0.361328,0.036662,76800
1981-05-01,0.000000,0.363281,0.361328,0.361328,0.036662,358400
1981-05-04,0.000000,0.359375,0.355469,0.355469,0.036068,3264000
1981-05-05,0.000000,0.351563,0.347656,0.347656,0.035275,601600
1981-05-06,0.000000,0.355469,0.353516,0.353516,0.035870,1075200
1981-05-07,0.000000,0.355469,0.353516,0.353516,0.035870,256000
1981-05-08,0.000000,0.355469,0.353516,0.353516,0.035870,307200
1981-05-11,0.000000,0.355469,0.353516,0.353516,0.035870,1305600
1981-05-12,0.000000,0.355469,0.353516,0.353516,0.035870,435200
1981-05-13,0.000000,0.351563,0.347656,0.347656,0.035275,1113600
1981-05-14,0.000000,0.355469,0.351563,0.351563,0.035671,3264000
1981-05-15,0.000000,0.359375,0.355469,0.355469,0.036068,844800
1981-05-18,0.000000,0.363281,0.361328,0.361328,0.036662,768000
1981-05-19,0.000000,0.380859,0.376953,0.376953,0.038248,1548800
1981-05-20,0.000000,0.376953,0.375000,0.375000,0.038049,1920000
1981-05-21,0.000000,0.376953,0.375000,0.375000,0.038049,409600
1981-05-22,0.000000,0.373047,0.369141,0.369141,0.037455,1062400
1981-05-26,0.000000,0.373047,0.367188,0.367188,0.037257,832000
1981-05-27,0.000000,0.378906,0.376953,0.376953,0.038248,1536000
1981-05-28,0.000000,0.394531,0.392578,0.392578,0.039833,1574400
1981-05-29,0.000000,0.394531,0.390625,0.390625,0.039635,2444800
1981-06-01,0.000000,0.396484,0.392578,0.392578,0.039833,832000
1981-06-02,0.000000,0.384766,0.380859,0.380859,0.038644,934400
1981-06-03,0.000000,0.384766,0.380859,0.380859,0.038644,204800
1981-06-04,0.000000,0.388672,0.382813,0.382813,0.038842,985600
1981-06-05,0.000000,0.412109,0.410156,0.410156,0.041617,2944000
1981-06-08,0.000000,0.412109,0.410156,0.410156,0.041617,3430400
1981-06-09,0.000000,0.414063,0.412109,0.412109,0.041815,627200
1981-06-10,0.000000,0.421875,0.419922,0.419922,0.042607,832000
1981-06-11,0.000000,0.421875,0.417969,0.417969,0.042409,1728000
1981-06-12,0.000000,0.453125,0.451172,0.451172,0.045778,6054400
1981-06-15,0.000000,0.462891,0.458984,0.458984,0.046571,1958400
1981-06-16,0.000000,0.468750,0.466797,0.466797,0.047364,9804800
1981-06-17,0.000000,0.474609,0.472656,0.472656,0.047958,3097600
1981-06-18,0.000000,0.476563,0.474609,0.474609,0.048156,3852800
1981-06-19,0.000000,0.486328,0.480469,0.480469,0.048751,7667200
1981-06-22,0.000000,0.458984,0.457031,0.457031,0.046373,2035200
1981-06-23,0.000000,0.457031,0.455078,0.455078,0.046175,921600
1981-06-24,0.000000,0.455078,0.453125,0.453125,0.045976,1292800
1981-06-25,0.000000,0.451172,0.449219,0.449219,0.045580,1740800
1981-06-26,0.000000,0.457031,0.453125,0.453125,0.045976,704000
1981-06-29,0.000000,0.457031,0.453125,0.453125,0.045976,704000
1981-06-30,0.000000,0.457031,0.455078,0.455078,0.046175,1088000
1981-07-01,0.000000,0.457031,0.455078,0.455078,0.046175,1024000
1981-07-02,0.000000,0.457031,0.455078,0.455078,0.046175,832000
1981-07-06,0.000000,0.458984,0.457031,0.457031,0.046373,832000
1981-07-07,0.000000,0.462891,0.458984,0.458984,0.046571,1561600
1981-07-08,0.000000,0.460938,0.458984,0.458984,0.046571,998400
1981-07-09,0.000000,0.464844,0.462891,0.462891,0.046967,4505600
1981-07-10,0.000000,0.464844,0.462891,0.462891,0.046967,1420800
1981-07-13,0.000000,0.464844,0.462891,0.462891,0.046967,1113600
1981-07-14,0.000000,0.464844,0.462891,0.462891,0.046967,1600000
1981-07-15,0.000000,0.464844,0.462891,0.462891,0.046967,1830400
1981-07-16,0.000000,0.464844,0.462891,0.462891,0.046967,128000
1981-07-17,0.000000,0.464844,0.462891,0.462891,0.046967,1817600
1981-07-20,0.000000,0.462891,0.460938,0.460938,0.046769,3059200
1981-07-21,0.000000,0.460938,0.457031,0.457031,0.046373,844800
1981-07-22,0.000000,0.460938,0.457031,0.457031,0.046373,192000
1981-07-23,0.000000,0.462891,0.460938,0.460938,0.046769,1369600
1981-07-24,0.000000,0.464844,0.460938,0.460938,0.046769,51200
1981-07-27,0.000000,0.462891,0.460938,0.460938,0.046769,563200
1981-07-28,0.000000,0.462891,0.460938,0.460938,0.046769,25600
1981-07-29,0.000000,0.457031,0.453125,0.453125,0.045976,2035200
