Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,3.103387,3.118878,3.103387,3.118878,1.339284,527700
1980-12-15,3.139533,3.160188,3.139533,3.155024,1.354806,217800
1980-12-16,3.160188,3.211825,3.160188,3.201498,1.374763,277700
1980-12-17,3.201498,3.201498,3.077569,3.129206,1.343719,5409800
1980-12-18,3.134370,3.180843,3.134370,3.134370,1.345937,275800
1980-12-19,3.134370,3.139533,3.087896,3.103387,1.332633,614800
1980-12-22,3.062078,3.062078,2.979458,3.025932,1.299372,1186100
1980-12-23,3.025932,3.082732,3.020768,3.077569,1.321545,479200
1980-12-24,3.077569,3.098224,3.072405,3.098224,1.330415,273000
1980-12-26,3.103387,3.129206,3.103387,3.103387,1.332633,59900
1980-12-29,3.103387,3.113715,3.098224,3.098224,1.330415,59900
1980-12-30,3.098224,3.103387,3.082732,3.093060,1.328198,174200
1980-12-31,3.093060,3.108551,3.087896,3.093060,1.328198,208100
1981-01-02,3.093060,3.093060,3.072405,3.093060,1.328198,183900
1981-01-05,3.093060,3.206661,3.087896,3.180843,1.365893,1129900
1981-01-06,3.180843,3.237644,3.165352,3.165352,1.359241,242000
1981-01-07,3.165352,3.180843,3.108551,3.180843,1.365893,1655700
1981-01-08,3.180843,3.180843,3.108551,3.118878,1.339284,924500
1981-01-09,3.118878,3.118878,3.046587,3.118878,1.339284,6322900
1981-01-12,3.108551,3.108551,3.020768,3.025932,1.299372,1018500
1981-01-13,3.025932,3.025932,2.922657,2.974295,1.277199,455000
1981-01-14,2.974295,2.989786,2.948476,2.979458,1.279416,1250900
1981-01-15,2.979458,2.979458,2.953640,2.953640,1.268330,159700
1981-01-16,2.953640,2.994950,2.953640,2.963967,1.272764,367800
1981-01-19,2.979458,3.020768,2.979458,3.015604,1.294938,609900
1981-01-20,3.015604,3.020768,3.000113,3.000113,1.288285,188700
1981-01-21,2.989786,2.989786,2.963967,2.963967,1.272764,587600
1981-01-22,2.958804,2.958804,2.912330,2.922657,1.255025,98700
1981-01-23,2.922657,2.922657,2.896839,2.907166,1.248373,132600
1981-01-26,2.891675,2.891675,2.871021,2.871021,1.232852,479200
1981-01-27,2.876184,2.896839,2.876184,2.891675,1.241721,742500
1981-01-28,2.891675,2.902003,2.850366,2.850366,1.223982,1255800
1981-01-29,2.850366,2.891675,2.850366,2.886512,1.239503,614800
1981-01-30,2.886512,2.902003,2.871021,2.871021,1.232852,926500
1981-02-02,2.860693,2.860693,2.814220,2.819383,1.210678,1168600
1981-02-03,2.819383,2.860693,2.809056,2.855529,1.226199,1313800
1981-02-04,2.855529,2.871021,2.840038,2.871021,1.232852,629200
1981-02-05,2.865857,2.865857,2.840038,2.850366,1.223982,853900
1981-02-06,2.850366,2.881348,2.814220,2.881348,1.237287,423000
1981-02-09,2.891675,2.938149,2.891675,2.902003,1.246156,759900
1981-02-10,2.902003,2.912330,2.891675,2.902003,1.246156,808400
1981-02-11,2.907166,2.932985,2.907166,2.932985,1.259460,121000
1981-02-12,2.943312,2.958804,2.943312,2.943312,1.263895,113100
1981-02-13,2.943312,2.948476,2.927821,2.932985,1.259460,329200
1981-02-17,2.943312,2.969131,2.943312,2.963967,1.272764,815200
1981-02-18,2.969131,3.010441,2.969131,2.984622,1.281633,2306400
