Date,Open,High,Low,Close,Adj Close,Volume
1986-11-06,7.062500,7.156250,6.875000,7.000000,1.984215,17902800
1986-11-07,7.000000,7.000000,6.843750,6.968750,1.975357,6288000
1986-11-10,6.906250,6.906250,6.750000,6.781250,1.922210,3060000
1986-11-11,6.781250,6.875000,6.781250,6.875000,1.948784,1130000
1986-11-12,6.875000,6.937500,6.812500,6.875000,1.948784,2082800
1986-11-13,6.843750,6.843750,6.812500,6.812500,1.931066,891200
1986-11-14,6.812500,6.875000,6.781250,6.875000,1.948784,952000
1986-11-17,6.812500,6.843750,6.750000,6.750000,1.913350,1055200
1986-11-18,6.750000,6.781250,6.593750,6.625000,1.877917,2426400
1986-11-19,6.625000,6.625000,6.500000,6.531250,1.851342,2026000
1986-11-20,6.593750,6.656250,6.531250,6.625000,1.877917,3253600
1986-11-21,6.718750,6.718750,6.656250,6.718750,1.904493,639600
1986-11-24,6.687500,6.718750,6.656250,6.656250,1.886776,660000
1986-11-25,6.656250,6.718750,6.562500,6.687500,1.895634,1080000
1986-11-26,6.687500,6.750000,6.562500,6.687500,1.895634,963200
1986-11-28,6.687500,6.718750,6.656250,6.718750,1.904493,521600
1986-12-01,6.687500,6.750000,6.687500,6.750000,1.913350,662000
1986-12-02,6.750000,6.875000,6.750000,6.875000,1.948784,1161200
1986-12-03,6.875000,7.062500,6.875000,6.968750,1.975357,1210400
1986-12-04,6.968750,6.968750,6.875000,6.906250,1.957640,1446400
1986-12-05,6.875000,6.906250,6.843750,6.843750,1.939923,737600
1986-12-08,6.812500,6.843750,6.750000,6.750000,1.913350,703600
1986-12-09,6.750000,6.781250,6.750000,6.750000,1.913350,444800
1986-12-10,6.750000,6.781250,6.718750,6.718750,1.904493,902400
1986-12-11,6.750000,6.781250,6.593750,6.687500,1.895634,550400
1986-12-12,6.687500,6.750000,6.656250,6.750000,1.913350,356800
1986-12-15,6.718750,6.750000,6.656250,6.718750,1.904493,521200
1986-12-16,6.687500,6.718750,6.625000,6.656250,1.886776,835600
1986-12-17,6.656250,6.656250,6.625000,6.625000,1.877917,803600
1986-12-18,6.625000,6.656250,6.531250,6.593750,1.869060,1108000
1986-12-19,6.500000,6.625000,6.500000,6.625000,1.877917,556000
1986-12-22,6.562500,6.562500,6.500000,6.562500,1.860202,1456000
1986-12-23,6.531250,6.562500,6.500000,6.562500,1.860202,574000
1986-12-24,6.687500,6.687500,6.500000,6.531250,1.851342,322400
1986-12-26,6.500000,6.562500,6.500000,6.562500,1.860202,486000
1986-12-29,6.531250,6.531250,6.468750,6.531250,1.851342,693200
1986-12-30,6.531250,6.562500,6.437500,6.562500,1.860202,910000
1986-12-31,6.500000,6.718750,6.500000,6.718750,1.904493,841600
1987-01-02,6.687500,6.812500,6.625000,6.812500,1.931066,264800
1987-01-05,6.812500,6.968750,6.812500,6.937500,1.966499,668400
1987-01-06,6.875000,6.968750,6.843750,6.968750,1.975357,554400
1987-01-07,6.937500,7.156250,6.937500,7.156250,2.028506,748400
1987-01-08,7.125000,7.562500,7.093750,7.562500,2.143660,596800
1987-01-09,7.531250,7.750000,7.406250,7.625000,2.161377,759600
1987-01-12,7.562500,7.781250,7.562500,7.625000,2.161377,1196800
1987-01-13,7.562500,7.593750,7.343750,7.406250,2.099370,504800
1987-01-14,7.468750,7.593750,7.437500,7.500000,2.125945,611600
1987-01-15,7.468750,7.593750,7.468750,7.500000,2.125945,463200
1987-01-16,7.531250,7.656250,7.437500,7.625000,2.161377,412800
1987-01-19,7.562500,7.625000,7.500000,7.562500,2.143660,161600
1987-01-20,7.593750,7.625000,7.531250,7.593750,2.210991,642000
1987-01-21,7.562500,7.625000,7.531250,7.531250,2.192794,505200
1987-01-22,7.531250,7.531250,7.375000,7.437500,2.165498,618000
1987-01-23,7.468750,7.625000,7.437500,7.625000,2.220091,573200
1987-01-26,7.500000,7.500000,7.375000,7.375000,2.147300,594800
1987-01-27,7.312500,7.500000,7.281250,7.468750,2.174596,488400
1987-01-28,7.437500,7.531250,7.437500,7.437500,2.165498,462000
1987-01-29,7.406250,7.500000,7.375000,7.375000,2.147300,574000
1987-01-30,7.375000,7.468750,7.343750,7.375000,2.147300,265600
1987-02-02,7.500000,7.531250,7.343750,7.531250,2.192794,900000
1987-02-03,7.562500,7.625000,7.500000,7.531250,2.192794,1131600
1987-02-04,7.500000,7.500000,7.406250,7.468750,2.174596,498800
1987-02-05,7.343750,7.531250,7.312500,7.406250,2.156399,1638800
1987-02-06,7.437500,7.531250,7.406250,7.531250,2.192794,673600
1987-02-09,7.468750,7.562500,7.406250,7.500000,2.183696,487600
1987-02-10,7.468750,7.500000,7.437500,7.468750,2.174596,300800
1987-02-11,7.468750,7.531250,7.468750,7.500000,2.183696,228000
1987-02-12,7.531250,7.593750,7.500000,7.531250,2.192794,324800
1987-02-13,7.531250,7.750000,7.531250,7.750000,2.256485,402800
1987-02-17,7.750000,7.812500,7.500000,7.500000,2.183696,933200
1987-02-18,7.562500,7.562500,7.343750,7.375000,2.147300,702400
1987-02-19,7.312500,7.843750,7.093750,7.750000,2.256485,1086400
1987-02-20,7.750000,7.750000,7.187500,7.250000,2.110905,3002000
1987-02-23,7.156250,7.156250,7.000000,7.000000,2.038116,1918000
1987-02-24,7.031250,7.031250,6.937500,6.968750,2.029018,962400
1987-02-25,6.968750,7.000000,6.937500,7.000000,2.038116,559200
1987-02-26,7.031250,7.031250,6.906250,6.937500,2.019918,506800
1987-02-27,6.968750,7.000000,6.812500,6.906250,2.010819,1080400
1987-03-02,6.875000,6.937500,6.875000,6.937500,2.019918,962800
1987-03-03,6.875000,6.875000,6.750000,6.875000,2.001722,1147600
1987-03-04,6.875000,6.875000,6.781250,6.875000,2.001722,1585200
1987-03-05,6.843750,6.875000,6.750000,6.875000,2.001722,1385200
1987-03-06,6.875000,6.968750,6.843750,6.968750,2.029018,925600
1987-03-09,6.937500,6.937500,6.781250,6.875000,2.001722,308800
1987-03-10,6.875000,6.875000,6.812500,6.875000,2.001722,274800
1987-03-11,6.875000,6.875000,6.718750,6.750000,1.965325,606800
1987-03-12,6.750000,6.750000,6.531250,6.750000,1.965325,1380000
1987-03-13,6.687500,6.718750,6.500000,6.562500,1.910734,2095200
1987-03-16,6.500000,6.531250,6.375000,6.437500,1.874338,633200
1987-03-17,6.375000,6.406250,6.156250,6.250000,1.819747,5080000
1987-03-18,6.281250,6.281250,6.218750,6.250000,1.819747,1716000
1987-03-19,6.218750,6.250000,6.187500,6.218750,1.810647,1080800
1987-03-20,6.250000,6.281250,6.187500,6.187500,1.801549,2166000
1987-03-23,6.218750,6.406250,6.062500,6.343750,1.847042,1253200
1987-03-24,6.343750,6.343750,6.156250,6.156250,1.792450,989200
1987-03-25,6.187500,6.187500,5.968750,6.000000,1.746956,4800000
1987-03-26,6.062500,6.437500,6.062500,6.312500,1.837944,2068400
1987-03-27,6.375000,6.437500,6.312500,6.312500,1.837944,1125200
1987-03-30,6.125000,6.312500,6.125000,6.156250,1.792450,1591200
