Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,6.429825,6.692481,6.429825,6.618937,0.037743,1271600
1980-12-15,6.618937,6.681975,6.608431,6.639950,0.037863,767200
1980-12-16,6.639950,6.724000,6.608431,6.724000,0.038342,992000
1980-12-17,6.818556,6.934125,6.818556,6.913113,0.039421,1702400
1980-12-18,6.913113,7.144250,6.913113,6.955138,0.039660,2605200
1980-12-19,6.955138,6.965644,6.745012,6.766025,0.038582,1196800
1980-12-22,6.766025,6.776531,6.681975,6.724000,0.038342,1834400
1980-12-23,6.692481,6.692481,6.429825,6.429825,0.036665,868400
1980-12-24,6.450838,6.618937,6.450838,6.618937,0.037743,616000
1980-12-26,6.618937,6.702988,6.534887,6.702988,0.038222,385200
1980-12-29,6.702988,6.724000,6.513875,6.513875,0.037144,555600
1980-12-30,6.513875,6.660963,6.450838,6.639950,0.037863,1148000
1980-12-31,6.639950,6.639950,6.555900,6.618937,0.037743,779200
1981-01-02,6.618937,6.618937,6.419319,6.555900,0.037384,635200
1981-01-05,6.555900,6.576912,6.419319,6.513875,0.037144,1516800
1981-01-06,6.492863,6.492863,6.146156,6.303750,0.035946,1566800
1981-01-07,6.303750,6.303750,6.062106,6.188181,0.035287,2096000
1981-01-08,6.188181,6.240713,5.988563,5.988563,0.034149,1527600
1981-01-09,5.988563,6.030588,5.767931,5.946537,0.033909,1437200
1981-01-12,5.946537,6.177675,5.883500,5.967550,0.034029,3084800
1981-01-13,5.967550,6.062106,5.925525,6.051600,0.034508,1544000
1981-01-14,6.072612,6.303750,6.072612,6.219700,0.035467,1610800
1981-01-15,6.219700,6.408813,6.219700,6.387800,0.036425,987200
1981-01-16,6.471850,6.660963,6.471850,6.576912,0.037504,1921200
1981-01-19,6.513875,6.513875,6.387800,6.440331,0.036725,1019600
1981-01-20,6.440331,6.471850,6.240713,6.251219,0.035646,1622800
1981-01-21,6.167169,6.167169,6.020081,6.156662,0.035107,1732000
1981-01-22,6.156662,6.177675,6.051600,6.093625,0.034748,562400
1981-01-23,6.093625,6.093625,5.967550,6.009575,0.034268,752800
1981-01-26,5.988563,5.988563,5.662869,5.757425,0.032831,1525200
1981-01-27,5.757425,5.915019,5.757425,5.830969,0.033250,2000800
1981-01-28,5.830969,5.915019,5.809956,5.841475,0.033310,1507200
1981-01-29,5.841475,5.946537,5.736413,5.872994,0.033490,1140800
1981-01-30,5.872994,5.957044,5.841475,5.883500,0.033549,1476400
1981-02-02,5.862487,5.862487,5.683881,5.778438,0.032950,1231200
1981-02-03,5.778438,5.894006,5.694387,5.872994,0.033490,1027600
1981-02-04,5.872994,5.936031,5.830969,5.904512,0.033669,943200
1981-02-05,5.904512,5.967550,5.841475,5.862487,0.033430,476800
1981-02-06,5.862487,5.967550,5.809956,5.862487,0.033430,730400
1981-02-09,5.862487,5.862487,5.484262,5.494769,0.031333,1840400
1981-02-10,5.494769,5.578819,5.484262,5.526288,0.031513,2180800
1981-02-11,5.526288,5.536794,5.421225,5.442237,0.031033,929200
1981-02-12,5.442237,5.505275,5.421225,5.473756,0.031213,713600
1981-02-13,5.473756,5.484262,5.421225,5.463250,0.031153,1216800
1981-02-17,5.463250,5.505275,5.410719,5.505275,0.031393,820800
1981-02-18,5.526288,5.652362,5.526288,5.631350,0.032112,890800
1981-02-19,5.631350,5.631350,5.452744,5.494769,0.031333,669600
1981-02-20,5.494769,5.494769,5.431731,5.463250,0.031153,763600
1981-02-23,5.463250,5.494769,5.379200,5.473756,0.031213,937200
1981-02-24,5.473756,5.599831,5.463250,5.515781,0.031453,1070400
1981-02-25,5.515781,5.578819,5.389706,5.557806,0.031692,1012400
1981-02-26,5.589325,5.778438,5.589325,5.631350,0.032112,1110000
1981-02-27,5.631350,5.673375,5.557806,5.673375,0.032351,928000
1981-03-02,5.673375,5.736413,5.631350,5.736413,0.032711,1609600
1981-03-03,5.736413,5.841475,5.725906,5.830969,0.033250,1387200
1981-03-04,5.830969,6.219700,5.809956,6.030588,0.034388,3894000
1981-03-05,6.030588,6.041094,5.830969,5.883500,0.033738,2352000
1981-03-06,5.872994,5.872994,5.673375,5.736413,0.032894,1318000
1981-03-09,5.736413,5.799450,5.704894,5.715400,0.032774,910000
1981-03-10,5.715400,5.788944,5.683881,5.715400,0.032774,1759600
1981-03-11,5.715400,5.778438,5.683881,5.778438,0.033135,541200
1981-03-12,5.862487,6.041094,5.862487,6.009575,0.034460,1168000
1981-03-13,6.156662,6.261725,6.156662,6.156662,0.035304,2148400
1981-03-16,6.156662,6.261725,6.104131,6.261725,0.035906,1066000
1981-03-17,6.261725,6.314256,6.125144,6.219700,0.035665,1672800
1981-03-18,6.198688,6.198688,6.009575,6.030588,0.034581,1224000
1981-03-19,6.030588,6.072612,5.694387,5.715400,0.032774,4318800
1981-03-20,5.715400,5.715400,5.631350,5.631350,0.032292,2211600
1981-03-23,5.673375,5.841475,5.673375,5.809956,0.033316,1457200
1981-03-24,5.904512,6.030588,5.904512,5.967550,0.034220,1691600
1981-03-25,5.967550,6.198688,5.946537,6.198688,0.035545,1095600
1981-03-26,6.198688,6.293244,6.114637,6.167169,0.035364,1364400
1981-03-27,6.167169,6.188181,6.009575,6.114637,0.035063,1244400
1981-03-30,6.114637,6.156662,6.083119,6.093625,0.034942,556800
1981-03-31,6.177675,6.303750,6.177675,6.219700,0.035665,1563200
1981-04-01,6.219700,6.219700,6.167169,6.219700,0.035665,684000
1981-04-02,6.219700,6.261725,6.177675,6.219700,0.035665,1381200
1981-04-03,6.230206,6.282738,6.230206,6.261725,0.035906,688800
1981-04-06,6.219700,6.219700,6.104131,6.114637,0.035063,1108800
1981-04-07,6.114637,6.261725,6.009575,6.041094,0.034641,1326400
1981-04-08,6.041094,6.093625,5.999069,6.051600,0.034701,870800
1981-04-09,6.051600,6.072612,5.894006,5.967550,0.034220,1653600
1981-04-10,5.967550,6.020081,5.841475,5.925525,0.033979,2105600
1981-04-13,5.925525,5.925525,5.547300,5.547300,0.031810,1099200
1981-04-14,5.547300,5.620844,5.484262,5.599831,0.032111,1199200
1981-04-15,5.599831,5.673375,5.568313,5.599831,0.032111,1125200
1981-04-16,5.673375,5.757425,5.673375,5.673375,0.032533,910000
1981-04-20,5.652362,5.652362,5.452744,5.463250,0.031328,970800
1981-04-21,5.463250,5.463250,5.190087,5.263631,0.030183,1877200
