Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,5.375000,5.250000,5.250000,4.122073,201400
1980-12-15,0.000000,5.437500,5.375000,5.375000,4.220219,49800
1980-12-16,0.000000,5.437500,5.375000,5.375000,4.220219,106600
1980-12-17,0.000000,5.687500,5.562500,5.562500,4.367435,118400
1980-12-18,0.000000,5.687500,5.625000,5.625000,4.416508,69000
1980-12-19,0.000000,5.625000,5.500000,5.500000,4.318361,51600
1980-12-22,0.000000,5.125000,5.062500,5.062500,3.974856,193000
1980-12-23,0.000000,5.000000,4.875000,4.875000,3.827640,141400
1980-12-24,0.000000,5.000000,4.875000,4.875000,3.827640,57200
1980-12-26,0.000000,5.125000,5.000000,5.000000,3.925785,39800
1980-12-29,0.000000,5.062500,5.000000,5.000000,3.925785,156000
1980-12-30,0.000000,4.812500,4.687500,4.687500,3.680422,160800
1980-12-31,0.000000,5.000000,4.937500,4.937500,3.876712,453400
1981-01-02,0.000000,5.562500,5.437500,5.437500,4.269291,199200
1981-01-05,0.000000,5.937500,5.875000,5.875000,4.612796,194400
1981-01-06,0.000000,6.000000,5.875000,5.875000,4.612796,193200
1981-01-07,0.000000,5.500000,5.437500,5.437500,4.269291,350200
1981-01-08,0.000000,5.375000,5.250000,5.250000,4.122073,125400
1981-01-09,0.000000,5.500000,5.375000,5.375000,4.220219,105000
1981-01-12,0.000000,5.437500,5.375000,5.375000,4.220219,147000
1981-01-13,0.000000,5.500000,5.437500,5.437500,4.269291,149400
1981-01-14,0.000000,5.687500,5.625000,5.625000,4.416508,105200
1981-01-15,0.000000,6.125000,6.062500,6.062500,4.760014,142200
1981-01-16,0.000000,6.062500,5.937500,5.937500,4.661869,161400
1981-01-19,0.000000,6.000000,5.937500,5.937500,4.661869,100800
1981-01-20,0.000000,5.937500,5.812500,5.812500,4.563725,157600
1981-01-21,0.000000,5.812500,5.750000,5.750000,4.514650,156800
1981-01-22,0.000000,5.875000,5.812500,5.812500,4.563725,88400
1981-01-23,0.000000,6.062500,6.000000,6.000000,4.710941,77000
1981-01-26,0.000000,5.937500,5.875000,5.875000,4.612796,153600
1981-01-27,0.000000,5.750000,5.687500,5.687500,4.465578,125000
1981-01-28,0.000000,5.625000,5.562500,5.562500,4.367435,210800
1981-01-29,0.000000,5.562500,5.437500,5.437500,4.269291,68600
1981-01-30,0.000000,5.187500,5.062500,5.062500,3.974856,201200
1981-02-02,0.000000,4.875000,4.750000,4.750000,3.729494,230400
1981-02-03,0.000000,5.125000,5.000000,5.000000,3.925785,171400
1981-02-04,0.000000,5.375000,5.250000,5.250000,4.122073,154400
1981-02-05,0.000000,5.250000,5.125000,5.125000,4.023927,51200
1981-02-06,0.000000,5.375000,5.250000,5.250000,4.122073,46600
1981-02-09,0.000000,5.125000,5.000000,5.000000,3.925785,74600
1981-02-10,0.000000,5.187500,5.062500,5.062500,3.974856,73000
