Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.000000,2.277778,2.236111,2.250000,0.170592,193200
1980-12-15,0.000000,2.277778,2.194444,2.194444,0.166380,194400
1980-12-16,0.000000,2.208333,2.166667,2.194444,0.166380,196200
1980-12-17,0.000000,2.291667,2.180556,2.291667,0.173751,171000
1980-12-18,0.000000,2.444444,2.263889,2.444444,0.185335,223200
1980-12-19,0.000000,2.569444,2.444444,2.500000,0.189547,135600
1980-12-22,0.000000,2.555556,2.472222,2.527778,0.191653,138600
1980-12-23,0.000000,2.611111,2.527778,2.583333,0.195865,158400
1980-12-24,0.000000,2.583333,2.541667,2.569444,0.194812,187800
1980-12-26,0.000000,2.583333,2.527778,2.527778,0.191653,28800
1980-12-29,0.000000,2.513889,2.472222,2.513889,0.190600,153600
1980-12-30,0.000000,2.500000,2.458333,2.486111,0.188494,47400
1980-12-31,0.000000,2.486111,2.444444,2.472222,0.187441,128400
1981-01-02,0.000000,2.472222,2.430556,2.458333,0.186388,144600
1981-01-05,0.000000,2.597222,2.458333,2.597222,0.196918,153000
1981-01-06,0.000000,2.638889,2.583333,2.583333,0.195865,1696200
1981-01-07,0.000000,2.555556,2.500000,2.500000,0.189547,147600
1981-01-08,0.000000,2.555556,2.500000,2.513889,0.190600,88800
1981-01-09,0.000000,2.541667,2.527778,2.527778,0.191653,300600
1981-01-12,0.000000,2.597222,2.541667,2.541667,0.192706,352800
1981-01-13,0.000000,2.555556,2.527778,2.527778,0.191653,36600
1981-01-14,0.000000,2.555556,2.541667,2.555556,0.193759,186000
1981-01-15,0.000000,2.597222,2.541667,2.569444,0.194812,73800
1981-01-16,0.000000,2.597222,2.541667,2.583333,0.195865,79800
1981-01-19,0.000000,2.597222,2.541667,2.583333,0.195865,63600
1981-01-20,0.000000,2.597222,2.555556,2.597222,0.196918,326400
1981-01-21,0.000000,2.597222,2.527778,2.555556,0.193759,240000
1981-01-22,0.000000,2.541667,2.527778,2.527778,0.191653,31200
1981-01-23,0.000000,2.555556,2.486111,2.555556,0.193759,65400
1981-01-26,0.000000,2.541667,2.486111,2.513889,0.190600,50400
