Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,4.882813,4.953125,4.882813,4.921875,0.113884,4892800
1980-12-15,4.921875,4.992188,4.921875,4.945313,0.114427,2446400
1980-12-16,4.945313,5.125000,4.945313,5.101563,0.118042,4040000
1980-12-17,5.148438,5.289063,5.148438,5.273438,0.122019,3816000
1980-12-18,5.273438,5.359375,5.210938,5.210938,0.120573,5790400
1980-12-19,5.210938,5.210938,5.125000,5.140625,0.118946,7188800
1980-12-22,5.140625,5.164063,5.070313,5.109375,0.118223,3518400
1980-12-23,5.109375,5.132813,5.000000,5.023438,0.116234,4457600
1980-12-24,5.023438,5.031250,5.007813,5.023438,0.116234,1638400
1980-12-26,5.023438,5.054688,4.992188,5.054688,0.116957,1670400
1980-12-29,5.054688,5.054688,5.015625,5.015625,0.116054,1313600
1980-12-30,5.023438,5.070313,5.023438,5.046875,0.116777,1147200
1980-12-31,5.046875,5.101563,5.023438,5.039063,0.116596,1662400
1981-01-02,5.039063,5.078125,5.015625,5.070313,0.117319,1457600
1981-01-05,5.070313,5.109375,5.062500,5.070313,0.117319,3745600
1981-01-06,5.070313,5.125000,4.984375,5.031250,0.116415,3588800
1981-01-07,4.960938,4.960938,4.875000,4.937500,0.114246,6307200
1981-01-08,4.929688,4.929688,4.718750,4.789063,0.110811,7785600
1981-01-09,4.789063,4.835938,4.726563,4.835938,0.111896,4798400
1981-01-12,4.843750,4.929688,4.843750,4.851563,0.112257,8569600
1981-01-13,4.851563,4.953125,4.851563,4.953125,0.114607,3272000
1981-01-14,4.953125,4.984375,4.875000,4.898438,0.113342,3953600
1981-01-15,4.898438,4.992188,4.882813,4.992188,0.115511,3691200
1981-01-16,4.992188,5.023438,4.960938,5.000000,0.115692,5105600
1981-01-19,5.000000,5.007813,4.960938,4.984375,0.115330,2507200
1981-01-20,4.984375,4.992188,4.890625,4.890625,0.113161,3225600
1981-01-21,4.875000,4.875000,4.820313,4.859375,0.112438,2524800
1981-01-22,4.859375,4.859375,4.781250,4.804688,0.111173,2684800
1981-01-23,4.796875,4.796875,4.757813,4.757813,0.110088,2179200
1981-01-26,4.757813,4.781250,4.750000,4.765625,0.110269,2286400
1981-01-27,4.765625,4.851563,4.750000,4.851563,0.112257,3462400
1981-01-28,4.851563,4.859375,4.789063,4.789063,0.110811,3702400
1981-01-29,4.789063,4.859375,4.789063,4.843750,0.112077,5672000
1981-01-30,4.843750,4.906250,4.828125,4.859375,0.112438,8353600
1981-02-02,4.835938,4.835938,4.726563,4.742188,0.109727,8273600
1981-02-03,4.710938,4.710938,4.648438,4.710938,0.111202,5320000
1981-02-04,4.710938,4.734375,4.664063,4.671875,0.110280,4131200
1981-02-05,4.671875,4.703125,4.671875,4.695313,0.110833,3360000
1981-02-06,4.695313,4.726563,4.656250,4.671875,0.110280,6836800
